rating_id,media_sha256,clip_path,prompt_id,set_bucket,analysis_role,rating_source,label_a,label_binary,demucs_score,panns_score,existing_score_source,needs_detector_fill,split,split_component
aprime_0001_2856569ce627,52f3ee7cf0eaca816a40d7a810facac9243d1035eaeb344b6321a1034dee5ebc,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0001_2856569ce627.wav,held_out_0047,detector_disagreement_112,primary,pi:Richard,yes,1,0.17610961198806763,0.5155206918716431,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/w2_contingency_20260711/activated_20260711/calibration/PI_GOLD_SCORES_W7.jsonl,0,heldout,eb72313c98aa25cd
aprime_0002_cb61f08e16e7,d1913874c8c901bc8ef7393ec1a9d7ef5da64e0e70beb1c69f22226ee93f7a87,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0002_cb61f08e16e7.flac,held_out_0199,stratified_random_500,global_bound,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,yes,1,0.15472,0.57821,orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/A_PRIME_MANIFEST.csv,0,heldout,8cd50324c1fe2dcb
aprime_0003_dc53ac75b40f,3210211b5248325b63e7de2cd523749bf2f9b34d67fdafbfbf4e4c1f66ceaee9,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0003_dc53ac75b40f.flac,held_out_0240,stratified_random_500,global_bound,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,yes,1,0.04756,0.44258,orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/A_PRIME_MANIFEST.csv,0,train,43318f34fb2eb733
aprime_0004_135d175c5132,ca9587b537a6fb1c32012d61f18a42f158b395094ac32a59e80cced9e7a1a7dc,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0004_135d175c5132.wav,held_out_0005,detector_disagreement_112,primary,pi:Richard,yes,1,0.17025932669639587,0.13075843453407288,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/w2_contingency_20260711/activated_20260711/calibration/PI_GOLD_SCORES_W0.jsonl,0,train,02b49d8cb42481e6
aprime_0005_9d75ac5a9a2f,f31fbc0d08cee5f503ef776735cb8c7edf1bb7c84c5eb34841d561ccb7d2d6b6,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0005_9d75ac5a9a2f.flac,held_out_0238,stratified_random_500,global_bound,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,yes,1,,,exit1_frozen_backend_fill,1,heldout,96af9bb8a4a37223
aprime_0006_3b40c61a9919,965e6c668e55fd83eb46bf9cc521de0463dfb8c743a47ae2f8541fa81fe78262,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0006_3b40c61a9919.flac,held_out_0081,stratified_random_500,global_bound,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,yes,1,,,exit1_frozen_backend_fill,1,heldout,81c1c1c64425b528
aprime_0007_c77b4f65af92,8290f2eaa7b38bc71e680510c8c3cdac62b1614de0c40307eb5dd15d3a7f15f9,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0007_c77b4f65af92.flac,held_out_0001,stratified_random_500,global_bound,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,yes,1,0.05071,0.11919,orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/A_PRIME_MANIFEST.csv,0,heldout,72388d555c00a091
aprime_0008_1cd2673b1b1a,eef5896c918bb7623715603dfb04c6193f4acf30c69e13846c0458c5a25edb5c,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0008_1cd2673b1b1a.flac,held_out_0224,stratified_random_500,global_bound,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,no,0,,,exit1_frozen_backend_fill,1,train,9de35c5629855b82
aprime_0009_29c5a77f0573,9216cac18d8101eb51ac1ba06a2dc9cee44bb0fbdc2b70f814d26b5fa416daf1,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0009_29c5a77f0573.wav,dev_0187,agreement_spotcheck_30,primary,pi:Richard,yes,1,0.18454749882221222,0.21798792481422424,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/w2_contingency_20260711/activated_20260711/calibration/PI_GOLD_SCORES_W3.jsonl,0,train,76180f99da77f1ef
aprime_0010_c40f8a004de2,e2b627ff9bf3dbb00165dbb2a7b200c16249397512c364b45971c35aafebf459,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0010_c40f8a004de2.flac,held_out_0024,stratified_random_500,global_bound,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,yes,1,0.06377,0.08457,orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/A_PRIME_MANIFEST.csv,0,heldout,5314256b44bb9c57
aprime_0011_b9def10055a4,2b277caa164814cb13749e130b1a2b6faa0478575e8c364576ca27adfb665307,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0011_b9def10055a4.wav,dev_0004,detector_disagreement_112,primary,pi:Richard,yes,1,0.08883849531412125,0.3165312707424164,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/w2_contingency_20260711/activated_20260711/calibration/PI_GOLD_SCORES_W7.jsonl,0,heldout,16ac184f8e5c86cc
aprime_0012_709e2158f89b,d094c0b2a7a591b9e080955ecd9213d3b7977466925ac506216672eaef1dc768,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0012_709e2158f89b.flac,held_out_0240,stratified_random_500,global_bound,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,yes,1,0.1386,0.13871,orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/A_PRIME_MANIFEST.csv,0,train,43318f34fb2eb733
aprime_0013_787b3b17faad,43b2503b128d68f66094ee91b830404094bec7abb182ee27a7b7234fdccd1776,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0013_787b3b17faad.wav,held_out_0075,detector_disagreement_112,primary,pi:Richard,yes,1,0.1639404594898224,0.4454639256000519,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/w2_contingency_20260711/activated_20260711/calibration/PI_GOLD_SCORES_W0.jsonl,0,heldout,1c7e04e173aa147b
aprime_0014_2ab2f924ad6b,9087a4d1a4bf1e50b7e9f68ce1289e50592cd49adc48a5e90c3c019a2e7c5447,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0014_2ab2f924ad6b.flac,held_out_0001,stratified_random_500,global_bound,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,yes,1,0.03244,0.16271,orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/A_PRIME_MANIFEST.csv,0,heldout,72388d555c00a091
