source,recipe,attempts_N,prompt_clusters,units,violation_rate,violation_ci95_low,violation_ci95_high,cqs_style_success,cqs_ci95_low,cqs_ci95_high,quality_floor,violation_delta_vs_equal_compute_baseline,violation_delta_ci95_low,violation_delta_ci95_high,cqs_delta_vs_equal_compute_baseline,cqs_delta_ci95_low,cqs_delta_ci95_high
factorial,plain_baseline+selection,1,32,32,0.71875,0.5625,0.875,0.25,0.09375,0.40625,2.1232179954605157,0.0,0.0,0.0,0.0,0.0,0.0
factorial,positive_text+selection,1,32,32,0.5,0.3125,0.65625,0.28125,0.125,0.4375,2.1232179954605157,-0.21875,-0.375,-0.09375,0.03125,-0.0625,0.15625
factorial,positive_sampler+selection,1,32,32,0.5,0.3125,0.6875,0.3125,0.15625,0.46875,2.1232179954605157,-0.21875,-0.375,-0.09375,0.0625,-0.09375,0.21875
factorial,plain_baseline+selection,2,32,32,0.375,0.21875,0.53125,0.4375,0.28125,0.59375,2.1232179954605157,0.0,0.0,0.0,0.0,0.0,0.0
factorial,positive_text+selection,2,32,32,0.25,0.12421875000000071,0.40625,0.59375,0.40625,0.75,2.1232179954605157,-0.125,-0.25,-0.03125,0.15625,0.03125,0.28125
factorial,positive_sampler+selection,2,32,32,0.25,0.125,0.40625,0.6875,0.53125,0.84375,2.1232179954605157,-0.125,-0.25,-0.03125,0.25,0.125,0.40625
factorial,plain_baseline+selection,4,32,32,0.25,0.125,0.40625,0.53125,0.34375,0.6875,2.1232179954605157,0.0,0.0,0.0,0.0,0.0,0.0
factorial,positive_text+selection,4,32,32,0.09375,0.0,0.1875,0.78125,0.625,0.90625,2.1232179954605157,-0.15625,-0.28125,-0.03125,0.25,0.09375,0.40625
factorial,positive_sampler+selection,4,32,32,0.09375,0.0,0.1875,0.78125,0.625,0.90625,2.1232179954605157,-0.15625,-0.28125,-0.03125,0.25,0.09375,0.40625
factorial,plain_baseline+selection,8,32,32,0.1875,0.0625,0.34375,0.71875,0.5625,0.875,2.1232179954605157,0.0,0.0,0.0,0.0,0.0,0.0
factorial,positive_text+selection,8,32,32,0.09375,0.0,0.21875,0.90625,0.8125,1.0,2.1232179954605157,-0.09375,-0.21875,0.0,0.1875,0.0625,0.34375
factorial,positive_sampler+selection,8,32,32,0.09375,0.0,0.21875,0.90625,0.8125,1.0,2.1232179954605157,-0.09375,-0.21875,0.0,0.1875,0.0625,0.34375
live_confirmation,plain_baseline+selection,2,48,96,0.3541666666666667,0.23958333333333334,0.46875,0.5104166666666666,0.3854166666666667,0.625,2.1232179954605157,,,,,,
live_confirmation,positive_sampler+selection,2,48,96,0.21875,0.13541666666666666,0.3125,0.6041666666666666,0.4895833333333333,0.7083333333333334,2.1232179954605157,,,,,,
