clip_id,manifest_index,prompt_id,stratum,prompt_text,replicate,seed,output_path
exit1_uncond_000,0,empty_00,empty,,0,2036000000,analysis_exit1/unconditional_run_20260716/audio/empty_00/exit1_uncond_000_seed2036000000.flac
exit1_uncond_001,1,empty_00,empty,,1,2036000001,analysis_exit1/unconditional_run_20260716/audio/empty_00/exit1_uncond_001_seed2036000001.flac
exit1_uncond_002,2,empty_00,empty,,2,2036000002,analysis_exit1/unconditional_run_20260716/audio/empty_00/exit1_uncond_002_seed2036000002.flac
exit1_uncond_003,3,empty_00,empty,,3,2036000003,analysis_exit1/unconditional_run_20260716/audio/empty_00/exit1_uncond_003_seed2036000003.flac
exit1_uncond_004,4,empty_00,empty,,4,2036000004,analysis_exit1/unconditional_run_20260716/audio/empty_00/exit1_uncond_004_seed2036000004.flac
exit1_uncond_005,5,empty_00,empty,,5,2036000005,analysis_exit1/unconditional_run_20260716/audio/empty_00/exit1_uncond_005_seed2036000005.flac
exit1_uncond_006,6,empty_00,empty,,6,2036000006,analysis_exit1/unconditional_run_20260716/audio/empty_00/exit1_uncond_006_seed2036000006.flac
exit1_uncond_007,7,empty_00,empty,,7,2036000007,analysis_exit1/unconditional_run_20260716/audio/empty_00/exit1_uncond_007_seed2036000007.flac
exit1_uncond_008,8,empty_00,empty,,8,2036000008,analysis_exit1/unconditional_run_20260716/audio/empty_00/exit1_uncond_008_seed2036000008.flac
exit1_uncond_009,9,empty_00,empty,,9,2036000009,analysis_exit1/unconditional_run_20260716/audio/empty_00/exit1_uncond_009_seed2036000009.flac
exit1_uncond_010,10,empty_00,empty,,10,2036000010,analysis_exit1/unconditional_run_20260716/audio/empty_00/exit1_uncond_010_seed2036000010.flac
exit1_uncond_011,11,empty_00,empty,,11,2036000011,analysis_exit1/unconditional_run_20260716/audio/empty_00/exit1_uncond_011_seed2036000011.flac
exit1_uncond_012,12,empty_00,empty,,12,2036000012,analysis_exit1/unconditional_run_20260716/audio/empty_00/exit1_uncond_012_seed2036000012.flac
exit1_uncond_013,13,empty_00,empty,,13,2036000013,analysis_exit1/unconditional_run_20260716/audio/empty_00/exit1_uncond_013_seed2036000013.flac
exit1_uncond_014,14,empty_00,empty,,14,2036000014,analysis_exit1/unconditional_run_20260716/audio/empty_00/exit1_uncond_014_seed2036000014.flac
exit1_uncond_015,15,empty_00,empty,,15,2036000015,analysis_exit1/unconditional_run_20260716/audio/empty_00/exit1_uncond_015_seed2036000015.flac
exit1_uncond_016,16,empty_01,empty,,0,2036000016,analysis_exit1/unconditional_run_20260716/audio/empty_01/exit1_uncond_016_seed2036000016.flac
exit1_uncond_017,17,empty_01,empty,,1,2036000017,analysis_exit1/unconditional_run_20260716/audio/empty_01/exit1_uncond_017_seed2036000017.flac
exit1_uncond_018,18,empty_01,empty,,2,2036000018,analysis_exit1/unconditional_run_20260716/audio/empty_01/exit1_uncond_018_seed2036000018.flac
exit1_uncond_019,19,empty_01,empty,,3,2036000019,analysis_exit1/unconditional_run_20260716/audio/empty_01/exit1_uncond_019_seed2036000019.flac
exit1_uncond_020,20,empty_01,empty,,4,2036000020,analysis_exit1/unconditional_run_20260716/audio/empty_01/exit1_uncond_020_seed2036000020.flac
exit1_uncond_021,21,empty_01,empty,,5,2036000021,analysis_exit1/unconditional_run_20260716/audio/empty_01/exit1_uncond_021_seed2036000021.flac
exit1_uncond_022,22,empty_01,empty,,6,2036000022,analysis_exit1/unconditional_run_20260716/audio/empty_01/exit1_uncond_022_seed2036000022.flac
exit1_uncond_023,23,empty_01,empty,,7,2036000023,analysis_exit1/unconditional_run_20260716/audio/empty_01/exit1_uncond_023_seed2036000023.flac
exit1_uncond_024,24,empty_01,empty,,8,2036000024,analysis_exit1/unconditional_run_20260716/audio/empty_01/exit1_uncond_024_seed2036000024.flac
exit1_uncond_025,25,empty_01,empty,,9,2036000025,analysis_exit1/unconditional_run_20260716/audio/empty_01/exit1_uncond_025_seed2036000025.flac
exit1_uncond_026,26,empty_01,empty,,10,2036000026,analysis_exit1/unconditional_run_20260716/audio/empty_01/exit1_uncond_026_seed2036000026.flac
exit1_uncond_027,27,empty_01,empty,,11,2036000027,analysis_exit1/unconditional_run_20260716/audio/empty_01/exit1_uncond_027_seed2036000027.flac
exit1_uncond_028,28,empty_01,empty,,12,2036000028,analysis_exit1/unconditional_run_20260716/audio/empty_01/exit1_uncond_028_seed2036000028.flac
exit1_uncond_029,29,empty_01,empty,,13,2036000029,analysis_exit1/unconditional_run_20260716/audio/empty_01/exit1_uncond_029_seed2036000029.flac
exit1_uncond_030,30,empty_01,empty,,14,2036000030,analysis_exit1/unconditional_run_20260716/audio/empty_01/exit1_uncond_030_seed2036000030.flac
exit1_uncond_031,31,empty_01,empty,,15,2036000031,analysis_exit1/unconditional_run_20260716/audio/empty_01/exit1_uncond_031_seed2036000031.flac
exit1_uncond_032,32,empty_02,empty,,0,2036000032,analysis_exit1/unconditional_run_20260716/audio/empty_02/exit1_uncond_032_seed2036000032.flac
exit1_uncond_033,33,empty_02,empty,,1,2036000033,analysis_exit1/unconditional_run_20260716/audio/empty_02/exit1_uncond_033_seed2036000033.flac
exit1_uncond_034,34,empty_02,empty,,2,2036000034,analysis_exit1/unconditional_run_20260716/audio/empty_02/exit1_uncond_034_seed2036000034.flac
exit1_uncond_035,35,empty_02,empty,,3,2036000035,analysis_exit1/unconditional_run_20260716/audio/empty_02/exit1_uncond_035_seed2036000035.flac
exit1_uncond_036,36,empty_02,empty,,4,2036000036,analysis_exit1/unconditional_run_20260716/audio/empty_02/exit1_uncond_036_seed2036000036.flac
exit1_uncond_037,37,empty_02,empty,,5,2036000037,analysis_exit1/unconditional_run_20260716/audio/empty_02/exit1_uncond_037_seed2036000037.flac
exit1_uncond_038,38,empty_02,empty,,6,2036000038,analysis_exit1/unconditional_run_20260716/audio/empty_02/exit1_uncond_038_seed2036000038.flac
exit1_uncond_039,39,empty_02,empty,,7,2036000039,analysis_exit1/unconditional_run_20260716/audio/empty_02/exit1_uncond_039_seed2036000039.flac
exit1_uncond_040,40,empty_02,empty,,8,2036000040,analysis_exit1/unconditional_run_20260716/audio/empty_02/exit1_uncond_040_seed2036000040.flac
exit1_uncond_041,41,empty_02,empty,,9,2036000041,analysis_exit1/unconditional_run_20260716/audio/empty_02/exit1_uncond_041_seed2036000041.flac
exit1_uncond_042,42,empty_02,empty,,10,2036000042,analysis_exit1/unconditional_run_20260716/audio/empty_02/exit1_uncond_042_seed2036000042.flac
exit1_uncond_043,43,empty_02,empty,,11,2036000043,analysis_exit1/unconditional_run_20260716/audio/empty_02/exit1_uncond_043_seed2036000043.flac
exit1_uncond_044,44,empty_02,empty,,12,2036000044,analysis_exit1/unconditional_run_20260716/audio/empty_02/exit1_uncond_044_seed2036000044.flac
exit1_uncond_045,45,empty_02,empty,,13,2036000045,analysis_exit1/unconditional_run_20260716/audio/empty_02/exit1_uncond_045_seed2036000045.flac
exit1_uncond_046,46,empty_02,empty,,14,2036000046,analysis_exit1/unconditional_run_20260716/audio/empty_02/exit1_uncond_046_seed2036000046.flac
exit1_uncond_047,47,empty_02,empty,,15,2036000047,analysis_exit1/unconditional_run_20260716/audio/empty_02/exit1_uncond_047_seed2036000047.flac
exit1_uncond_048,48,empty_03,empty,,0,2036000048,analysis_exit1/unconditional_run_20260716/audio/empty_03/exit1_uncond_048_seed2036000048.flac
exit1_uncond_049,49,empty_03,empty,,1,2036000049,analysis_exit1/unconditional_run_20260716/audio/empty_03/exit1_uncond_049_seed2036000049.flac
exit1_uncond_050,50,empty_03,empty,,2,2036000050,analysis_exit1/unconditional_run_20260716/audio/empty_03/exit1_uncond_050_seed2036000050.flac
exit1_uncond_051,51,empty_03,empty,,3,2036000051,analysis_exit1/unconditional_run_20260716/audio/empty_03/exit1_uncond_051_seed2036000051.flac
exit1_uncond_052,52,empty_03,empty,,4,2036000052,analysis_exit1/unconditional_run_20260716/audio/empty_03/exit1_uncond_052_seed2036000052.flac
exit1_uncond_053,53,empty_03,empty,,5,2036000053,analysis_exit1/unconditional_run_20260716/audio/empty_03/exit1_uncond_053_seed2036000053.flac
