media_sha256,audioset_human_voice_score,audioset_top_human_voice_class,windows,score_source,old_audioset_vocal_score,old_audioset_top_vocal_class,was_rescored
00256dce79884623cf351159fdff3846b5156c07f27fae8da0d2580e3be78874,0.3108755946159363,Speech,13,v1_superset_max_is_exact_whitelist_member,0.3108755946159363,Speech,0
003c4b10dd3fa9561bf00c925d65932a05e67b1e01f130abe7e42d849986c5a5,0.3290882408618927,Speech,13,v1_superset_max_is_exact_whitelist_member,0.3290882408618927,Speech,0
010e2d78849665ee6225f6ed2ebd9ec97b1897cd206ae26cc02d7800aec46893,0.17621095478534698,Singing,6,v1_superset_max_is_exact_whitelist_member,0.17621095478534698,Singing,0
016f7af76f0e2b7a34f124a75a9d935438810a7d8f023510c9554afdfbe23d49,0.02824433706700802,Speech,6,v1_superset_max_is_exact_whitelist_member,0.02824433706700802,Speech,0
029d5bcf6251209f9cb24db1b519e9e37711c3b983dbad17e4026d6bb55cf291,0.14622162282466888,Speech,13,v1_superset_max_is_exact_whitelist_member,0.14622162282466888,Speech,0
02e4a6a3460f81e839b3633336946ecf99bc9e815c33b70ab102959f6b26933c,0.13286708295345306,Speech,14,v1_superset_max_is_exact_whitelist_member,0.13286708295345306,Speech,0
03218a661dbd0e39bf636b07c2e99438464c9c884cee01cc0c48bb4ecea95014,0.47456735372543335,Speech,8,v1_superset_max_is_exact_whitelist_member,0.47456735372543335,Speech,0
033b1ebfef62614a9a73a4bc1ed72c7998dae140fd9587e2397c2af5c85558ed,0.34093233942985535,Speech,14,v1_superset_max_is_exact_whitelist_member,0.34093233942985535,Speech,0
0513dfe79c327be10a5ec0d8b9cbaddac2df220403136a5075c252dbb2227f94,0.15276625752449036,Speech,7,v1_superset_max_is_exact_whitelist_member,0.15276625752449036,Speech,0
05bdd0a22c737b15e08e1c696e16a5d6e4d5cefbc6b692435344951b324dedd3,0.13381436467170715,Speech,14,v1_superset_max_is_exact_whitelist_member,0.13381436467170715,Speech,0
05c1a6306c839fe9c16672f8fe80af7446ec5358b442a29d735d8007bd65cdb8,0.08550810813903809,Singing,12,v1_superset_max_is_exact_whitelist_member,0.08550810813903809,Singing,0
05e587b7de19436635b8df1d6c5915f6ca07d4dc91d64f328c4742c87feb4873,0.13977456092834473,Singing,12,v1_superset_max_is_exact_whitelist_member,0.13977456092834473,Singing,0
07480e9d0f41ed066c4add28c622c0c4058cfe27317f8ad1745eded495b72a33,0.023285800591111183,Speech,8,v1_superset_max_is_exact_whitelist_member,0.023285800591111183,Speech,0
0773f1863a922090cd44d166509cb910b8cfcbc832f46cae6bce2df35c96e585,0.0626910850405693,Singing,6,v1_superset_max_is_exact_whitelist_member,0.0626910850405693,Singing,0
08c122e817eb4f5a6b0d5404a53a70eed6de966e2e73c993c2f31a453a914897,0.016505032777786255,Speech,7,v1_superset_max_is_exact_whitelist_member,0.016505032777786255,Speech,0
093460a192a474dc928b0695d88db27d823e32df10e20078b67370a85fe6630f,0.30340710282325745,Rapping,8,v1_superset_max_is_exact_whitelist_member,0.30340710282325745,Rapping,0
0a75fa034b0510a7dd07c8c6fd9873f4c5ecfd6b3fe1f06a57eb76b8869938db,0.07510202378034592,Female singing,7,v1_superset_max_is_exact_whitelist_member,0.07510202378034592,Female singing,0
0a9bae949406f1817ee5d08463491fe337e21acb08c302ef69a7915e17e0cdbb,0.16209065914154053,Singing,8,v1_superset_max_is_exact_whitelist_member,0.16209065914154053,Singing,0
