recipe,condition,attempts_N,prompt_clusters,candidate_rows_considered,selected_rows,corrected_label_b_violations,corrected_label_b_satisfied,violation_rate,violation_ci95_low,violation_ci95_high,violation_delta_vs_equal_compute_plain,violation_delta_ci95_low,violation_delta_ci95_high,quality_status,quality_primary,qualified_success_count,qualified_success_rate,qualified_success_ci95_low,qualified_success_ci95_high,qualified_success_delta_vs_equal_compute_plain,qualified_success_delta_ci95_low,qualified_success_delta_ci95_high
plain,plain_baseline,1,32,32,32,23,9,0.71875,0.5625,0.875,0.0,0.0,0.0,PROXY_QUALIFIED_SUCCESS,0,8,0.25,0.09375,0.40625,0.0,0.0,0.0
positive_text,positive_text,1,32,32,32,16,16,0.5,0.3125,0.65625,-0.21875,-0.375,-0.09375,PROXY_QUALIFIED_SUCCESS,0,9,0.28125,0.125,0.4375,0.03125,-0.0625,0.15625
positive_sampler,positive_sampler,1,32,32,32,16,16,0.5,0.3125,0.6875,-0.21875,-0.375,-0.09375,PROXY_QUALIFIED_SUCCESS,0,10,0.3125,0.15625,0.46875,0.0625,-0.09375,0.21875
plain,plain_baseline,2,32,64,32,12,20,0.375,0.21875,0.53125,0.0,0.0,0.0,PROXY_QUALIFIED_SUCCESS,0,14,0.4375,0.28125,0.59375,0.0,0.0,0.0
positive_text,positive_text,2,32,64,32,8,24,0.25,0.12421875000000071,0.40625,-0.125,-0.25,-0.03125,PROXY_QUALIFIED_SUCCESS,0,19,0.59375,0.40625,0.75,0.15625,0.03125,0.28125
positive_sampler,positive_sampler,2,32,64,32,8,24,0.25,0.125,0.40625,-0.125,-0.25,-0.03125,PROXY_QUALIFIED_SUCCESS,0,22,0.6875,0.53125,0.84375,0.25,0.125,0.40625
plain,plain_baseline,4,32,128,32,8,24,0.25,0.125,0.40625,0.0,0.0,0.0,PROXY_QUALIFIED_SUCCESS,0,17,0.53125,0.34375,0.6875,0.0,0.0,0.0
positive_text,positive_text,4,32,128,32,3,29,0.09375,0.0,0.1875,-0.15625,-0.28125,-0.03125,PROXY_QUALIFIED_SUCCESS,0,25,0.78125,0.625,0.90625,0.25,0.09375,0.40625
positive_sampler,positive_sampler,4,32,128,32,3,29,0.09375,0.0,0.1875,-0.15625,-0.28125,-0.03125,PROXY_QUALIFIED_SUCCESS,0,25,0.78125,0.625,0.90625,0.25,0.09375,0.40625
plain,plain_baseline,8,32,256,32,6,26,0.1875,0.0625,0.34375,0.0,0.0,0.0,PROXY_QUALIFIED_SUCCESS,0,23,0.71875,0.5625,0.875,0.0,0.0,0.0
positive_text,positive_text,8,32,256,32,3,29,0.09375,0.0,0.21875,-0.09375,-0.21875,0.0,PROXY_QUALIFIED_SUCCESS,0,29,0.90625,0.8125,1.0,0.1875,0.0625,0.34375
positive_sampler,positive_sampler,8,32,256,32,3,29,0.09375,0.0,0.21875,-0.09375,-0.21875,0.0,PROXY_QUALIFIED_SUCCESS,0,29,0.90625,0.8125,1.0,0.1875,0.0625,0.34375
