task_id,prompt_rank,prompt_id,condition,seed_idx,seed,cfg_scale,duration_seconds,inference_steps,neutral_insertion,neutral_full_text_sha256,generation_config_sha256,output_path
neutral_control_00_00,0,held_out_0238,neutral_matched,0,2071000000,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",888ff3299c85f60255050723c35d9c35a0eecc2df2494dbc6e985e8594aad987,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0238/neutral_matched_s00_2071000000.flac
neutral_control_00_01,0,held_out_0238,neutral_matched,1,2071000001,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",888ff3299c85f60255050723c35d9c35a0eecc2df2494dbc6e985e8594aad987,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0238/neutral_matched_s01_2071000001.flac
neutral_control_00_02,0,held_out_0238,neutral_matched,2,2071000002,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",888ff3299c85f60255050723c35d9c35a0eecc2df2494dbc6e985e8594aad987,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0238/neutral_matched_s02_2071000002.flac
neutral_control_00_03,0,held_out_0238,neutral_matched,3,2071000003,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",888ff3299c85f60255050723c35d9c35a0eecc2df2494dbc6e985e8594aad987,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0238/neutral_matched_s03_2071000003.flac
neutral_control_00_04,0,held_out_0238,neutral_matched,4,2071000004,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",888ff3299c85f60255050723c35d9c35a0eecc2df2494dbc6e985e8594aad987,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0238/neutral_matched_s04_2071000004.flac
neutral_control_00_05,0,held_out_0238,neutral_matched,5,2071000005,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",888ff3299c85f60255050723c35d9c35a0eecc2df2494dbc6e985e8594aad987,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0238/neutral_matched_s05_2071000005.flac
neutral_control_00_06,0,held_out_0238,neutral_matched,6,2071000006,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",888ff3299c85f60255050723c35d9c35a0eecc2df2494dbc6e985e8594aad987,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0238/neutral_matched_s06_2071000006.flac
neutral_control_00_07,0,held_out_0238,neutral_matched,7,2071000007,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",888ff3299c85f60255050723c35d9c35a0eecc2df2494dbc6e985e8594aad987,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0238/neutral_matched_s07_2071000007.flac
neutral_control_01_00,1,held_out_0094,neutral_matched,0,2071001000,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",57b7911b2c0bc28b985eb3dc9a9f30710b80b1b00d7a2298baf38c8008fc6233,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0094/neutral_matched_s00_2071001000.flac
neutral_control_01_01,1,held_out_0094,neutral_matched,1,2071001001,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",57b7911b2c0bc28b985eb3dc9a9f30710b80b1b00d7a2298baf38c8008fc6233,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0094/neutral_matched_s01_2071001001.flac
neutral_control_01_02,1,held_out_0094,neutral_matched,2,2071001002,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",57b7911b2c0bc28b985eb3dc9a9f30710b80b1b00d7a2298baf38c8008fc6233,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0094/neutral_matched_s02_2071001002.flac
