task_id,prompt_rank,prompt_id,condition,seed_idx,seed,output_path,demucs_score,panns_score,near_silent,violation,source_role
neutral_control_00_00,0,held_out_0238,neutral-matched,0,2071000000,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0238/neutral_matched_s00_2071000000.flac,0.5855520367622375,0.3813461661338806,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_00_01,0,held_out_0238,neutral-matched,1,2071000001,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0238/neutral_matched_s01_2071000001.flac,0.957668662071228,0.6900119185447693,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_00_02,0,held_out_0238,neutral-matched,2,2071000002,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0238/neutral_matched_s02_2071000002.flac,0.5795828700065613,0.14312812685966492,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_00_03,0,held_out_0238,neutral-matched,3,2071000003,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0238/neutral_matched_s03_2071000003.flac,0.938875675201416,0.182146817445755,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_00_04,0,held_out_0238,neutral-matched,4,2071000004,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0238/neutral_matched_s04_2071000004.flac,0.6391983032226562,0.16799935698509216,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_00_05,0,held_out_0238,neutral-matched,5,2071000005,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0238/neutral_matched_s05_2071000005.flac,0.8029065132141113,0.0806390792131424,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_00_06,0,held_out_0238,neutral-matched,6,2071000006,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0238/neutral_matched_s06_2071000006.flac,0.4711708724498749,0.10578148812055588,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_00_07,0,held_out_0238,neutral-matched,7,2071000007,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0238/neutral_matched_s07_2071000007.flac,0.2533259093761444,0.11177568882703781,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_01_00,1,held_out_0094,neutral-matched,0,2071001000,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0094/neutral_matched_s00_2071001000.flac,0.809630274772644,0.34335097670555115,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_01_01,1,held_out_0094,neutral-matched,1,2071001001,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0094/neutral_matched_s01_2071001001.flac,0.3781653940677643,0.6037580370903015,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_01_02,1,held_out_0094,neutral-matched,2,2071001002,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0094/neutral_matched_s02_2071001002.flac,0.4405791759490967,0.11134976893663406,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_01_03,1,held_out_0094,neutral-matched,3,2071001003,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0094/neutral_matched_s03_2071001003.flac,0.6611162424087524,0.26975777745246887,0,1,NEW_NEUTRAL_MATCHED_GENERATION
