method,group,n_prompts,compute_fraction,sel_common_robust_lcb,preserve_common_robust_lcb,regret_common_robust_lcb,sel_aesthetic_pq,preserve_aesthetic_pq,regret_aesthetic_pq,sel_aesthetic_cu,preserve_aesthetic_cu,regret_aesthetic_cu,sel_semantic_fit,preserve_semantic_fit,regret_semantic_fit,sel_section_coherence,preserve_section_coherence,regret_section_coherence,sel_lyric_intelligibility,preserve_lyric_intelligibility,regret_lyric_intelligibility,lyric_n_prompts,winner_match,false_restart_rate,top2_retention,top4_retention
Full_BoN8,all,512,1.0,2.357632906375839,1.0,0.0,7.791366402991116,0.9822885807386325,0.14082782994955778,7.706511008553207,0.9868393682274365,0.10227225907146931,0.34481741076706385,0.7441423855328269,0.11375616742043348,0.9581287649925798,0.9879089593814067,0.011734925676137209,0.42569829390959735,0.6316571372677171,0.18672854720853793,282,1.0,0.0,1.0,1.0
Full_BoN8,vocal,316,1.0,2.299402839406575,1.0,0.0,7.8192740014836755,0.9793976112455067,0.16467990603628038,7.656727627862858,0.9871334698873592,0.0995534386815904,0.32284794053168897,0.7138163017180473,0.12550668995179048,0.9557988596490666,0.9880921378630155,0.011522796712344206,0.42569829390959735,0.6316571372677171,0.18672854720853793,282,1.0,0.0,1.0,1.0
Full_BoN8,instrumental,196,1.0,2.451514034754856,1.0,0.0,7.746372519707193,0.9869495315540802,0.10237244197300502,7.786774010074382,0.9863652043267446,0.10665566337351896,0.3802375770649131,0.7930354594382877,0.09481144742089875,0.9618851429953867,0.9876136308090172,0.012076929515721847,,,,0,1.0,0.0,1.0,1.0
Full_BoN8,vocal_scorable,282,1.0,2.3055671393303148,1.0,0.0,7.811496582437069,0.9792263487053525,0.16590842287591162,7.658915005677136,0.9871173784605308,0.09953465698458624,0.32520149210600036,0.7186640049637486,0.12354737128203748,0.9557401106712666,0.9879915134045877,0.011620264104072084,0.42569829390959735,0.6316571372677171,0.18672854720853793,282,1.0,0.0,1.0,1.0
BoN4_random,all,512,0.5,2.3158609343425893,0.9822336197874983,0.04177197203324911,7.6833319327561185,0.9685695377961727,0.24886230018455535,7.608723619137891,0.9741464143338399,0.2000596484867856,0.34158712809869485,0.7373749824511325,0.11698645008880248,0.9576961939274042,0.9874646680040462,0.012167496741312789,0.3640233369090903,0.539322522067425,0.24840350420904495,282,0.5001220703125,0.4998779296875,0.784912109375,0.98480224609375
BoN4_random,vocal,316,0.5,2.259673830066229,0.9827086476133348,0.039729009340345754,7.738927387455596,0.9693154413248386,0.24502652006436,7.577072243335881,0.9767440728495097,0.17920882320856746,0.32307884752013777,0.7148597211204564,0.1252757829633417,0.95529868246846,0.9875778309638247,0.012022973892950936,0.3640233369090903,0.539322522067425,0.24840350420904495,282,0.501681170886076,0.49831882911392406,0.786689082278481,0.9848694620253164
BoN4_random,instrumental,196,0.5,2.4064483065432527,0.9814677585989047,0.0450657282116035,7.593698444567164,0.9673669586377113,0.2550465171130336,7.6597533882880695,0.9699583526453112,0.23367628515983113,0.3714270090314706,0.7736750976577328,0.10362201545434133,0.9615615695448858,0.9872822215995054,0.012400502966222714,,,,0,0.4976084183673469,0.5023915816326531,0.7820471938775511,0.9846938775510204
BoN4_random,vocal_scorable,282,0.5,2.2644544800234234,0.9821511562239269,0.04111265930689191,7.731062496226308,0.9691370869084571,0.24634250908667313,7.5801810970965855,0.9768790074098394,0.17826856556513632,0.32430391425498245,0.7166387566315002,0.12444494913305537,0.9552132181942146,0.9874497776587636,0.012147156581124093,0.3640233369090903,0.539322522067425,0.24840350420904495,282,0.5022163120567376,0.4977836879432624,0.7873448581560284,0.9849290780141844
random_restart,all,512,0.5410463968912761,2.2849459430330765,0.9690319067485859,0.07268696334276259,7.605151147901779,0.9586575534952511,0.3270430850388948,7.53811437819968,0.9649917027450424,0.27066888942499645,0.3385407589664027,0.7299909523978035,0.12003281922109466,0.9572719107782177,0.9870278934557496,0.01259177989049931,0.33486382318580554,0.49698263333149545,0.2775630179323297,282,0.4014892578125,0.5985107421875,0.64190673828125,0.88201904296875
random_restart,vocal,316,0.5412941719409282,2.2300116105822902,0.9697726004340106,0.0693912288242845,7.670668572611824,0.9607256995156285,0.3132853349081323,7.51486302584504,0.968642864342655,0.24141804069940803,0.3216370189461544,0.7107904837125201,0.12671761153732508,0.9549730439564283,0.9872409791016548,0.0123486124049825,0.33486382318580554,0.49698263333149545,0.2775630179323297,282,0.401503164556962,0.598496835443038,0.6417128164556962,0.8801424050632911
random_restart,instrumental,196,0.5406469228316326,2.373513540249649,0.9678377271333094,0.07800049450520682,7.499521014185584,0.955323195625663,0.3492239474946139,7.575601252404098,0.9591051360876671,0.31782842104380227,0.3657937275704765,0.7609468100740768,0.10925529691533539,0.9609782470827352,0.9866843472103107,0.012983825428373352,,,,0,0.40146683673469385,0.5985331632653061,0.642219387755102,0.8850446428571429
random_restart,vocal_scorable,282,0.541117205969267,2.2336394088505624,0.9687381080215453,0.0719277304797526,7.6613235161870925,0.96035824269593,0.31608148912588757,7.516288111686495,0.9685578868094339,0.24216155097522635,0.32294996096356793,0.7127893125485308,0.12579890242446992,0.9548842345582361,0.9871096681397359,0.012476140217102588,0.33486382318580554,0.49698263333149545,0.2775630179323297,282,0.3992686170212766,0.6007313829787234,0.6410682624113475,0.879654255319149
raw_ETP_scheduleA,all,512,0.5,2.3255070010446754,0.9862436858067383,0.0321259053311633,7.76547010615468,0.9789240314558518,0.16672412678599358,7.669842611066997,0.9819165855151178,0.13894065655767918,0.3389370561640135,0.7323648197986469,0.11963652202348385,0.9571949327364564,0.9869451620116523,0.012668757932260633,0.36162140300871237,0.5327618349038586,0.2508054381094229,282,0.5703125,0.4296875,0.787109375,0.9609375
raw_ETP_scheduleA,vocal,316,0.5,2.2704979931976244,0.9874232314626283,0.028904846208950723,7.816271532939959,0.9790723793888311,0.167682374579997,7.637608411945874,0.9846593434120401,0.1186726545985741,0.3181928802477608,0.7042506807154874,0.1301617502357186,0.9547652240040936,0.9870256089989433,0.012556432357317284,0.36162140300871237,0.5327618349038586,0.2508054381094229,282,0.569620253164557,0.43037974683544306,0.8069620253164557,0.9778481012658228
raw_ETP_scheduleA,instrumental,196,0.5,2.4141949932878806,0.9843419693411196,0.03731904146697541,7.683565765011068,0.9786848582577832,0.16517919666913092,7.721812034139828,0.9774945880894682,0.17161763930807308,0.37238174794735956,0.7776916970959856,0.10266727653845233,0.9611122182437352,0.9868154617668361,0.012849854267373378,,,,0,0.5714285714285714,0.42857142857142855,0.7551020408163265,0.9336734693877551
raw_ETP_scheduleA,vocal_scorable,282,0.5,2.276622329006179,0.9874423185169476,0.02894481032413613,7.811973255576817,0.9793660707160197,0.16543174973616365,7.643710263231967,0.9851822293364957,0.11473939942975417,0.3163497317458523,0.6991334613473542,0.13239913164218559,0.9549292537337499,0.9871569294916209,0.01243112104158875,0.36162140300871237,0.5327618349038586,0.2508054381094229,282,0.5815602836879432,0.41843971631205673,0.8191489361702128,0.975177304964539
learned_ETV_proxy,all,512,0.5208333333333334,2.324705328077564,0.9858613094759281,0.03292757829827506,7.75723117031157,0.9779613100718518,0.17496306262910366,7.66602395940572,0.9815254684854235,0.142759308218956,0.33467398603352194,0.7214603191527517,0.12389959215397539,0.956873118178919,0.9866146135646026,0.012990572489798069,0.35900804234721223,0.5312420532775267,0.253418798770923,282,0.5546875,0.4453125,0.806640625,0.9765625
learned_ETV_proxy,vocal,316,0.5208333333333334,2.265499465913075,0.9852080610828916,0.03390337349349999,7.809508530399468,0.9782547231916832,0.1744453771204888,7.628544502620455,0.983416758141527,0.12773656392399269,0.31267747908677385,0.6912632361773057,0.13567715139670558,0.9545682845990869,0.9868230647500014,0.012753371762323983,0.35900804234721223,0.5312420532775267,0.253418798770923,282,0.5189873417721519,0.4810126582278481,0.7911392405063291,0.9746835443037974
learned_ETV_proxy,instrumental,196,0.5208333333333334,2.4201596772815352,0.9869145058647009,0.031354357473320604,7.672947263231083,0.9774882562664094,0.17579769844911536,7.726450022386045,0.9784762463868077,0.16697965106185603,0.37013774213134026,0.7701454121131647,0.10491128235447164,0.9605890743586482,0.9862785392044701,0.013372998152460371,,,,0,0.6122448979591837,0.3877551020408163,0.8316326530612245,0.9795918367346939
learned_ETV_proxy,vocal_scorable,282,0.5208333333333334,2.2720509374093183,0.9854179781475166,0.03351620192099664,7.799337087793553,0.9778104488378015,0.17806791751942735,7.632748701893691,0.983706347570891,0.12570096076803006,0.31343952984819917,0.6917761615974316,0.1353093335398387,0.9546829096391691,0.9869022181737532,0.012677465136169542,0.35900804234721223,0.5312420532775267,0.253418798770923,282,0.5425531914893617,0.4574468085106383,0.8049645390070922,0.9787234042553191
aesthetic_only_restart,all,512,0.55,2.308785292269527,0.9790969684784341,0.04884761410631153,7.788997692987323,0.9818131328545798,0.14319653995335102,7.6753857443109155,0.9825585746945961,0.13339752331376076,0.32962776507338276,0.7104654666338193,0.12894581311411457,0.9564303709194064,0.9861626928452921,0.013433319749310613,0.32647036219929704,0.48569691680416893,0.28595647891883813,282,0.501953125,0.498046875,0.73046875,0.912109375
aesthetic_only_restart,vocal,316,0.55,2.2545757501896855,0.9803668470139567,0.04482708921688904,7.838183164596558,0.981707262852648,0.14577074292339856,7.621447217615345,0.9824225764786745,0.1348338489291034,0.3043720526038669,0.6739068767929436,0.14398257787961252,0.9548978203836875,0.9871591104003828,0.012423835977723327,0.32647036219929704,0.48569691680416893,0.28595647891883813,282,0.5,0.5,0.7626582278481012,0.9367088607594937
aesthetic_only_restart,instrumental,196,0.55,2.396184349908455,0.9770496132885099,0.05532968484640082,7.709698667331618,0.9819838212250411,0.13904629434858048,7.762347858779284,0.9827778371243472,0.13108181466861646,0.37034615864668385,0.7694068665813538,0.10470286583912806,0.9589012177014837,0.9845562237258602,0.015060854809624808,,,,0,0.5051020408163265,0.49489795918367346,0.6785714285714286,0.8724489795918368
aesthetic_only_restart,vocal_scorable,282,0.55,2.2580377562818166,0.9791719090888111,0.04752938304849846,7.82655684153239,0.9810513631781955,0.15084816378059115,7.618365023998504,0.9817050584254253,0.14008463866321752,0.30722698527107556,0.6808438696682291,0.1415218781169623,0.9546719838118722,0.9868866951305546,0.012688390963466455,0.32647036219929704,0.48569691680416893,0.28595647891883813,282,0.5,0.5,0.7588652482269503,0.9326241134751773
common_score_restart,all,512,0.55,2.327462308540475,0.9870155425454264,0.03017059783536368,7.7878137696534395,0.9816899535364244,0.1443804632872343,7.6873354986310005,0.9841303115651798,0.12144776899367571,0.3332424619206904,0.7212325433531579,0.12533111626680693,0.9574041463201866,0.9871677250632775,0.012459544348530471,0.3461072982593364,0.518435795047249,0.2663195428587989,282,0.609375,0.390625,0.8125,0.94921875
common_score_restart,vocal,316,0.55,2.271164176487588,0.987659928964702,0.028238662918987256,7.8413768237150165,0.9821114109906668,0.14257708380493936,7.646884064131145,0.9857496552538518,0.10939700241330304,0.3079359135155778,0.6842601047139463,0.14041871696790162,0.9555554305073581,0.9878423801585172,0.011766225854052773,0.3461072982593364,0.518435795047249,0.2663195428587989,282,0.5854430379746836,0.41455696202531644,0.8322784810126582,0.9651898734177216
common_score_restart,instrumental,196,0.55,2.418228684707375,0.985976633828635,0.03328535004748077,7.7014570090235495,0.981010460906115,0.1472879526566486,7.752553117518523,0.9815195329650763,0.1408765559293786,0.3740428154717903,0.7808411689143355,0.10100620901402162,0.9603847289571956,0.9860800158280951,0.013577343553912883,,,,0,0.6479591836734694,0.3520408163265306,0.7806122448979592,0.923469387755102
common_score_restart,vocal_scorable,282,0.55,2.2757083535316744,0.9869525347877784,0.029858785798640552,7.833332274822479,0.9818919320524722,0.1440727304905019,7.6484882341209035,0.9856576729111513,0.10996142854081824,0.31077501279259007,0.6901912809438322,0.13797385059544778,0.955377569858064,0.9876204194305677,0.011982804917274638,0.3461072982593364,0.518435795047249,0.2663195428587989,282,0.5851063829787234,0.4148936170212766,0.8404255319148937,0.9645390070921985
ADSR_noEVPD,all,512,0.551806640625,2.316000294196863,0.9822190601423174,0.04163261217897582,7.778966820798814,0.98053727175812,0.15322741214185953,7.6692923698574305,0.9818116678092628,0.13949089776724577,0.3282090627258185,0.7093301525428235,0.13036451546167882,0.9569275302346796,0.9866721981881243,0.012936160434037447,0.31662547997658913,0.47888070031733676,0.29580136114154604,282,0.56640625,0.43359375,0.771484375,0.927734375
ADSR_noEVPD,vocal,316,0.5548655063291139,2.2588641757752765,0.982378042940722,0.040538663631298266,7.831658443318138,0.9808706356443502,0.15229546420181853,7.63494123688227,0.9842146140520246,0.12133982966217814,0.3047807210403542,0.6740093303501213,0.14357390944312526,0.9550420870132084,0.9873103291626378,0.012279569348202476,0.31662547997658913,0.47888070031733676,0.29580136114154604,282,0.5474683544303798,0.4525316455696203,0.7816455696202531,0.9335443037974683
ADSR_noEVPD,instrumental,196,0.546875,2.4081177096112567,0.9819627409367261,0.04339632514359881,7.694015021226844,0.9799998075333815,0.1547299404533542,7.72467480873575,0.9779375299892998,0.16875486471215073,0.36598128707585287,0.7662759679147308,0.10906773740995904,0.9599673264488882,0.9856433747802352,0.01399474606222036,,,,0,0.5969387755102041,0.4030612244897959,0.7551020408163265,0.9183673469387755
ADSR_noEVPD,vocal_scorable,282,0.5556737588652483,2.2629760446030875,0.9815047733656056,0.04259109472722763,7.823055411061497,0.9805783165446648,0.1543495942514839,7.636793331051549,0.9841700681878812,0.12165633161017235,0.30866097599509046,0.6830634895321348,0.1400878873929474,0.954988939330933,0.9872160312698275,0.012371435444405738,0.31662547997658913,0.47888070031733676,0.29580136114154604,282,0.549645390070922,0.450354609929078,0.7801418439716312,0.9326241134751773
