axis,sigma,stratum,is_headline_stratum,n_prompts_in_subset,usable_n,spearman_mean,spearman_std,spearman_n,ndcg@1,ndcg@2,ndcg@4,retention@1,retention@2,retention@4,false_negative@1,false_negative@2,false_negative@4
common_robust_lcb,0.9,all,True,512,512,0.2472,0.3824,512,0.6805,0.6925,0.7299,0.2285,0.4121,0.6660,0.7715,0.5879,0.3340
common_robust_lcb,0.9,vocal,False,316,316,0.2403,0.3921,316,0.6809,0.6942,0.7293,0.2278,0.3892,0.6424,0.7722,0.6108,0.3576
common_robust_lcb,0.9,instrumental,False,196,196,0.2583,0.3660,196,0.6798,0.6897,0.7307,0.2296,0.4490,0.7041,0.7704,0.5510,0.2959
common_robust_lcb,0.9,vocal_scorable,False,282,282,0.2516,0.3844,282,0.6910,0.6968,0.7324,0.2447,0.4007,0.6596,0.7553,0.5993,0.3404
common_robust_lcb,0.8,all,True,512,512,0.4833,0.3378,512,0.7984,0.8144,0.8256,0.3906,0.6094,0.8242,0.6094,0.3906,0.1758
common_robust_lcb,0.8,vocal,False,316,316,0.5103,0.3165,316,0.8017,0.8248,0.8342,0.3639,0.5854,0.8165,0.6361,0.4146,0.1835
common_robust_lcb,0.8,instrumental,False,196,196,0.4397,0.3654,196,0.7931,0.7977,0.8116,0.4337,0.6480,0.8367,0.5663,0.3520,0.1633
common_robust_lcb,0.8,vocal_scorable,False,282,282,0.5084,0.3180,282,0.8006,0.8233,0.8319,0.3759,0.5851,0.8050,0.6241,0.4149,0.1950
common_robust_lcb,0.7,all,True,512,512,0.6524,0.2549,512,0.8629,0.8733,0.8921,0.4707,0.6797,0.9102,0.5293,0.3203,0.0898
common_robust_lcb,0.7,vocal,False,316,316,0.6832,0.2289,316,0.8716,0.8838,0.9024,0.4684,0.6930,0.9209,0.5316,0.3070,0.0791
common_robust_lcb,0.7,instrumental,False,196,196,0.6028,0.2850,196,0.8487,0.8563,0.8754,0.4745,0.6582,0.8929,0.5255,0.3418,0.1071
common_robust_lcb,0.7,vocal_scorable,False,282,282,0.6845,0.2289,282,0.8689,0.8840,0.9015,0.4645,0.7021,0.9255,0.5355,0.2979,0.0745
aesthetic_pq,0.9,all,True,512,512,0.2813,0.3718,512,0.6938,0.7039,0.7397,0.2461,0.4180,0.6719,0.7539,0.5820,0.3281
aesthetic_pq,0.9,vocal,False,316,316,0.2524,0.3794,316,0.6703,0.6772,0.7262,0.2310,0.3861,0.6582,0.7690,0.6139,0.3418
aesthetic_pq,0.9,instrumental,False,196,196,0.3279,0.3544,196,0.7317,0.7471,0.7615,0.2704,0.4694,0.6939,0.7296,0.5306,0.3061
aesthetic_pq,0.9,vocal_scorable,False,282,282,0.2546,0.3751,282,0.6744,0.6793,0.7285,0.2411,0.3936,0.6631,0.7589,0.6064,0.3369
aesthetic_pq,0.8,all,True,512,512,0.5381,0.2998,512,0.8082,0.8218,0.8454,0.4199,0.6309,0.8457,0.5801,0.3691,0.1543
aesthetic_pq,0.8,vocal,False,316,316,0.5320,0.3049,316,0.8002,0.8157,0.8383,0.4146,0.6203,0.8418,0.5854,0.3797,0.1582
aesthetic_pq,0.8,instrumental,False,196,196,0.5479,0.2910,196,0.8210,0.8316,0.8568,0.4286,0.6480,0.8520,0.5714,0.3520,0.1480
aesthetic_pq,0.8,vocal_scorable,False,282,282,0.5301,0.3052,282,0.8018,0.8128,0.8370,0.4184,0.6206,0.8440,0.5816,0.3794,0.1560
aesthetic_pq,0.7,all,True,512,512,0.6291,0.2700,512,0.8585,0.8679,0.8815,0.4902,0.6992,0.8887,0.5098,0.3008,0.1113
aesthetic_pq,0.7,vocal,False,316,316,0.6182,0.2604,316,0.8459,0.8579,0.8731,0.4557,0.6677,0.8861,0.5443,0.3323,0.1139
aesthetic_pq,0.7,instrumental,False,196,196,0.6467,0.2838,196,0.8789,0.8840,0.8949,0.5459,0.7500,0.8929,0.4541,0.2500,0.1071
aesthetic_pq,0.7,vocal_scorable,False,282,282,0.6190,0.2618,282,0.8507,0.8604,0.8752,0.4610,0.6738,0.8972,0.5390,0.3262,0.1028
aesthetic_cu,0.9,all,True,512,512,0.2846,0.3752,512,0.7209,0.7248,0.7538,0.2832,0.4473,0.7207,0.7168,0.5527,0.2793
aesthetic_cu,0.9,vocal,False,316,316,0.2498,0.3929,316,0.7118,0.7083,0.7398,0.2816,0.4335,0.7025,0.7184,0.5665,0.2975
aesthetic_cu,0.9,instrumental,False,196,196,0.3405,0.3372,196,0.7355,0.7514,0.7764,0.2857,0.4694,0.7500,0.7143,0.5306,0.2500
aesthetic_cu,0.9,vocal_scorable,False,282,282,0.2551,0.3894,282,0.7177,0.7129,0.7423,0.2979,0.4574,0.7163,0.7021,0.5426,0.2837
aesthetic_cu,0.8,all,True,512,512,0.5117,0.3033,512,0.8242,0.8306,0.8471,0.4121,0.5957,0.8340,0.5879,0.4043,0.1660
aesthetic_cu,0.8,vocal,False,316,316,0.5060,0.3041,316,0.8184,0.8231,0.8426,0.3861,0.5665,0.8354,0.6139,0.4335,0.1646
aesthetic_cu,0.8,instrumental,False,196,196,0.5209,0.3018,196,0.8336,0.8427,0.8544,0.4541,0.6429,0.8316,0.5459,0.3571,0.1684
aesthetic_cu,0.8,vocal_scorable,False,282,282,0.5014,0.3110,282,0.8199,0.8232,0.8408,0.4043,0.5816,0.8227,0.5957,0.4184,0.1773
aesthetic_cu,0.7,all,True,512,512,0.6169,0.2771,512,0.8694,0.8701,0.8831,0.4941,0.6523,0.8789,0.5059,0.3477,0.1211
aesthetic_cu,0.7,vocal,False,316,316,0.5880,0.2799,316,0.8514,0.8527,0.8685,0.4557,0.5981,0.8608,0.5443,0.4019,0.1392
aesthetic_cu,0.7,instrumental,False,196,196,0.6635,0.2661,196,0.8985,0.8983,0.9065,0.5561,0.7398,0.9082,0.4439,0.2602,0.0918
aesthetic_cu,0.7,vocal_scorable,False,282,282,0.5865,0.2799,282,0.8589,0.8551,0.8688,0.4681,0.6028,0.8582,0.5319,0.3972,0.1418
semantic_fit,0.9,all,True,512,512,0.1301,0.3976,512,0.5417,0.5794,0.6436,0.1777,0.3281,0.5469,0.8223,0.6719,0.4531
semantic_fit,0.9,vocal,False,316,316,0.0805,0.3969,316,0.4942,0.5441,0.6204,0.1519,0.2816,0.5190,0.8481,0.7184,0.4810
semantic_fit,0.9,instrumental,False,196,196,0.2099,0.3855,196,0.6184,0.6362,0.6811,0.2194,0.4031,0.5918,0.7806,0.5969,0.4082
semantic_fit,0.9,vocal_scorable,False,282,282,0.0899,0.3915,282,0.4926,0.5460,0.6234,0.1560,0.2837,0.5213,0.8440,0.7163,0.4787
semantic_fit,0.8,all,True,512,512,0.2044,0.3814,512,0.5591,0.6122,0.6726,0.1777,0.3672,0.6113,0.8223,0.6328,0.3887
semantic_fit,0.8,vocal,False,316,316,0.1567,0.3953,316,0.5095,0.5818,0.6434,0.1456,0.3544,0.5759,0.8544,0.6456,0.4241
semantic_fit,0.8,instrumental,False,196,196,0.2812,0.3442,196,0.6392,0.6612,0.7197,0.2296,0.3878,0.6684,0.7704,0.6122,0.3316
semantic_fit,0.8,vocal_scorable,False,282,282,0.1597,0.3921,282,0.5185,0.5878,0.6463,0.1454,0.3652,0.5816,0.8546,0.6348,0.4184
semantic_fit,0.7,all,True,512,512,0.3032,0.3624,512,0.6088,0.6570,0.7129,0.2227,0.4473,0.6816,0.7773,0.5527,0.3184
semantic_fit,0.7,vocal,False,316,316,0.2434,0.3712,316,0.5591,0.6101,0.6800,0.1962,0.4051,0.6424,0.8038,0.5949,0.3576
semantic_fit,0.7,instrumental,False,196,196,0.3994,0.3253,196,0.6890,0.7325,0.7660,0.2653,0.5153,0.7449,0.7347,0.4847,0.2551
semantic_fit,0.7,vocal_scorable,False,282,282,0.2411,0.3634,282,0.5586,0.6078,0.6782,0.1986,0.4078,0.6454,0.8014,0.5922,0.3546
lyric_intelligibility,0.9,all,False,512,102,0.0384,0.3834,102,0.4119,0.4503,0.5321,0.1275,0.2745,0.5196,0.8725,0.7255,0.4804
lyric_intelligibility,0.9,vocal,False,316,102,0.0384,0.3834,102,0.4119,0.4503,0.5321,0.1275,0.2745,0.5196,0.8725,0.7255,0.4804
lyric_intelligibility,0.9,instrumental,False,196,0,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
lyric_intelligibility,0.9,vocal_scorable,True,282,102,0.0384,0.3834,102,0.4119,0.4503,0.5321,0.1275,0.2745,0.5196,0.8725,0.7255,0.4804
lyric_intelligibility,0.8,all,False,512,232,0.2490,0.3708,232,0.5467,0.5571,0.6145,0.2672,0.4612,0.6983,0.7328,0.5388,0.3017
lyric_intelligibility,0.8,vocal,False,316,232,0.2490,0.3708,232,0.5467,0.5571,0.6145,0.2672,0.4612,0.6983,0.7328,0.5388,0.3017
lyric_intelligibility,0.8,instrumental,False,196,0,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
lyric_intelligibility,0.8,vocal_scorable,True,282,230,0.2497,0.3712,230,0.5484,0.5598,0.6178,0.2696,0.4652,0.7043,0.7304,0.5348,0.2957
lyric_intelligibility,0.7,all,False,512,240,0.5505,0.3322,240,0.7317,0.7522,0.7833,0.4750,0.6667,0.8167,0.5250,0.3333,0.1833
lyric_intelligibility,0.7,vocal,False,316,240,0.5505,0.3322,240,0.7317,0.7522,0.7833,0.4750,0.6667,0.8167,0.5250,0.3333,0.1833
lyric_intelligibility,0.7,instrumental,False,196,0,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
lyric_intelligibility,0.7,vocal_scorable,True,282,237,0.5540,0.3299,237,0.7363,0.7583,0.7879,0.4768,0.6709,0.8186,0.5232,0.3291,0.1814
section_coherence,0.9,all,True,512,512,0.3883,0.3356,512,0.7148,0.7339,0.7780,0.3203,0.5273,0.7773,0.6797,0.4727,0.2227
section_coherence,0.9,vocal,False,316,316,0.3816,0.3400,316,0.7066,0.7298,0.7754,0.3006,0.5222,0.7785,0.6994,0.4778,0.2215
section_coherence,0.9,instrumental,False,196,196,0.3991,0.3282,196,0.7281,0.7405,0.7822,0.3520,0.5357,0.7755,0.6480,0.4643,0.2245
section_coherence,0.9,vocal_scorable,False,282,282,0.3744,0.3351,282,0.7069,0.7294,0.7734,0.2943,0.5106,0.7589,0.7057,0.4894,0.2411
section_coherence,0.8,all,True,512,512,0.5831,0.2727,512,0.8093,0.8285,0.8549,0.4199,0.6523,0.8711,0.5801,0.3477,0.1289
section_coherence,0.8,vocal,False,316,316,0.5848,0.2640,316,0.7878,0.8210,0.8537,0.3829,0.6519,0.8861,0.6171,0.3481,0.1139
section_coherence,0.8,instrumental,False,196,196,0.5802,0.2862,196,0.8440,0.8407,0.8569,0.4796,0.6531,0.8469,0.5204,0.3469,0.1531
section_coherence,0.8,vocal_scorable,False,282,282,0.5924,0.2595,282,0.7897,0.8240,0.8566,0.3688,0.6525,0.8830,0.6312,0.3475,0.1170
section_coherence,0.7,all,True,512,512,0.6860,0.2365,512,0.8790,0.8801,0.8988,0.5527,0.7500,0.9375,0.4473,0.2500,0.0625
section_coherence,0.7,vocal,False,316,316,0.6772,0.2343,316,0.8678,0.8723,0.8939,0.5190,0.7437,0.9367,0.4810,0.2563,0.0633
section_coherence,0.7,instrumental,False,196,196,0.7002,0.2395,196,0.8971,0.8926,0.9066,0.6071,0.7602,0.9388,0.3929,0.2398,0.0612
section_coherence,0.7,vocal_scorable,False,282,282,0.6775,0.2380,282,0.8705,0.8749,0.8959,0.5177,0.7376,0.9326,0.4823,0.2624,0.0674
