schedule,compute_fraction,metric,stratum,n_prompt_evals,reward_fraction,mean_selected_reward,mean_full_bon8_reward,winner_match,top2_all_retention,top2_any_retention,top4_all_retention,top4_any_retention,false_negative_top1_prompt_rate,false_negative_top2_candidate_rate,mean_regret,median_regret
full_bon8,1.0,common_robust_lcb,all,512,1.0,2.3576329063758386,2.3576329063758386,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
bon4_first4,0.5,common_robust_lcb,all,512,0.9818568158904715,2.314857938492779,2.3576329063758386,0.482421875,0.220703125,0.775390625,0.017578125,0.984375,0.517578125,0.501953125,0.04277496788305997,0.0027718154565379294
bon4_random_subset,0.5,common_robust_lcb,all,51200,0.9823035873972874,2.3159112616988793,2.3576329063758386,0.4986328125,0.2131640625,0.78849609375,0.01337890625,0.98609375,0.5013671875,0.499169921875,0.041721644676959393,0.00011613891093720241
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,common_robust_lcb,all,512,0.9863736609527787,2.3255070010446754,2.3576329063758386,0.5703125,0.21484375,0.787109375,0.0,0.9609375,0.4296875,0.4990234375,0.0321259053311633,0.0
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,common_robust_lcb,all,512,0.9912911892697042,2.337100727622694,2.3576329063758386,0.66796875,0.28515625,0.859375,0.0,0.978515625,0.33203125,0.427734375,0.020532178753144732,0.0
raw_schedule_c_sigma0.8_top6,0.85,common_robust_lcb,all,512,0.9987062689063722,2.3545827633775,2.3576329063758386,0.943359375,0.83984375,0.9921875,0.56640625,1.0,0.056640625,0.083984375,0.0030501429983388678,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,common_robust_lcb,all,512,0.9987062689063722,2.3545827633775,2.3576329063758386,0.943359375,0.83984375,0.9921875,0.56640625,1.0,0.056640625,0.083984375,0.0030501429983388678,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,common_robust_lcb,all,512,0.9997508271003919,2.3570454481483454,2.3576329063758386,0.98046875,0.921875,1.0,0.736328125,1.0,0.01953125,0.0390625,0.0005874582274935465,0.0
random_prune_keep4_keep2,0.5,common_robust_lcb,all,51200,0.9571177312960972,2.2565322585794667,2.3576329063758386,0.2528515625,0.03513671875,0.4633203125,0.0,0.7840625,0.7471484375,0.750771484375,0.10110064779637208,0.07019844399011665
full_bon8,1.0,aesthetic_pq,all,512,1.0,7.932194232940674,7.932194232940674,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
bon4_first4,0.5,aesthetic_pq,all,512,0.9834425541868622,7.800857356749475,7.932194232940674,0.49609375,0.181640625,0.783203125,0.009765625,0.984375,0.50390625,0.517578125,0.13133687619119883,0.002628326416015625
bon4_random_subset,0.5,aesthetic_pq,all,51200,0.9832256736002002,7.799137017810717,7.932194232940674,0.50044921875,0.2148828125,0.788203125,0.015234375,0.985703125,0.49955078125,0.49845703125,0.1330572151299566,0.0
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,aesthetic_pq,all,512,0.9866239351359695,7.826092688366771,7.932194232940674,0.5625,0.1875,0.7890625,0.0,0.958984375,0.4375,0.51171875,0.10610154457390308,0.0
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,aesthetic_pq,all,512,0.9925011364487184,7.872711790725589,7.932194232940674,0.685546875,0.28515625,0.876953125,0.0,0.986328125,0.314453125,0.4189453125,0.05948244221508503,0.0
raw_schedule_c_sigma0.8_top6,0.85,aesthetic_pq,all,512,0.9992931899693881,7.926587678492069,7.932194232940674,0.943359375,0.875,0.994140625,0.59375,1.0,0.056640625,0.0654296875,0.005606554448604584,0.0
