schedule,compute_fraction,selection_metric,evaluation_metric,stratum,n_prompt_evals,reward_fraction,winner_match,mean_regret,median_regret
full_bon8,1.0,common_robust_lcb,common_robust_lcb,all,512,1.0,1.0,0.0,0.0
bon4_first4,0.5,common_robust_lcb,common_robust_lcb,all,512,0.9818568158904715,0.482421875,0.04277496788305997,0.0027718154565379294
bon4_random_subset,0.5,common_robust_lcb,common_robust_lcb,all,51200,0.9823035873972874,0.4986328125,0.041721644676959393,0.00011613891093720241
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,common_robust_lcb,common_robust_lcb,all,512,0.9863736609527787,0.5703125,0.0321259053311633,0.0
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,common_robust_lcb,common_robust_lcb,all,512,0.9912911892697042,0.66796875,0.020532178753144732,0.0
raw_schedule_c_sigma0.8_top6,0.85,common_robust_lcb,common_robust_lcb,all,512,0.9987062689063722,0.943359375,0.0030501429983388678,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,common_robust_lcb,common_robust_lcb,all,512,0.9987062689063722,0.943359375,0.0030501429983388678,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,common_robust_lcb,common_robust_lcb,all,512,0.9997508271003919,0.98046875,0.0005874582274935465,0.0
random_prune_keep4_keep2,0.5,common_robust_lcb,common_robust_lcb,all,51200,0.9571177312960972,0.2528515625,0.10110064779637208,0.07019844399011665
full_bon8,1.0,common_robust_lcb,aesthetic_pq,all,512,1.0,1.0,0.0,0.0
bon4_first4,0.5,common_robust_lcb,aesthetic_pq,all,512,0.9834425541868622,0.49609375,0.13133687619119883,0.002628326416015625
bon4_random_subset,0.5,common_robust_lcb,aesthetic_pq,all,51200,0.9832256736002002,0.50044921875,0.1330572151299566,0.0
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,common_robust_lcb,aesthetic_pq,all,512,0.9874607855873021,0.591796875,0.09946348425000906,0.0
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,common_robust_lcb,aesthetic_pq,all,512,0.9919144906231535,0.677734375,0.0641358308494091,0.0
raw_schedule_c_sigma0.8_top6,0.85,common_robust_lcb,aesthetic_pq,all,512,0.9990269090337794,0.9453125,0.007718746550381184,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,common_robust_lcb,aesthetic_pq,all,512,0.9990269090337794,0.9453125,0.007718746550381184,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,common_robust_lcb,aesthetic_pq,all,512,0.9995278399399893,0.96875,0.003745265305042267,0.0
random_prune_keep4_keep2,0.5,common_robust_lcb,aesthetic_pq,all,51200,0.9590889886428091,0.25234375,0.3245140883512795,0.21806049346923828
