unit,axis,source,between_share,between_within_ratio,sign_consistency,crossing_frequency,globalness_index
CU-BW,coherence,human_pref_proxy,0.06418213396026604,0.06858400153426962,0.25,0.0,
CU-BW,coherence,section_reward_delta,0.06443156657588177,0.06886889753223772,0.25,0.0,
CU-BW,coherence,human_pref_proxy,0.06418213396026604,0.06858400153426962,0.25,0.0,
CU-BW,coherence,section_reward_delta,0.06443287844736927,0.06887039632222108,0.25,0.0,
CU-BW,musicality,human_pref_proxy,0.47478303916488096,0.9039750704355668,1.0,0.0,0.824927679721627
CU-BW,musicality,section_reward_delta,0.460236643791186,0.8526637432814871,1.0,0.0,0.8200788812637286
CU-BW,musicality,human_pref_proxy,0.47478303916488096,0.9039750704355668,1.0,0.0,0.824927679721627
CU-BW,musicality,section_reward_delta,0.45431787665952267,0.8325687377815234,1.0,0.0,0.8181059588865076
CU-BW,prompt_fit,human_pref_proxy,0.5999088058367074,1.4994301663931688,1.0,0.0,0.8666362686122357
CU-BW,prompt_fit,section_reward_delta,0.5998641648462228,1.4991513184908505,1.0,0.0,0.8666213882820742
CU-FW,coherence,human_pref_proxy,,,0.0,,
CU-FW,coherence,section_reward_delta,,,0.0,,
CU-FW,coherence,human_pref_proxy,,,0.0,,
CU-FW,coherence,section_reward_delta,,,0.0,,
CU-FW,musicality,human_pref_proxy,0.5910433520438362,1.4452469595437172,1.0,0.0,0.8636811173479454
CU-FW,musicality,section_reward_delta,0.5399417170860047,1.1736376392704644,1.0,0.0,0.8466472390286682
CU-FW,musicality,human_pref_proxy,0.5910433520438362,1.4452469595437172,1.0,0.0,0.8636811173479454
CU-FW,musicality,section_reward_delta,0.514520701873569,1.0598200661886408,1.0,0.0,0.8381735672911896
CU-FW,prompt_fit,human_pref_proxy,0.5766904028902523,1.3623371802287272,1.0,0.0,0.8588968009634175
CU-FW,prompt_fit,section_reward_delta,0.5645521076286177,1.296486026270913,1.0,0.0,0.8548507025428725
CU-LS,coherence,human_pref_proxy,0.3967572485686897,0.6577074446850895,1.0,0.0,0.7989190828562299
CU-LS,coherence,section_reward_delta,0.3976643952904647,0.660204032737249,1.0,0.0,0.7992214650968216
CU-LS,coherence,human_pref_proxy,0.3967572485686897,0.6577074446850895,1.0,0.0,0.7989190828562299
CU-LS,coherence,section_reward_delta,0.3965654855136546,0.6571806484274744,1.0,0.0,0.7988551618378849
CU-LS,musicality,human_pref_proxy,0.5609307371017551,1.2775449900526328,1.0,0.0,0.8536435790339184
CU-LS,musicality,section_reward_delta,0.4587324758172259,0.8475152402868386,1.0,0.0,0.8195774919390753
CU-LS,musicality,human_pref_proxy,0.5609307371017551,1.2775449900526328,1.0,0.0,0.8536435790339184
CU-LS,musicality,section_reward_delta,0.44022305082134894,0.7864258281218598,1.0,0.0,0.8134076836071163
CU-LS,prompt_fit,human_pref_proxy,0.5434421028263298,1.1903027112016196,1.0,0.0,0.8478140342754432
CU-LS,prompt_fit,section_reward_delta,0.5925874974239121,1.4545147575907822,1.0,0.0,0.8641958324746374
CU-MS,coherence,human_pref_proxy,0.20970493724672531,0.26535018011645345,1.0,0.0,0.7365683124155751
CU-MS,coherence,section_reward_delta,0.21005752478877335,0.26591496391253683,1.0,0.0,0.7366858415962578
CU-MS,coherence,human_pref_proxy,0.20970493724672531,0.26535018011645345,1.0,0.0,0.7365683124155751
CU-MS,coherence,section_reward_delta,0.2091251154191647,0.2644225015819048,1.0,0.0,0.7363750384730549
CU-MS,musicality,human_pref_proxy,0.6468664235731405,1.8317896307634696,1.0,0.0,0.8822888078577135
CU-MS,musicality,section_reward_delta,0.5800915156032515,1.3814712899564912,1.0,0.0,0.8600305052010838
CU-MS,musicality,human_pref_proxy,0.6468664235731405,1.8317896307634696,1.0,0.0,0.8822888078577135
CU-MS,musicality,section_reward_delta,0.586866380206592,1.4205243826441936,1.0,0.0,0.8622887934021973
CU-MS,prompt_fit,human_pref_proxy,0.5130132181003766,1.0534438246952615,1.0,0.0,0.8376710727001255
CU-MS,prompt_fit,section_reward_delta,0.5594387428343107,1.2698319103985873,1.0,0.0,0.8531462476114369
CU-NULL-rand-section,coherence,human_pref_proxy,0.20970493724672531,0.26535018011645345,1.0,0.0,0.7365683124155751
CU-NULL-rand-section,coherence,section_reward_delta,0.21005752478877335,0.26591496391253683,1.0,0.0,0.7366858415962578
CU-NULL-rand-section,coherence,human_pref_proxy,0.20970493724672531,0.26535018011645345,1.0,0.0,0.7365683124155751
CU-NULL-rand-section,coherence,section_reward_delta,0.2091251154191647,0.2644225015819048,1.0,0.0,0.7363750384730549
CU-NULL-rand-section,musicality,human_pref_proxy,0.6468664235731405,1.8317896307634696,1.0,0.0,0.8822888078577135
CU-NULL-rand-section,musicality,section_reward_delta,0.5800915156032515,1.3814712899564912,1.0,0.0,0.8600305052010838
CU-NULL-rand-section,musicality,human_pref_proxy,0.6468664235731405,1.8317896307634696,1.0,0.0,0.8822888078577135
CU-NULL-rand-section,musicality,section_reward_delta,0.586866380206592,1.4205243826441936,1.0,0.0,0.8622887934021973
CU-NULL-rand-section,prompt_fit,human_pref_proxy,0.524580703526578,1.1034064191710917,1.0,0.0,0.841526901175526
CU-NULL-rand-section,prompt_fit,section_reward_delta,0.5656578943324537,1.3023326243332694,1.0,0.0,0.8552192981108179
