stratum,policy,n_prompts,type_error_rate,reward_fraction
all,full_bon8,256,0.1836,1.0
all,common_restart,256,0.168,0.9982
all,adsr_evpd,256,0.1562,0.9963
all,adsr_evpd_select,256,0.1211,0.9936
vocal_prompts,full_bon8,159,0.1824,0.9765
vocal_prompts,common_restart,159,0.1698,0.9751
vocal_prompts,adsr_evpd,159,0.1509,0.9729
vocal_prompts,adsr_evpd_select,159,0.0943,0.9688
instrumental_prompts,full_bon8,97,0.1856,1.0385
instrumental_prompts,common_restart,97,0.1649,1.0361
instrumental_prompts,adsr_evpd,97,0.1649,1.0347
instrumental_prompts,adsr_evpd_select,97,0.1649,1.0343
en_vocal_lyric_bearing,full_bon8,147,0.1769,0.9775
en_vocal_lyric_bearing,common_restart,147,0.1633,0.976
en_vocal_lyric_bearing,adsr_evpd,147,0.1429,0.9738
en_vocal_lyric_bearing,adsr_evpd_select,147,0.0884,0.97
type_risk_prompts,full_bon8,153,0.3072,0.997
type_risk_prompts,common_restart,153,0.281,0.9948
type_risk_prompts,adsr_evpd,153,0.2614,0.9919
type_risk_prompts,adsr_evpd_select,153,0.2026,0.9875
