prompt_id,stratum,overlap_prompts,atlas_prompts,n2_prompts,atlas_p_512,n2_p_128,delta_n2_minus_atlas
held_out_0008,vocal,17,32,128,0.173828125,0.2109375,0.037109375
held_out_0017,vocal,17,32,128,0.044921875,0.0625,0.017578125
held_out_0021,vocal,17,32,128,0.15234375,0.15625,0.00390625
held_out_0041,instrumental,17,32,128,0.4609375,0.3828125,-0.078125
held_out_0045,vocal,17,32,128,0.02734375,0.03125,0.00390625
held_out_0088,instrumental,17,32,128,0.427734375,0.4921875,0.064453125
held_out_0094,instrumental,17,32,128,0.28515625,0.2734375,-0.01171875
held_out_0117,instrumental,17,32,128,0.216796875,0.2734375,0.056640625
held_out_0119,vocal,17,32,128,0.099609375,0.109375,0.009765625
held_out_0142,vocal,17,32,128,0.037109375,0.0703125,0.033203125
held_out_0193,vocal,17,32,128,0.064453125,0.0546875,-0.009765625
held_out_0204,vocal,17,32,128,0.119140625,0.140625,0.021484375
held_out_0236,instrumental,17,32,128,0.603515625,0.6171875,0.013671875
held_out_0238,instrumental,17,32,128,0.19921875,0.21875,0.01953125
held_out_0240,vocal,17,32,128,0.02734375,0.0078125,-0.01953125
held_out_0253,instrumental,17,32,128,0.4296875,0.421875,-0.0078125
held_out_0254,vocal,17,32,128,0.041015625,0.0234375,-0.017578125
