dataset,condition,stratum,prompts,seeds_per_prompt,population_weighted,draws_N,deployment_success,cluster_bootstrap_ci95_low,cluster_bootstrap_ci95_high,prompt_only_ci95_low,prompt_only_ci95_high,estimand,rate_scope
atlas_baseline,none,instrumental,15,512,0,4,0.806827330501983,0.7479415663649464,0.8572796320557731,0.7502042002447706,0.8592941402224823,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
atlas_baseline,none,instrumental,15,512,0,5,0.865794903005561,0.8153145521171109,0.907846881295383,0.8177531816232234,0.9092935734638122,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
atlas_baseline,none,instrumental,15,512,0,8,0.9512476600753637,0.9221962388109101,0.973175139021441,0.92488677851387,0.9738815387342861,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
atlas_baseline,none,instrumental,15,512,0,16,0.9952106693846593,0.9894001881853419,0.9986475906116805,0.9904931946144966,0.9987047078023173,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
atlas_baseline,none,vocal,17,512,0,4,0.29156591836791074,0.21009883767320015,0.3741051659329541,0.21053949610802247,0.3746527205797439,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
atlas_baseline,none,vocal,17,512,0,5,0.34384614667037533,0.2513685372379157,0.4372974570687823,0.25423092311906265,0.43634968766746945,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
atlas_baseline,none,vocal,17,512,0,8,0.46829225669583274,0.35462047814497333,0.5791738113736646,0.35720636689725416,0.5793852864446639,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
atlas_baseline,none,vocal,17,512,0,16,0.6610801797936748,0.5352935268819705,0.7752044370031427,0.540036842004126,0.7776189728885884,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
atlas_v3,V3,vocal,17,128,0,4,0.9886597688583767,0.969788254266057,0.9976725742933067,0.9725611327106463,0.9977540070026675,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
atlas_v3,V3,vocal,17,128,0,5,0.9942630622330505,0.98215352204951,0.9993450076438688,0.9848315758407218,0.9993436418030315,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
atlas_v3,V3,vocal,17,128,0,8,0.9989569410646051,0.9955785338590168,0.9999828314984233,0.9969300968038327,0.9999826193769111,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
atlas_v3,V3,vocal,17,128,0,16,0.9999826958998208,0.9998361529514986,0.9999999985664443,0.9999480949500712,0.9999999983920677,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
atlas_istrong,I_strong,instrumental,15,128,0,4,0.8059316818912824,0.7311741053250929,0.8660186192082862,0.7387185999440651,0.8665702949215969,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
atlas_istrong,I_strong,instrumental,15,128,0,5,0.8629949822983084,0.796098094733267,0.9128764535290248,0.8055341914574577,0.9138199097959053,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
atlas_istrong,I_strong,instrumental,15,128,0,8,0.9466865750338405,0.9013501808496281,0.9738599731595114,0.911285573222655,0.974143261411054,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
atlas_istrong,I_strong,instrumental,15,128,0,16,0.993218594372897,0.9777041527646436,0.998525094307537,0.984738337115817,0.9987211571539264,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
