dataset,condition,stratum,prompts,draws_N,prompt_paired_delta,cluster_bootstrap_ci95_low,cluster_bootstrap_ci95_high,seed_pairing
atlas_v3,V3,vocal,17,4,0.6970938504904659,0.6117280175410141,0.777973607834407,independent seed resampling; prompts paired
atlas_v3,V3,vocal,17,5,0.6504169155626752,0.5569333228957528,0.743995044837329,independent seed resampling; prompts paired
atlas_v3,V3,vocal,17,8,0.5306646843687723,0.4173929048295938,0.6452130647863724,independent seed resampling; prompts paired
atlas_v3,V3,vocal,17,16,0.33890251610614597,0.22313216255630172,0.46452081847084603,independent seed resampling; prompts paired
atlas_istrong,I_strong,instrumental,15,4,-0.0008956486107005427,-0.07665564229740994,0.06595566674727403,independent seed resampling; prompts paired
atlas_istrong,I_strong,instrumental,15,5,-0.0027999207072525677,-0.06732041434708232,0.054587465030320616,independent seed resampling; prompts paired
atlas_istrong,I_strong,instrumental,15,8,-0.004561085041523268,-0.046856669512583465,0.027704198051352078,independent seed resampling; prompts paired
atlas_istrong,I_strong,instrumental,15,16,-0.0019920750117622915,-0.016065823009863332,0.004927521153908215,independent seed resampling; prompts paired
stage3,instr_both,instrumental,15,4,0.006602978793671355,-0.08266242820534292,0.07656095191244577,independent seed resampling; prompts paired
stage3,instr_both,instrumental,15,5,0.0012866163349144698,-0.0804520311502274,0.059927503965578076,independent seed resampling; prompts paired
stage3,instr_both,instrumental,15,8,-0.006856083305518072,-0.0671634085677567,0.029857156914916253,independent seed resampling; prompts paired
stage3,instr_both,instrumental,15,16,-0.00565436612660611,-0.040083593694783926,0.004787932968970112,independent seed resampling; prompts paired
stage3,instr_sampler,instrumental,15,4,-0.012250514737873648,-0.07233619991187878,0.030570188323399625,independent seed resampling; prompts paired
stage3,instr_sampler,instrumental,15,5,-0.009222492851714984,-0.06451523170283224,0.026622940041722425,independent seed resampling; prompts paired
stage3,instr_sampler,instrumental,15,8,-0.0028307060797493123,-0.04289695196820486,0.017487234653536066,independent seed resampling; prompts paired
stage3,instr_sampler,instrumental,15,16,0.000521958767254264,-0.012061088300672877,0.003983795909162415,independent seed resampling; prompts paired
stage3,instr_text,instrumental,15,4,-0.0740217962981357,-0.17903024931823894,0.007997303350299868,independent seed resampling; prompts paired
stage3,instr_text,instrumental,15,5,-0.07434984994719494,-0.18064972987298256,0.0003048948974262281,independent seed resampling; prompts paired
stage3,instr_text,instrumental,15,8,-0.06355453670402612,-0.16745965102279373,-0.0036917099353966855,independent seed resampling; prompts paired
stage3,instr_text,instrumental,15,16,-0.03542186579041075,-0.12352971439926173,-0.0010601311579897161,independent seed resampling; prompts paired
stage3,vocal_both,vocal,17,4,0.6948471046831829,0.6050056252035361,0.7770048963444638,independent seed resampling; prompts paired
stage3,vocal_both,vocal,17,5,0.6488455421170359,0.5539330525775441,0.7429117166088227,independent seed resampling; prompts paired
stage3,vocal_both,vocal,17,8,0.530220716719096,0.41653607575927815,0.6442136370770645,independent seed resampling; prompts paired
stage3,vocal_both,vocal,17,16,0.3388877453297937,0.22311263356316682,0.46451934159533953,independent seed resampling; prompts paired
stage3,vocal_guidance,vocal,17,4,0.6906861745545243,0.6021787704227951,0.7739941824688311,independent seed resampling; prompts paired
stage3,vocal_guidance,vocal,17,5,0.6449683367811173,0.5490191838148082,0.7404380294918687,independent seed resampling; prompts paired
stage3,vocal_guidance,vocal,17,8,0.5281499237712287,0.41463248705388067,0.6424242806332028,independent seed resampling; prompts paired
stage3,vocal_guidance,vocal,17,16,0.33870987789514984,0.2228734366071997,0.4642637918685428,independent seed resampling; prompts paired
stage3,vocal_hints,vocal,17,4,0.0026906636117286433,-0.06220171488359269,0.06304419124498961,independent seed resampling; prompts paired
stage3,vocal_hints,vocal,17,5,-0.0010789775191393106,-0.07552417403702069,0.06236187638031322,independent seed resampling; prompts paired
stage3,vocal_hints,vocal,17,8,-0.01360571755085451,-0.10374458513356617,0.052532264188971625,independent seed resampling; prompts paired
stage3,vocal_hints,vocal,17,16,-0.03831146268092327,-0.15730580086761528,0.030371883143221277,independent seed resampling; prompts paired
