prompt_id,stratum,selection_bin,successes,attempts,p_hat,assigned_regime,prob_rare_le_1_in_16,prob_low_1_in_16_to_1_in_4,prob_seed_recoverable_1_in_4_to_1_in_2,prob_easy_ge_1_in_2,max_membership_probability,membership_flag,population_weight
held_out_0006,vocal,0,106,128,0.828125,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0344827586206895
held_out_0008,vocal,5,27,128,0.2109375,low_1_in_16_to_1_in_4,0.0,0.838,0.162,0.0,0.838,stable,2.0
held_out_0009,instrumental,0,107,128,0.8359375,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0011,vocal,2,25,128,0.1953125,low_1_in_16_to_1_in_4,0.0,0.9236,0.0764,0.0,0.9236,stable,1.9230769230769231
held_out_0012,vocal,0,69,128,0.5390625,easy_ge_1_in_2,0.0,0.0,0.1678,0.8322,0.8322,stable,2.0344827586206895
held_out_0014,vocal,4,16,128,0.125,low_1_in_16_to_1_in_4,0.0171,0.9829,0.0,0.0,0.9829,stable,2.0
held_out_0017,vocal,5,8,128,0.0625,rare_le_1_in_16,0.593,0.407,0.0,0.0,0.593,uncertain,2.0
held_out_0020,instrumental,0,125,128,0.9765625,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0021,vocal,6,20,128,0.15625,low_1_in_16_to_1_in_4,0.0012,0.995,0.0038,0.0,0.995,stable,1.5
held_out_0023,vocal,0,74,128,0.578125,easy_ge_1_in_2,0.0,0.0,0.0298,0.9702,0.9702,stable,2.0344827586206895
held_out_0027,vocal,0,49,128,0.3828125,seed_recoverable_1_in_4_to_1_in_2,0.0,0.0005,0.9953,0.0042,0.9953,stable,2.0344827586206895
held_out_0029,vocal,2,33,128,0.2578125,seed_recoverable_1_in_4_to_1_in_2,0.0,0.3917,0.6083,0.0,0.6083,uncertain,1.9230769230769231
held_out_0031,instrumental,0,116,128,0.90625,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0034,vocal,0,99,128,0.7734375,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0344827586206895
held_out_0036,vocal,3,23,128,0.1796875,low_1_in_16_to_1_in_4,0.0001,0.9729,0.027,0.0,0.9729,stable,2.0
held_out_0037,vocal,1,23,128,0.1796875,low_1_in_16_to_1_in_4,0.0,0.9719,0.0281,0.0,0.9719,stable,2.0
held_out_0038,instrumental,0,120,128,0.9375,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0039,vocal,4,23,128,0.1796875,low_1_in_16_to_1_in_4,0.0001,0.9717,0.0282,0.0,0.9717,stable,2.0
held_out_0040,instrumental,1,66,128,0.515625,easy_ge_1_in_2,0.0,0.0,0.3187,0.6813,0.6813,uncertain,2.0
held_out_0041,instrumental,6,49,128,0.3828125,seed_recoverable_1_in_4_to_1_in_2,0.0,0.0007,0.9951,0.0042,0.9951,stable,2.0
held_out_0044,vocal,2,75,128,0.5859375,easy_ge_1_in_2,0.0,0.0,0.0196,0.9804,0.9804,stable,1.9230769230769231
held_out_0045,vocal,5,4,128,0.03125,rare_le_1_in_16,0.9803,0.0197,0.0,0.0,0.9803,stable,2.0
held_out_0046,instrumental,2,70,128,0.546875,easy_ge_1_in_2,0.0,0.0,0.1215,0.8785,0.8785,stable,2.25
held_out_0052,vocal,0,61,128,0.4765625,seed_recoverable_1_in_4_to_1_in_2,0.0,0.0,0.6698,0.3302,0.6698,uncertain,2.0344827586206895
held_out_0055,vocal,4,73,128,0.5703125,easy_ge_1_in_2,0.0,0.0,0.0488,0.9512,0.9512,stable,2.0
held_out_0056,vocal,3,15,128,0.1171875,low_1_in_16_to_1_in_4,0.0293,0.9707,0.0,0.0,0.9707,stable,2.0
held_out_0057,vocal,2,54,128,0.421875,seed_recoverable_1_in_4_to_1_in_2,0.0,0.0,0.9553,0.0447,0.9553,stable,1.9230769230769231
held_out_0059,instrumental,4,66,128,0.515625,easy_ge_1_in_2,0.0,0.0,0.3263,0.6737,0.6737,uncertain,2.0
held_out_0061,instrumental,0,118,128,0.921875,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0062,vocal,1,50,128,0.390625,seed_recoverable_1_in_4_to_1_in_2,0.0,0.0006,0.9922,0.0072,0.9922,stable,2.0
held_out_0065,vocal,2,55,128,0.4296875,seed_recoverable_1_in_4_to_1_in_2,0.0,0.0,0.9361,0.0639,0.9361,stable,1.9230769230769231
held_out_0068,vocal,1,34,128,0.265625,seed_recoverable_1_in_4_to_1_in_2,0.0,0.3111,0.6889,0.0,0.6889,uncertain,2.0
held_out_0071,vocal,0,19,128,0.1484375,low_1_in_16_to_1_in_4,0.0025,0.9957,0.0018,0.0,0.9957,stable,2.0344827586206895
held_out_0073,vocal,0,34,128,0.265625,seed_recoverable_1_in_4_to_1_in_2,0.0,0.3015,0.6985,0.0,0.6985,uncertain,2.0344827586206895
