threshold,threshold_label,stratum,rows,stratum_ratio_median,clean_rate,pooled_seed_level_descriptive_only
1.1709946558020618e-05,strata_median_midpoint,vocal,2488,2.1681340382179234e-05,0.5160771704180064,1
1.1709946558020618e-05,strata_median_midpoint,instrumental,1512,1.738552733862004e-06,0.8220899470899471,1
0.1,sensitivity,vocal,2488,2.1681340382179234e-05,0.3163183279742765,1
0.1,sensitivity,instrumental,1512,1.738552733862004e-06,0.9814814814814815,1
0.15,sensitivity,vocal,2488,2.1681340382179234e-05,0.28818327974276525,1
0.15,sensitivity,instrumental,1512,1.738552733862004e-06,0.9880952380952381,1
0.1791,canonical,vocal,2488,2.1681340382179234e-05,0.2704983922829582,1
0.1791,canonical,instrumental,1512,1.738552733862004e-06,0.9914021164021164,1
0.2,sensitivity,vocal,2488,2.1681340382179234e-05,0.2604501607717042,1
0.2,sensitivity,instrumental,1512,1.738552733862004e-06,0.9927248677248677,1
0.25,sensitivity,vocal,2488,2.1681340382179234e-05,0.23070739549839228,1
0.25,sensitivity,instrumental,1512,1.738552733862004e-06,0.9953703703703703,1
