rating_id,label_a_voice_presence,perceived_vocal_type,vocal_extent,label_b_constraint,confidence_1_to_5,notes,request_mode,label_a_amended,reveal_sequence,rating_source
r_e47f53375a9b6c1ec3b9,yes,rap,intermittent,violated,5,,instrumental,False,1,pi:Richard
r_ed9bc949444598a804e3,yes,singing,sustained,satisfied,5,,vocal,True,2,pi:Richard
r_841abdf57a8e324d8759,yes,singing,sustained,satisfied,5,,vocal,False,3,pi:Richard
r_f5e0250776f69d16d969,yes,rap,intermittent,satisfied,,,vocal,False,4,pi:Richard
r_96ff5174a29b37f7cd55,yes,rap,intermittent,satisfied,,,vocal,False,5,pi:Richard
r_3f4812a10d7ea37232e2,yes,singing,intermittent,violated,5,,instrumental,False,6,pi:Richard
r_f8e792a09dc0a6677e5e,unsure,voice-like/ambiguous,isolated,unsure,1,,instrumental,False,7,pi:Richard
r_c85a07f7b6101fe2c935,yes,singing,isolated,satisfied,,,vocal,False,8,pi:Richard
r_bf1911ccd774450b459b,yes,singing,intermittent,violated,5,,instrumental,False,9,pi:Richard
r_917523bfdeeee23a4e21,unsure,voice-like/ambiguous,isolated,unsure,1,,instrumental,False,10,pi:Richard
r_91327ec3c3d59ef86170,yes,singing,isolated,violated,5,,instrumental,False,11,pi:Richard
r_a55e2e67d4d889c4fc0f,no,none,none,satisfied,5,,instrumental,False,12,pi:Richard
r_d35b26d21e659415a6fa,yes,singing,sustained,satisfied,,,vocal,False,13,pi:Richard
r_09e92121ec323a1e1e4b,yes,speech,intermittent,satisfied,,,vocal,False,14,pi:Richard
r_fb5c2e0ea97375a5030a,yes,singing,intermittent,violated,5,,instrumental,False,15,pi:Richard
r_6afe55d634d1ef90171c,yes,singing,sustained,satisfied,,,vocal,False,16,pi:Richard
r_2f4fce54b4068da154ff,yes,rap,sustained,satisfied,,,vocal,False,17,pi:Richard
r_a1f0ae46d90a072590d6,yes,singing,intermittent,satisfied,,,vocal,False,18,pi:Richard
r_ea32d4a49d53817f13fa,yes,voice-like/ambiguous,isolated,satisfied,,,vocal,False,19,pi:Richard
r_9a9d3310eafe607a6004,no,none,none,satisfied,5,,instrumental,False,20,pi:Richard
r_72ddf26677bafd8b4d8b,yes,singing,intermittent,satisfied,,,vocal,False,21,pi:Richard
r_a0118f84c0d68f06ecda,no,none,none,satisfied,,,instrumental,False,22,pi:Richard
r_cdfcf2e87ed7e2d43162,no,none,unsure,satisfied,,,instrumental,False,23,pi:Richard
r_81491b7ba5186b6be032,yes,rap,intermittent,satisfied,,,vocal,False,24,pi:Richard
r_4c548e45d4f5b76aacb5,yes,speech,intermittent,satisfied,,,vocal,False,25,pi:Richard
r_6db9f55db2a40f306e88,yes,rap,intermittent,satisfied,,,vocal,False,26,pi:Richard
r_36cd38a9cb9920995018,no,none,none,satisfied,,,instrumental,False,27,pi:Richard
r_2282983c958c8e74bd8d,unsure,voice-like/ambiguous,isolated,unsure,1,,instrumental,True,28,pi:Richard
r_060cfe2060a1ca4ac58c,yes,singing,isolated,violated,5,,instrumental,False,29,pi:Richard
r_95be1fa6953873245feb,yes,singing,sustained,violated,,,instrumental,False,30,pi:Richard
r_ab24ade73bc55b0bd60a,yes,singing,isolated,satisfied,,,vocal,False,31,pi:Richard
r_4232db182cccfaf10996,yes,singing,isolated,satisfied,,,vocal,False,32,pi:Richard
r_e3a40c0a9840d6148e47,yes,rap,intermittent,satisfied,,,vocal,False,33,pi:Richard
r_9042e344ca14e3d8af54,yes,rap,isolated,satisfied,,,vocal,False,34,pi:Richard
r_e479ec9344b963874510,yes,singing,intermittent,violated,,,instrumental,False,35,pi:Richard
