cohort,request_direction,condition,arm,rows,prompt_count,apparent_rate,apparent_95_ci_low,apparent_95_ci_high,corrected_instrument_rate,corrected_95_ci_low,corrected_95_ci_high,calibrated_rate,joint_95_interval_low,joint_95_interval_high,rogan_gladen_sensitivity_rate,heldout_direction_sensitivity,heldout_direction_specificity,rogan_gladen_operating_stratum,transport_source_correction,publication_status
batch3_release_keep_1342,instrumental_request,I_strong,,57,14,0.10526315789473684,0.04914465852374461,0.2112281058338703,0.9824561403508771,0.9070925082143229,0.9968963353485918,0.8900189656169895,0.730828475277906,0.983082074515244,0.980185980549961,1.0,0.8854265886515171,instrumental_request,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,arm1,1,20,17,0.1,0.027866481213768224,0.3010336452284873,0.45,0.2581978582556243,0.6579146575496577,0.3824415247738725,0.175312732004601,0.5981989066893495,0.3788304902412785,1.0,0.8854265886515171,instrumental_request,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,arm2,2,18,17,0.1111111111111111,0.03101952264561239,0.32799765130178804,0.5555555555555556,0.33716415642042774,0.7544048187299437,0.4671753972921826,0.23585469520297983,0.714479688591184,0.498044840599013,1.0,0.8854265886515171,instrumental_request,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,arm3,3,20,17,0.1,0.027866481213768224,0.3010336452284873,0.35,0.18119182410108206,0.5671457233147638,0.19636026475949744,0.06127805755154645,0.4049742863807819,0.2658905793760566,1.0,0.8854265886515171,instrumental_request,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,arm4,4,24,18,0.08333333333333333,0.023158815297043306,0.25848802193210685,0.5416666666666666,0.3507486535891948,0.72108666268789,0.3580803273457354,0.16385875137996778,0.5896620130194865,0.482358741867732,1.0,0.8854265886515171,instrumental_request,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,arm6,6,25,19,0.16,0.0640345145667644,0.3465362160717886,0.4,0.23403302377747973,0.5926054264103301,0.2231007197278899,0.0725157637726434,0.46068965680002333,0.32236053480866744,1.0,0.8854265886515171,instrumental_request,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,arm7,7,22,20,0.09090909090909091,0.025295428990995267,0.27814946841605814,0.36363636363636365,0.19733204670366125,0.5704829190986899,0.2308788307503652,0.08618537454790902,0.41994167862687265,0.2812914763122233,1.0,0.8854265886515171,instrumental_request,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,arm8,8,20,19,0.1,0.027866481213768224,0.3010336452284873,0.65,0.43285427668523624,0.818808175898918,0.44390517099830673,0.24601740629989272,0.6663396847062263,0.6047103119717226,1.0,0.8854265886515171,instrumental_request,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,none,,187,33,0.0962566844919786,0.06175618563927625,0.1470111286900872,0.983957219251337,0.9539019690235603,0.9945292634690571,0.8010388543753073,0.6113308908955472,0.9481290506775744,0.9818812977221568,1.0,0.8854265886515171,instrumental_request,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,V3,,55,16,0.6545454545454545,0.5225390350756162,0.7663729045791027,0.0,0.0,0.06528490111708637,0.0005926446518008891,0.00023164310561402059,0.0011599738523924406,nan,1.0,0.0,overall_fallback_direction_not_estimable,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,arm1,1,26,26,0.19230769230769232,0.0850706114894241,0.3787625711931699,0.0,0.0,0.1287289218592153,0.0015596676447480115,0.00033968611637988095,0.0032610674377845958,nan,1.0,0.0,overall_fallback_direction_not_estimable,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,arm2,2,25,22,0.24,0.11496313693401444,0.4342968335542908,0.0,1.3877787807814457e-17,0.13319225093904846,0.0014403283620344981,0.00039845365294268874,0.0028251716155839007,nan,1.0,0.0,overall_fallback_direction_not_estimable,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,arm3,3,26,24,0.23076923076923078,0.11033849405783291,0.42051554078943687,0.0,0.0,0.1287289218592153,0.0009486913078650101,0.00042668372123049,0.0012890578347454424,nan,1.0,0.0,overall_fallback_direction_not_estimable,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,arm4,4,29,28,0.27586206896551724,0.14698755102087954,0.45717132416865935,0.0,0.0,0.11696979849974075,0.0010166465950234244,0.00037887689714549987,0.001598705821032644,nan,1.0,0.0,overall_fallback_direction_not_estimable,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,arm6,6,48,42,0.10416666666666667,0.045321719041813105,0.2216742169438633,0.0,6.938893903907228e-18,0.07410012966611748,0.0003368553695176962,0.00016450862676310212,0.0006115310142463314,nan,1.0,0.0,overall_fallback_direction_not_estimable,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,arm7,7,26,26,0.07692307692307693,0.0213550884722762,0.2414155377162906,0.0,0.0,0.1287289218592153,0.0007186184115064534,0.00031705344659241835,0.0009879125212933955,nan,1.0,0.0,overall_fallback_direction_not_estimable,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,arm8,8,25,24,0.24,0.11496313693401444,0.4342968335542908,0.0,1.3877787807814457e-17,0.13319225093904846,0.0017307094020621958,0.0004042386619441926,0.00404138681304718,nan,1.0,0.0,overall_fallback_direction_not_estimable,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,none,,689,29,0.9492017416545718,0.9301718987032547,0.9632503873325987,0.0,0.0,0.005544499065100385,0.0029611376039837198,0.0002658459734921718,0.006761414689794157,nan,1.0,0.0,overall_fallback_direction_not_estimable,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
