group_name,group_value,n_prompts,arm1_mean,arm6_mean,delta_mean,delta_median,bootstrap_ci_low,bootstrap_ci_high,status
overall,all,256,0.33705709227649655,0.343053435760372,0.005996343483875428,0.0020005274564027786,-0.00337503322032911,0.015661285388600864,ambiguous_ci_crosses_zero
direction,instrumental_leak,97,0.38695990561023463,0.39187752168615725,0.004917616075922644,0.0014928728342056274,-0.005218429434915193,0.015661651553050968,ambiguous_ci_crosses_zero
direction,vocal_miss,159,0.3066132376011973,0.313267672648415,0.006654435047217695,0.0032457858324050903,-0.007347040367588552,0.020538788368699858,ambiguous_ci_crosses_zero
n2_regime,easy_ge_1_in_2,67,0.3522142149658917,0.35695435465382996,0.004740139687938223,0.002850443124771118,-0.011653721922023621,0.021065925731698965,ambiguous_ci_crosses_zero
n2_regime,low_1_in_16_to_1_in_4,23,0.3272605355613042,0.334944619868093,0.007684084306788852,-0.011168515930573164,-0.03234609313818414,0.052911453817606605,ambiguous_ci_crosses_zero
n2_regime,no_n2_regime,128,0.33459014640423745,0.3411763515314392,0.0065862051272017105,0.004405727609992027,-0.006461490448432631,0.019791590376745147,ambiguous_ci_crosses_zero
n2_regime,rare_le_1_in_16,5,0.37116034428278605,0.3334303902255164,-0.03772995405726962,-0.015004348754882824,-0.10210196601019965,0.026642057895660397,ambiguous_ci_crosses_zero
n2_regime,seed_recoverable_1_in_4_to_1_in_2,33,0.3175130436667289,0.32922080571911166,0.011707762052382867,0.0011014044284820557,-0.015245471276510485,0.04033298328649713,ambiguous_ci_crosses_zero
rare_basin,false,251,0.3363777446269689,0.3432451298945325,0.0068673852675635765,0.002850443124771118,-0.0026585632969137237,0.016349451933556094,ambiguous_ci_crosses_zero
rare_basin,true,5,0.37116034428278605,0.3334303902255164,-0.03772995405726962,-0.015004348754882824,-0.10210196601019965,0.026642057895660397,ambiguous_ci_crosses_zero
