audit_index,rating_id,set_bucket,expected_demucs_label,audio_path,scoring_seed
1,aprime_0142_a2eefd741ab7,agreement_spotcheck_30,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0142_a2eefd741ab7.wav,3397420067
2,aprime_0336_508baa6a6950,agreement_spotcheck_30,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0336_508baa6a6950.wav,3889082907
3,aprime_0394_166a16fd29b6,detector_disagreement_112,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0394_166a16fd29b6.wav,1174900661
4,aprime_0586_b4d59b9dd370,detector_disagreement_112,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0586_b4d59b9dd370.wav,2605346911
5,aprime_0478_b5689521556c,rare_basin_48,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0478_b5689521556c.flac,3016899158
6,aprime_0430_f9f21f0c2ce4,rare_basin_48,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0430_f9f21f0c2ce4.flac,2187513418
7,aprime_0550_e9bafa3bdcc3,stratified_random_500,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0550_e9bafa3bdcc3.flac,3869728668
8,aprime_0119_e9458fc6075e,stratified_random_500,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0119_e9458fc6075e.flac,3703448694
9,aprime_0331_f1ff243304fe,agreement_spotcheck_30,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0331_f1ff243304fe.wav,3074313516
10,aprime_0564_41ea0a00617f,agreement_spotcheck_30,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0564_41ea0a00617f.wav,4282913294
11,aprime_0251_85dbff5dabd1,detector_disagreement_112,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0251_85dbff5dabd1.wav,92935148
12,aprime_0280_d7a50f490b4f,detector_disagreement_112,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0280_d7a50f490b4f.wav,2527584792
13,aprime_0582_8d2153d7e3aa,rare_basin_48,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0582_8d2153d7e3aa.flac,1159080909
14,aprime_0371_7d422f0f0050,rare_basin_48,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0371_7d422f0f0050.flac,1424150393
15,aprime_0108_7d0fd5fbbe1b,stratified_random_500,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0108_7d0fd5fbbe1b.flac,31377459
16,aprime_0512_5bbb8326abd3,stratified_random_500,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0512_5bbb8326abd3.flac,3156676674
17,aprime_0035_dd7fe5ad978b,agreement_spotcheck_30,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0035_dd7fe5ad978b.wav,3096270702
18,aprime_0440_5a67c447858a,agreement_spotcheck_30,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0440_5a67c447858a.wav,3284546110
19,aprime_0617_862c4e1adf94,detector_disagreement_112,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0617_862c4e1adf94.wav,433803205
20,aprime_0681_9793870cebeb,detector_disagreement_112,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0681_9793870cebeb.wav,3421844304
21,aprime_0621_58e54051eb54,rare_basin_48,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0621_58e54051eb54.flac,417969850
22,aprime_0203_a72b7fc4630f,rare_basin_48,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0203_a72b7fc4630f.flac,1394089677
23,aprime_0286_89c83569eb09,stratified_random_500,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0286_89c83569eb09.flac,3548876534
24,aprime_0219_a17cf6165637,stratified_random_500,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0219_a17cf6165637.flac,3436919255
25,aprime_0234_f26770d95b42,agreement_spotcheck_30,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0234_f26770d95b42.wav,3472733124
26,aprime_0680_4345318d0dab,agreement_spotcheck_30,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0680_4345318d0dab.wav,1420995141
27,aprime_0528_0dbe28d0086c,detector_disagreement_112,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0528_0dbe28d0086c.wav,1860620273
28,aprime_0548_94fe5343553d,detector_disagreement_112,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0548_94fe5343553d.wav,3181526631
29,aprime_0635_0976fdc8bd3d,rare_basin_48,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0635_0976fdc8bd3d.flac,1107673344
30,aprime_0641_b8020558b0b8,rare_basin_48,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0641_b8020558b0b8.flac,761579150
31,aprime_0017_6322eb1d4bec,stratified_random_500,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0017_6322eb1d4bec.flac,2768224952
32,aprime_0327_c06f624535f1,stratified_random_500,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0327_c06f624535f1.flac,2026466916
33,aprime_0395_eda0a4601ec1,agreement_spotcheck_30,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0395_eda0a4601ec1.wav,3084922361
34,aprime_0357_e095ef7dbc7b,detector_disagreement_112,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0357_e095ef7dbc7b.wav,2829859951
35,aprime_0627_a8555cc90269,detector_disagreement_112,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0627_a8555cc90269.wav,2945702225
36,aprime_0442_b851c112731a,rare_basin_48,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0442_b851c112731a.flac,4006116243
37,aprime_0175_ccdd6965bd5c,rare_basin_48,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0175_ccdd6965bd5c.flac,539597876
38,aprime_0218_b16ff7250545,stratified_random_500,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0218_b16ff7250545.flac,1357389759
