audit_index,rating_id,set_bucket,expected_demucs_label,audio_path,scoring_seed,sample_rate,gate_ratio,canonical_ratio,absolute_ratio_delta,gate_near_silent,canonical_near_silent,gate_label,canonical_label,label_agree
1,aprime_0142_a2eefd741ab7,agreement_spotcheck_30,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0142_a2eefd741ab7.wav,3397420067,48000,0.049172520500,0.049172528088,0.000000007588,0,0,0,0,1
2,aprime_0336_508baa6a6950,agreement_spotcheck_30,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0336_508baa6a6950.wav,3889082907,48000,0.183303260024,0.183303266764,0.000000006740,0,0,1,1,1
3,aprime_0394_166a16fd29b6,detector_disagreement_112,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0394_166a16fd29b6.wav,1174900661,48000,0.172096793373,0.172096788883,0.000000004490,0,0,0,0,1
4,aprime_0586_b4d59b9dd370,detector_disagreement_112,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0586_b4d59b9dd370.wav,2605346911,48000,0.218131166815,0.218131184578,0.000000017763,0,0,1,1,1
5,aprime_0478_b5689521556c,rare_basin_48,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0478_b5689521556c.flac,3016899158,48000,0.091188176142,0.091188162565,0.000000013576,0,0,0,0,1
6,aprime_0430_f9f21f0c2ce4,rare_basin_48,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0430_f9f21f0c2ce4.flac,2187513418,48000,0.227622471569,0.227622479200,0.000000007632,0,0,1,1,1
7,aprime_0550_e9bafa3bdcc3,stratified_random_500,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0550_e9bafa3bdcc3.flac,3869728668,48000,0.010458190374,0.010458190925,0.000000000552,0,0,0,0,1
8,aprime_0119_e9458fc6075e,stratified_random_500,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0119_e9458fc6075e.flac,3703448694,48000,0.232643193674,0.232643216848,0.000000023174,0,0,1,1,1
9,aprime_0331_f1ff243304fe,agreement_spotcheck_30,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0331_f1ff243304fe.wav,3074313516,48000,0.021784742559,0.021784747019,0.000000004461,0,0,0,0,1
10,aprime_0564_41ea0a00617f,agreement_spotcheck_30,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0564_41ea0a00617f.wav,4282913294,48000,0.189682802088,0.189682796597,0.000000005491,0,0,1,1,1
