prompt_id,requested_vocal,baseline_n,baseline_clean,baseline_p_clean,baseline_ci95_lo,baseline_ci95_hi,v3_p_clean,v3_delta,istrong_p_clean,istrong_delta
held_out_0001,1,512,27,0.052734,0.036492,0.075638,0.890625,0.837891,,
held_out_0008,1,512,89,0.173828,0.143464,0.209051,0.789062,0.615234,,
held_out_0016,1,512,58,0.113281,0.088659,0.143663,0.890625,0.777344,,
held_out_0017,1,512,23,0.044922,0.030117,0.066504,0.828125,0.783203,,
held_out_0021,1,512,78,0.152344,0.123814,0.186052,0.921875,0.769531,,
held_out_0024,1,512,16,0.03125,0.019325,0.050156,0.664062,0.632812,,
held_out_0035,0,512,193,0.376953,0.336038,0.419701,,,0.21875,-0.158203
held_out_0041,0,512,236,0.460938,0.418211,0.504246,,,0.484375,0.023438
held_out_0043,0,512,194,0.378906,0.337934,0.421682,,,0.242188,-0.136719
held_out_0045,1,512,14,0.027344,0.016357,0.045371,0.6875,0.660156,,
held_out_0058,0,512,159,0.310547,0.272002,0.351914,,,0.34375,0.033203
held_out_0069,1,512,97,0.189453,0.15787,0.225662,0.835938,0.646484,,
held_out_0080,0,512,185,0.361328,0.320892,0.40383,,,0.390625,0.029297
held_out_0088,0,512,219,0.427734,0.385573,0.470972,,,0.328125,-0.099609
held_out_0094,0,512,146,0.285156,0.247761,0.325751,,,0.3125,0.027344
held_out_0108,0,512,221,0.431641,0.389403,0.474896,,,0.492188,0.060547
held_out_0117,0,512,111,0.216797,0.183283,0.254528,,,0.164062,-0.052734
held_out_0119,1,512,51,0.099609,0.076576,0.128607,0.882812,0.783203,,
held_out_0134,1,512,64,0.125,0.099116,0.156469,0.867188,0.742188,,
held_out_0142,1,512,19,0.037109,0.023884,0.05723,0.71875,0.681641,,
held_out_0153,0,512,185,0.361328,0.320892,0.40383,,,0.554688,0.193359
held_out_0166,1,512,95,0.185547,0.15426,0.221518,0.6875,0.501953,,
held_out_0170,0,512,145,0.283203,0.245902,0.323733,,,0.34375,0.060547
held_out_0193,1,512,33,0.064453,0.046259,0.089135,0.398438,0.333984,,
held_out_0199,1,512,7,0.013672,0.006638,0.027949,0.664062,0.650391,,
held_out_0204,1,512,61,0.119141,0.093877,0.150077,0.867188,0.748047,,
held_out_0236,0,512,309,0.603516,0.560524,0.644966,,,0.5,-0.103516
held_out_0238,0,512,102,0.199219,0.166918,0.236,,,0.3125,0.113281
held_out_0240,1,512,14,0.027344,0.016357,0.045371,0.726562,0.699219,,
held_out_0251,0,512,133,0.259766,0.223671,0.299439,,,0.492188,0.232422
held_out_0253,0,512,220,0.429688,0.387488,0.472934,,,0.289062,-0.140625
held_out_0254,1,512,21,0.041016,0.026981,0.061887,0.835938,0.794922,,
