clip_path,expected,prompt_id,demucs_ratio,panns,requested_vocal,present,source_path
orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0160_e6ba8673890c.flac,yes,held_out_0008,0.38948,0.65932,1,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/v3_vocal/held_out_0008/V3_s3_2026302003.flac
orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0379_7b1bf6aece21.flac,yes,held_out_0045,0.372,0.41049,1,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/v3_vocal/held_out_0045/V3_s0_2027102000.flac
orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0132_9eb1d0e52752.flac,yes,held_out_0088,0.57643,0.35851,0,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/istrong_instr/held_out_0088/I_strong_s1_2027505001.flac
orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0087_76fcff5bf430.flac,yes,held_out_0170,0.32444,0.32789,0,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0170/none_s3_2028400003.flac
orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0174_6844f5f64d42.flac,yes,genreinstr_folk,0.6996,0.27538,0,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/genre_instr/genreinstr_folk/none_s2_2026700002.flac
orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0406_514e4242add9.flac,no,held_out_0031,1e-05,0.08217,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256_general/held_out_0031/none_s27_2028300027.flac
orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0209_99f9f4b0fa3f.flac,no,held_out_0153,0.00021,0.12239,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/istrong_instr/held_out_0153/I_strong_s106_2028205106.flac
orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0323_70e420c71e92.flac,no,genreinstr_electronic,0.00097,0.41048,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/genre_instr/genreinstr_electronic/none_s32_2026600032.flac
orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0332_2d40c0a2a223.flac,no,held_out_0080,0.00662,0.21979,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0080/none_s470_2027400470.flac
orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0019_a00fb96bef52.flac,no,genreinstr_ambient,0.00741,0.08209,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/genre_instr/genreinstr_ambient/none_s56_2026800056.flac
