sha256	bytes	filename
3afb9519448b62e252cefeed1c0c1939b01b4e8ed70adbaf3c9f952969aa0ec7	5946	chat_template.json
e6f8c637528461398ef4e11d48b6112ce73db2458a563dfea548127c2cce253f	8528	config.json
a6b66993e9da0feaba8d42d06b21ad9cfaf7d8b591f32fd639ae35b7f5d2d859	43	configuration.json
399218e58e26b42d0856fb6624fe6f54a01c212682adb6442c06c875a2b200fb	112	generation_config.json
77aaeb7a7b3d6930eaff2379d0615f7dca743f631daf35b5e0edcc00ffe71fe6	3291	.gitattributes
599bab54075088774b1733fde865d5bd747cbcc7a547c5bc12610e874e26f5e3	1671839	merges.txt
7f2e8477f5e8aef9163d7b46ead3e955bf13fec2826092990bc1df434cba67af	3999958720	model-00001-of-00016.safetensors
1eea7a21447ac311636eeb8b2a8f4a10fbe8e1dbb85870432081a0785715c820	3999984304	model-00002-of-00016.safetensors
95465568b11da26b96dbf873c785baec9b371b07d1eaee7516bf0b97ca4d8b8d	3997370920	model-00003-of-00016.safetensors
b6b237e045ab59f8038c8b31fb2d311ef3063101adf90656f1ab931f6c082f87	3999985128	model-00004-of-00016.safetensors
ca7c8c1000c27533a7a1142f6249119539e39964056d67f1bbc889c56e7b7365	3999985488	model-00005-of-00016.safetensors
9f292ccd339bb83d5282ea8d941a77d7a8a8e12ba721a711b6691a2e9156cdbd	3999985560	model-00006-of-00016.safetensors
628f156bc9f4bfa57095dd91b21e2fdf16856d67d249eeb722915f40e1821e8d	3999985584	model-00007-of-00016.safetensors
461eeda21222c8f69c4bc7ebc6e977ad776f7350f92c0b440de9149b1452b27c	3997372144	model-00008-of-00016.safetensors
40e7baf316bbfbf5ca007847402f9435ce985bb2893e25e33bd9bb7972aee3f3	3999985488	model-00009-of-00016.safetensors
9c8bd10a2f8d6c5c504f50ec6a1bfbfb311757ce226e600775ac6511c6589bbb	3999985504	model-00010-of-00016.safetensors
b86e1441bdc73585b1e958535aa58a39c96b60ffb1a4af88bdb344df8b678ac8	3999985560	model-00011-of-00016.safetensors
39ae0c5e0073778cc6ac487e8056d803696aa9045738e7e9339e1197b37ba0f7	3987402152	model-00012-of-00016.safetensors
80d775cad42794687b663d5c574b2ec851035e1a8fda81a61f9bec7dfb84cc86	3997372112	model-00013-of-00016.safetensors
c3195c7dda8c4f6033f5f2bc002d06e2f6eb8fad38fe73e92fe798715f42d03e	3999985488	model-00014-of-00016.safetensors
4b5049b50cfd5ef272dca6473b2451774a8828a93aeb37beaadbbe6b4c1f2e41	3999985520	model-00015-of-00016.safetensors
1fe9823d6d7edf67788970f1f9336cf88cf908dd62bdc26692795dbb4488bebe	3461668112	model-00016-of-00016.safetensors
282a41fa34d22e13753ae868ce12872ed48c14f32bfbe25b627e18844664afc4	1928754	model.safetensors.index.json
b10e27fd4542cf89ec7145942b87f3e65408d4e9f9d031a29acdd293c15fb3fc	603	preprocessor_config.json
5561afcbfa9eded1e96d86bf6f47062c57faf20e95ab68d2c66ddd9ff6d2b0bc	11542	README.md
dc3c31c3bdaedd5016382bb3cbe07323026775ad51f5a4fb564505992ae4a670	7344	tokenizer_config.json
ca10d7e9fb3ed18575dd1e277a2579c16d108e32f27439684afa0e10b1440910	2776833	vocab.json
