package	version	filename	bytes	sha256	url
torch	2.9.0	torch-2.9.0-cp310-cp310-manylinux_2_28_x86_64.whl	899795167	51cb63902182a78e90886e8068befd8ea102af4b00e420263591a3d70c7d3c6c	https://files.pythonhosted.org/packages/58/1d/fd1e88ae0948825efcab7dd66d12bec23f05d4d38ed81573c8d453c14c06/torch-2.9.0-cp310-cp310-manylinux_2_28_x86_64.whl
nvidia-cudnn-cu12	9.10.2.21	nvidia_cudnn_cu12-9.10.2.21-py3-none-manylinux_2_27_x86_64.whl	706758467	949452be657fa16687d0930933f032835951ef0892b37d2d53824d1a84dc97a8	https://files.pythonhosted.org/packages/ba/51/e123d997aa098c61d029f76663dedbfb9bc8dcf8c60cbd6adbe42f76d049/nvidia_cudnn_cu12-9.10.2.21-py3-none-manylinux_2_27_x86_64.whl
nvidia-cublas-cu12	12.8.4.1	nvidia_cublas_cu12-12.8.4.1-py3-none-manylinux_2_27_x86_64.whl	594346921	8ac4e771d5a348c551b2a426eda6193c19aa630236b418086020df5ba9667142	https://files.pythonhosted.org/packages/dc/61/e24b560ab2e2eaeb3c839129175fb330dfcfc29e5203196e5541a4c44682/nvidia_cublas_cu12-12.8.4.1-py3-none-manylinux_2_27_x86_64.whl
vllm	0.11.1	vllm-0.11.1-cp38-abi3-manylinux1_x86_64.whl	370708817	077da60655466bab811f006ef93b90d45322e49fa0f204ffac6d48c32866b6d1	https://files.pythonhosted.org/packages/15/1c/973c122771b27e171448b24b5ae49290b320ddb7af8b189c0a5b821531df/vllm-0.11.1-cp38-abi3-manylinux1_x86_64.whl
nvidia-nccl-cu12	2.27.5	nvidia_nccl_cu12-2.27.5-py3-none-manylinux2014_x86_64.manylinux_2_17_x86_64.whl	322348229	ad730cf15cb5d25fe849c6e6ca9eb5b76db16a80f13f425ac68d8e2e55624457	https://files.pythonhosted.org/packages/6e/89/f7a07dc961b60645dbbf42e80f2bc85ade7feb9a491b11a1e973aa00071f/nvidia_nccl_cu12-2.27.5-py3-none-manylinux2014_x86_64.manylinux_2_17_x86_64.whl
nvidia-cusparse-cu12	12.5.8.93	nvidia_cusparse_cu12-12.5.8.93-py3-none-manylinux2014_x86_64.manylinux_2_17_x86_64.whl	288216466	1ec05d76bbbd8b61b06a80e1eaf8cf4959c3d4ce8e711b65ebd0443bb0ebb13b	https://files.pythonhosted.org/packages/c2/f5/e1854cb2f2bcd4280c44736c93550cc300ff4b8c95ebe370d0aa7d2b473d/nvidia_cusparse_cu12-12.5.8.93-py3-none-manylinux2014_x86_64.manylinux_2_17_x86_64.whl
nvidia-cusparselt-cu12	0.7.1	nvidia_cusparselt_cu12-0.7.1-py3-none-manylinux2014_x86_64.whl	287193691	f1bb701d6b930d5a7cea44c19ceb973311500847f81b634d802b7b539dc55623	https://files.pythonhosted.org/packages/56/79/12978b96bd44274fe38b5dde5cfb660b1d114f70a65ef962bcbbed99b549/nvidia_cusparselt_cu12-0.7.1-py3-none-manylinux2014_x86_64.whl
nvidia-cusolver-cu12	11.7.3.90	nvidia_cusolver_cu12-11.7.3.90-py3-none-manylinux_2_27_x86_64.whl	267506905	4376c11ad263152bd50ea295c05370360776f8c3427b30991df774f9fb26c450	https://files.pythonhosted.org/packages/85/48/9a13d2975803e8cf2777d5ed57b87a0b6ca2cc795f9a4f59796a910bfb80/nvidia_cusolver_cu12-11.7.3.90-py3-none-manylinux_2_27_x86_64.whl
nvidia-cufft-cu12	11.3.3.83	nvidia_cufft_cu12-11.3.3.83-py3-none-manylinux2014_x86_64.manylinux_2_17_x86_64.whl	193118695	4d2dd21ec0b88cf61b62e6b43564355e5222e4a3fb394cac0db101f2dd0d4f74	https://files.pythonhosted.org/packages/1f/13/ee4e00f30e676b66ae65b4f08cb5bcbb8392c03f54f2d5413ea99a5d1c80/nvidia_cufft_cu12-11.3.3.83-py3-none-manylinux2014_x86_64.manylinux_2_17_x86_64.whl
triton	3.5.0	triton-3.5.0-cp310-cp310-manylinux_2_27_x86_64.manylinux_2_28_x86_64.whl	170333110	d5d3b3d480debf24eaa739623c9a42446b0b77f95593d30eb1f64cd2278cc1f0	https://files.pythonhosted.org/packages/0b/eb/09e31d107a5d00eb281aa7e6635ca463e9bca86515944e399480eadb71f8/triton-3.5.0-cp310-cp310-manylinux_2_27_x86_64.manylinux_2_28_x86_64.whl
nvidia-nvshmem-cu12	3.3.20	nvidia_nvshmem_cu12-3.3.20-py3-none-manylinux2014_x86_64.manylinux_2_17_x86_64.whl	124657145	d00f26d3f9b2e3c3065be895e3059d6479ea5c638a3f38c9fec49b1b9dd7c1e5	https://files.pythonhosted.org/packages/3b/6c/99acb2f9eb85c29fc6f3a7ac4dccfd992e22666dd08a642b303311326a97/nvidia_nvshmem_cu12-3.3.20-py3-none-manylinux2014_x86_64.manylinux_2_17_x86_64.whl
