legacy_packet,legacy_row_id,media_class,flip_risk,new_primary_rating_ids,decisive_rating_ids,canonical_conflict,classification
adjudication,0462eb3b91,original,no,aprime_0186_974bb909f260,,no,LEGACY_NON_PRIMARY
adjudication,05ce645a00,original,no,aprime_0375_6583ccd2159b,,no,LEGACY_NON_PRIMARY
adjudication,09f81ecff2,original,no,aprime_0410_8446dfa77b62,,no,LEGACY_NON_PRIMARY
adjudication,0c944609f0,original,no,aprime_0663_d40cba210a01,,no,LEGACY_NON_PRIMARY
adjudication,0cc3ea5a73,original,no,aprime_0421_dac3243f8e5f,,no,LEGACY_NON_PRIMARY
adjudication,0d3315c21f,original,no,aprime_0123_65afee322263,,no,LEGACY_NON_PRIMARY
adjudication,0ec02e217b,original,no,aprime_0236_478362009a33,,no,LEGACY_NON_PRIMARY
adjudication,10b5a4a982,original,no,aprime_0437_f520ccdf1cae,,no,LEGACY_NON_PRIMARY
adjudication,14b128eef4,original,no,aprime_0509_0b45d7de17e5,,no,LEGACY_NON_PRIMARY
adjudication,1592c7c9a9,original,no,aprime_0535_58533f52c8d7,,no,LEGACY_NON_PRIMARY
adjudication,17c9c14d1f,original,no,aprime_0502_95ced68c584f,,no,LEGACY_NON_PRIMARY
adjudication,18a56a64a0,original,no,aprime_0617_862c4e1adf94,,no,LEGACY_NON_PRIMARY
adjudication,1bf508d52f,original,no,aprime_0394_166a16fd29b6,,no,LEGACY_NON_PRIMARY
adjudication,1d950f946a,original,no,aprime_0210_a1d0917b9271,,no,LEGACY_NON_PRIMARY
adjudication,1e0e0bc592,original,no,aprime_0357_e095ef7dbc7b,,no,LEGACY_NON_PRIMARY
adjudication,20ba693c1f,original,no,aprime_0049_e0aac6d99ffa,,no,LEGACY_NON_PRIMARY
adjudication,232468ea31,original,no,aprime_0069_58b473a79c94,,no,LEGACY_NON_PRIMARY
adjudication,23532447a5,original,no,aprime_0648_b632fdc8b8b2,,no,LEGACY_NON_PRIMARY
adjudication,2df83e6229,original,no,aprime_0588_1e3858b0eca8,,no,LEGACY_NON_PRIMARY
adjudication,30999be08d,original,no,aprime_0099_659447258733,,no,LEGACY_NON_PRIMARY
adjudication,30bc8325b0,original,no,aprime_0064_57bc5f2e1e77,,no,LEGACY_NON_PRIMARY
adjudication,34ee91d6a0,original,no,aprime_0001_2856569ce627,,no,LEGACY_NON_PRIMARY
adjudication,3744abd84b,original,no,aprime_0451_f2a3046bab38,,no,LEGACY_NON_PRIMARY
adjudication,38b86373e6,original,no,aprime_0066_863db45703ed,,no,LEGACY_NON_PRIMARY
adjudication,3ac836c596,original,no,aprime_0593_4efe81c7d888,,no,LEGACY_NON_PRIMARY
adjudication,3c349740ba,original,no,aprime_0201_c50b8689821f,,no,LEGACY_NON_PRIMARY
adjudication,3fb5cf1de0,original,no,aprime_0403_40521083e3a1,,no,LEGACY_NON_PRIMARY
adjudication,462b0677d0,original,no,aprime_0681_9793870cebeb,,no,LEGACY_NON_PRIMARY
adjudication,47bdd38200,original,no,aprime_0255_7b8a6ae8b538,,no,LEGACY_NON_PRIMARY
adjudication,48d2e04417,original,no,aprime_0473_088b54d5fec7,,no,LEGACY_NON_PRIMARY
adjudication,4e851ff3bd,original,no,aprime_0092_0f4aaa6c5077,decisive_17_4217d6b8e4a2,no,LEGACY_NON_PRIMARY
adjudication,4fd6775d22,original,no,aprime_0490_55ab8e50a996,,no,LEGACY_NON_PRIMARY
adjudication,50d73b401e,original,no,aprime_0321_f0230ca0f72e,,no,LEGACY_NON_PRIMARY
adjudication,51f074892f,original,no,aprime_0033_1fa2a7ff3d3b,,no,LEGACY_NON_PRIMARY
adjudication,520cd89371,original,no,aprime_0402_d5d9911e4dba,,no,LEGACY_NON_PRIMARY
adjudication,54d9222ca7,original,no,aprime_0101_a0d29cf558ff,,no,LEGACY_NON_PRIMARY
adjudication,54d9927de3,original,no,aprime_0627_a8555cc90269,,no,LEGACY_NON_PRIMARY
