case_id,rater_initials,vocals_present(0/1/unsure),comment
0462eb3b91,CXY,1,
05ce645a00,CXY,1,
09f81ecff2,CXY,1,
0c944609f0,CXY,1,
0cc3ea5a73,CXY,1,
0d3315c21f,CXY,1,
0ec02e217b,CXY,1,
10b5a4a982,CXY,1,
14b128eef4,CXY,1,
1592c7c9a9,CXY,1,
17c9c14d1f,CXY,1,
18a56a64a0,CXY,1,
1bf508d52f,CXY,1,
1d950f946a,CXY,1,
1e0e0bc592,CXY,1,
20ba693c1f,CXY,1,
232468ea31,CXY,1,
23532447a5,CXY,1,
2df83e6229,CXY,1,
30999be08d,CXY,1,
30bc8325b0,CXY,1,
34ee91d6a0,CXY,1,
3744abd84b,CXY,1,
38b86373e6,CXY,0,
3ac836c596,CXY,1,
3c349740ba,CXY,1,
3fb5cf1de0,CXY,1,
462b0677d0,CXY,1,
47bdd38200,CXY,1,
48d2e04417,CXY,1,
4e851ff3bd,CXY,1,
4fd6775d22,CXY,1,
50d73b401e,CXY,1,
51f074892f,CXY,1,
520cd89371,CXY,1,
54d9222ca7,CXY,1,
54d9927de3,CXY,1,
58e7d2e6a9,CXY,1,
5ae3e43aef,CXY,1,
5cd6a5a933,CXY,1,
6053073dd2,CXY,1,
607c7c8b46,CXY,1,
61e727e07d,CXY,1,声音很小，听起来大概率是人声
620ef52d56,CXY,1,
66e3cf05da,CXY,1,
68ba4f10d4,CXY,1,
6bae4a7691,CXY,1,
6f8d7d94a2,CXY,1,
717304485f,CXY,1,
7479bc365c,CXY,1,
763836eaa0,CXY,1,
7b904ecdf4,CXY,0,
7e83886fe3,CXY,1,
80b68ef0c2,CXY,1,
8187dd9cd3,CXY,1,
86d96700b5,CXY,1,
8cac881e2f,CXY,1,
8d66491daf,CXY,1,
90043c568d,CXY,1,
90871c664c,CXY,1,
92c9ca96e1,CXY,1,
939c52e0fd,CXY,1,
95a433a630,CXY,0,
969a058baa,CXY,1,
996e4da940,CXY,1,
9b235a332d,CXY,1,
9b9b7358d2,CXY,1,
a461de6acd,CXY,1,
a46eb6ec7b,CXY,1,
ac7444d64c,CXY,1,
aee5f30ccb,CXY,1,
b543bf3e25,CXY,1,
bb56e24b43,CXY,1,
bba9b607a2,CXY,1,
bc2b100662,CXY,1,
bc807e6c28,CXY,1,
bca94602c7,CXY,1,
bd008df9d0,CXY,1,
bd8858cb7e,CXY,1,
c0022b7598,CXY,1,
c7e03344ef,CXY,1,
c87365fc8d,CXY,1,
c9372b74dd,CXY,1,
c95376a3eb,CXY,0,
c9c7da8014,CXY,1,
cb1a090c71,CXY,0,
cb56b9b272,CXY,1,
cd6b274756,CXY,1,
cf985bf858,CXY,1,
cfb936d14b,CXY,1,
cfd7e08376,CXY,1,
d51b3f1e9a,CXY,1,
d5c877d981,CXY,1,
d5de275976,CXY,1,
d7a9a10b56,CXY,1,
d8ebcccbe8,CXY,1,
e0c37d70f7,CXY,1,
e29f8613a5,CXY,1,
e8bde3e094,CXY,1,
e97663c199,CXY,1,
ecd650f632,CXY,1,
ee1c686eef,CXY,1,
efc9f29abe,CXY,1,
f12aa92316,CXY,1,
f4ba2c022f,CXY,1,
f59253d6e0,CXY,1,
f6055b026c,CXY,1,
f6a675aa1a,CXY,1,
f94b389a30,CXY,1,
fb046871a7,CXY,1,
fc14994663,CXY,1,
ff99cc7c12,CXY,1,
