case_id,rater_initials,vocals_present(0/1/unsure),comment
cb74d50a62,CXY,1,
c0bba8ee6b,CXY,1,
63c6733bc5,CXY,1,
d981650d64,CXY,1,
0633d156ca,CXY,0,
ed00dc61dc,CXY,1,
b3617ad47e,CXY,1,
bec2ff45d5,CXY,1,
1f31df91c6,CXY,1,
18457d8685,CXY,1,
a2b12a2559,CXY,1,
0599f7b6cf,CXY,1,
24e7154ef5,CXY,1,
6512aa9084,CXY,1,
a04761fb39,CXY,1,
048a3b2598,CXY,1,
96b711e3a7,CXY,1,
109a31f696,CXY,1,
f07dd75551,CXY,1,
cb09c10e69,CXY,1,
8267b168f0,CXY,1,
393f2d6019,CXY,1,
7083396553,CXY,1,
a1a793502b,CXY,1,
27bbfbd27c,CXY,1,
760b82308f,CXY,1,
3954e24faa,CXY,1,
5f538942f7,CXY,1,
02a0495b02,CXY,1,
c0461169c3,CXY,1,
