cohort,request_direction,prompt_id,rows,apparent_violation_rate,corrected_violation_rate,calibrated_violation_rate,publication_status
batch3_release_keep_1342,instrumental_request,genreinstr_ambient,4,0.0,0.75,0.10331716549435031,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,genreinstr_electronic,5,0.0,1.0,0.6117369121998475,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,genreinstr_folk,5,0.4,1.0,0.9438534555876081,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,genreinstr_funk,3,0.3333333333333333,1.0,0.9808978301325508,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,genreinstr_hiphop,6,0.0,1.0,0.934569806567649,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,genreinstr_jazz,1,0.0,1.0,0.9989268209967986,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,genreinstr_rock,2,0.0,1.0,0.9460234626355428,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0000,1,0.0,1.0,0.9481970484932348,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0005,5,0.2,1.0,0.9571189764320678,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0009,2,0.5,1.0,0.9590550600088008,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0010,6,0.0,0.3333333333333333,0.1470049511540555,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0019,5,0.0,0.8,0.5155814356723062,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0020,7,0.0,1.0,0.6632916015827641,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0022,1,0.0,1.0,0.9910189379002786,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0026,10,0.1,1.0,0.7411377577943228,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0028,18,0.0,1.0,0.8048664778005369,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0031,5,0.2,0.8,0.24038729966784853,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0032,2,0.0,1.0,0.6297880319948413,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0035,17,0.058823529411764705,0.9411764705882353,0.7586815029190594,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0038,2,0.0,0.0,0.00011628999259538352,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0040,1,0.0,1.0,0.0105646430602532,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0041,20,0.15,0.85,0.7637120230598555,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0043,9,0.0,0.7777777777777778,0.5812677124384369,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0046,1,1.0,1.0,0.9997445134060352,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0058,14,0.14285714285714285,0.9285714285714286,0.7835837993298205,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0059,2,0.0,1.0,0.9238588519080019,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0061,2,0.0,1.0,0.8265179169767571,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0076,1,0.0,0.0,5.698246967281107e-09,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0080,9,0.1111111111111111,0.8888888888888888,0.7780559896457306,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0083,2,0.0,0.5,0.45832172562929707,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0086,1,0.0,0.0,2.5117660596666914e-09,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0088,11,0.09090909090909091,0.6363636363636364,0.5215752868000307,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0094,9,0.1111111111111111,0.8888888888888888,0.7082090245575826,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0105,3,0.0,0.3333333333333333,0.165339308709234,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0107,2,0.0,1.0,0.7592161857033202,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0108,15,0.06666666666666667,0.9333333333333333,0.6835554768910258,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0109,1,0.0,1.0,0.18613781815354521,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0114,2,0.0,0.0,4.527675919462832e-09,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0117,14,0.0,1.0,0.8352303552017899,DRAFT_AWAITING_DUAL_PI_ADOPTION
