rating_id,label_a_voice_presence,perceived_vocal_type,vocal_extent,label_b_constraint,confidence_1_to_5,notes,request_mode,label_a_amended,reveal_sequence,rating_source
t7_f3a061c3bc6172fbc6cc,no,none,none,satisfied,,,instrumental,false,1,pi:Richard
t7_ca3a823f8ed63fc36239,no,none,none,satisfied,,,instrumental,false,2,pi:Richard
t7_331020a0a38111fd70d3,no,none,none,satisfied,,,instrumental,false,3,pi:Richard
t7_6a8a49572edeb326f9ec,no,none,none,,,,instrumental,false,4,pi:Richard
t7_2c9f7104c12aef0e1d10,no,none,none,satisfied,,,instrumental,false,5,pi:Richard
t7_1911f9b2bc4b36eab3e4,no,none,none,satisfied,,,instrumental,false,6,pi:Richard
t7_e5acf9d669aab1ba1868,no,none,none,satisfied,,,instrumental,false,7,pi:Richard
t7_0993158670e49773f1ce,no,none,none,satisfied,,,instrumental,false,8,pi:Richard
t7_da8dc5d8cdbfc3899458,no,none,none,satisfied,,,instrumental,false,9,pi:Richard
t7_c8146f6bbf376a27650e,no,none,none,satisfied,,,instrumental,false,10,pi:Richard
t7_d98caee6d45cb6b5e8e2,no,none,none,satisfied,,,instrumental,false,11,pi:Richard
t7_2c020b49d191d6ab3ea0,no,none,none,satisfied,,,instrumental,false,12,pi:Richard
t7_480df9a366dc09d2ebd1,no,none,none,satisfied,,,instrumental,false,13,pi:Richard
t7_a6db0494caede4185ab2,no,none,none,satisfied,,,instrumental,false,14,pi:Richard
t7_389589194b362ba9a9a6,no,none,none,satisfied,,,instrumental,true,15,pi:Richard
t7_331a4c74bc8e534c17c2,no,none,none,satisfied,,,instrumental,false,16,pi:Richard
t7_636036ccdd4435ab37e7,no,none,none,satisfied,,,instrumental,false,17,pi:Richard
t7_414f684a5f42a44c42e0,no,none,none,satisfied,,,instrumental,false,18,pi:Richard
t7_7c431c2bcaeeb0c43527,no,none,none,,,,instrumental,false,19,pi:Richard
t7_ac88a7bef972454115c3,no,none,none,satisfied,,,instrumental,true,20,pi:Richard
t7_7f78e2412a4887606a58,no,none,none,satisfied,,,instrumental,true,21,pi:Richard
t7_01aeb27e9c16a7615903,no,none,none,satisfied,,,instrumental,false,22,pi:Richard
t7_60640f0013d92a28ac54,no,none,none,satisfied,,,instrumental,false,23,pi:Richard
t7_8c60ee1951be347d2c95,no,none,none,satisfied,,,instrumental,false,24,pi:Richard
t7_579e822d29b0065c1029,no,none,none,satisfied,,,instrumental,false,25,pi:Richard
t7_0fb0d5481f981069734a,no,none,none,satisfied,,,instrumental,false,26,pi:Richard
t7_c75a4810ad7d428e9267,no,none,none,satisfied,,,instrumental,false,27,pi:Richard
t7_fa639cbdf5cd7126d8ab,no,none,none,satisfied,,,instrumental,false,28,pi:Richard
t7_a476c9c582267a2fbf95,no,none,none,satisfied,,,instrumental,false,29,pi:Richard
t7_02ab46be2c7d15080e0a,no,none,none,satisfied,,,instrumental,false,30,pi:Richard
t7_d31924a2a7f4171c3052,no,none,none,satisfied,,,instrumental,false,31,pi:Richard
t7_56d6000d833332fdd163,no,none,none,satisfied,,,instrumental,false,32,pi:Richard
t7_d26301f8f460ae05bbe5,no,none,none,satisfied,,,instrumental,false,33,pi:Richard
t7_f772d6c89c4618dd0d0d,no,none,none,satisfied,,,instrumental,false,34,pi:Richard
t7_630d667e83c98c758ba0,no,none,none,satisfied,,,instrumental,false,35,pi:Richard
t7_2d90305ed364b471bfaf,no,none,none,satisfied,,,instrumental,false,36,pi:Richard
t7_55a63731c01c6badd477,no,none,none,satisfied,,,instrumental,false,37,pi:Richard
t7_5620399ecf19f40c61b6,no,none,none,satisfied,,,instrumental,false,38,pi:Richard
t7_4e3fa7896a911655bd2e,no,none,none,satisfied,,,instrumental,false,39,pi:Richard
t7_cfd9ccdb34553959e28e,no,none,none,satisfied,,,instrumental,false,40,pi:Richard
