rating_id,judge_clip_id,media_sha256,duplicate_group_size
aprime_0002_cb61f08e16e7,aprime_global_d1913874c8c901bc8ef7,d1913874c8c901bc8ef7393ec1a9d7ef5da64e0e70beb1c69f22226ee93f7a87,1
aprime_0003_dc53ac75b40f,aprime_global_3210211b5248325b63e7,3210211b5248325b63e7de2cd523749bf2f9b34d67fdafbfbf4e4c1f66ceaee9,1
aprime_0005_9d75ac5a9a2f,aprime_global_f31fbc0d08cee5f503ef,f31fbc0d08cee5f503ef776735cb8c7edf1bb7c84c5eb34841d561ccb7d2d6b6,1
aprime_0006_3b40c61a9919,aprime_global_965e6c668e55fd83eb46,965e6c668e55fd83eb46bf9cc521de0463dfb8c743a47ae2f8541fa81fe78262,1
aprime_0007_c77b4f65af92,aprime_global_8290f2eaa7b38bc71e68,8290f2eaa7b38bc71e680510c8c3cdac62b1614de0c40307eb5dd15d3a7f15f9,1
aprime_0008_1cd2673b1b1a,aprime_global_eef5896c918bb7623715,eef5896c918bb7623715603dfb04c6193f4acf30c69e13846c0458c5a25edb5c,1
aprime_0010_c40f8a004de2,aprime_global_e2b627ff9bf3dbb00165,e2b627ff9bf3dbb00165dbb2a7b200c16249397512c364b45971c35aafebf459,1
aprime_0012_709e2158f89b,aprime_global_d094c0b2a7a591b9e080,d094c0b2a7a591b9e080955ecd9213d3b7977466925ac506216672eaef1dc768,1
aprime_0014_2ab2f924ad6b,aprime_global_9087a4d1a4bf1e50b7e9,9087a4d1a4bf1e50b7e9f68ce1289e50592cd49adc48a5e90c3c019a2e7c5447,1
aprime_0015_c8a29922e31c,aprime_global_4f390bbe8b2546f38f1b,4f390bbe8b2546f38f1bb0bbe2ccab87e775a5cda54a261c9f2b25d81b6ceb8a,1
aprime_0017_6322eb1d4bec,aprime_global_87be395147d89957c8bb,87be395147d89957c8bbaa7db5e8c30258e931feb8e2c1c268cffe9303622c5d,1
aprime_0019_c0a7a0cb8433,aprime_global_1426952fde5ee32322b6,1426952fde5ee32322b6b5525fa11fa62090754d894e463736d61e7971dab624,1
aprime_0022_a4011c33ade1,aprime_global_31dd4f7de704bed7ba9d,31dd4f7de704bed7ba9da4d41c0a77816357f5395689ed659c5b27dba16bdf9d,1
aprime_0023_c81f575954f2,aprime_global_9feff50ea00307c01abf,9feff50ea00307c01abfc3794997ad097a02af27fbe0f36e280a5d0c0c2c9591,1
aprime_0024_dd924bba58c9,aprime_global_6ad884c4d6ffb55d39e2,6ad884c4d6ffb55d39e273e5ab9a5f6d26da51a2105f9d8bc360d78cda461b7d,2
aprime_0025_4725363a9ad7,aprime_global_cacfbe07ec56912e47e9,cacfbe07ec56912e47e9b619f12c9037b6ab0d5659f7f1800941009c1fadb736,1
aprime_0026_8b6727c9c82b,aprime_global_54667c22045e0bcacff0,54667c22045e0bcacff0cb7cfe77b71a9b1a1d8c455f4294b42d84f0920b06ae,1
aprime_0027_aaed6b8011f2,aprime_global_d99db5b86e1b77b50f5a,d99db5b86e1b77b50f5a9bed593bfa35b17f18d39199492a3166e76edfd95951,1
aprime_0028_e5d27ab04444,aprime_global_945d0a94d4c0e07f3744,945d0a94d4c0e07f3744f801445bc664ceb7564f2bb1ac028c6f5be578b30484,1
aprime_0029_d2687aa42c80,aprime_global_6c1df21e643f47c9b7af,6c1df21e643f47c9b7af9906d87139c528e5d9c1f5af253886985987a7a2a6e9,1
aprime_0031_0895148b4ba3,aprime_global_5e6ccbc40b096defa5ed,5e6ccbc40b096defa5eddc93545fa4d683ad363d6269c2cd4ee85dfd66b732a9,1
aprime_0032_c09cba826e84,aprime_global_60c04aba5c18136cd0b5,60c04aba5c18136cd0b5ad4c343ecc18972de66ec5dc7749a114b6626fcea233,1
aprime_0034_15bfc589591f,aprime_global_dfc97ed9589b6bfa6074,dfc97ed9589b6bfa6074a859ebd24d36ddb9ffe650d894fc607785d96eef3588,1
aprime_0036_afd53ecdab7b,aprime_global_8e54caec1f13490d305d,8e54caec1f13490d305df616946c6c444dc46647098d6da20a7459fdceedf30f,1
aprime_0038_e66cd95176ba,aprime_global_da3fb2f519344c254c5b,da3fb2f519344c254c5b24ff52adcded8ac3aa43811da80c8c4968e95cdd71f7,2
aprime_0039_ddfd9f249d7d,aprime_global_927a5cf88863254abe25,927a5cf88863254abe25fa7fc99089a713a1cbf344b8743156ac7fffee61ab71,1
aprime_0040_24b0c8cc08b6,aprime_global_36eb67fc6cef98964d81,36eb67fc6cef98964d812e0c157580e0f62e0d7dd5bd0877b9c28331d74ab2fb,1
aprime_0041_8cd0810a4873,aprime_global_fe235ff6c71a62a59b86,fe235ff6c71a62a59b86aa9e976a00af8ffc50553d48285932f90718ffb4a46c,1
aprime_0044_e536def8ad8a,aprime_global_db3b59993463ea706bf3,db3b59993463ea706bf3672b0be8ccbe60d3ae62199b2394f5e99796424ee215,1
aprime_0046_15c864f16968,aprime_global_3d82b08ee135343ed90b,3d82b08ee135343ed90b7604f50635565d9df32f83d28677961b0c59e72ae6e7,1
aprime_0047_67fe5110e092,aprime_global_bf0d6133075347ab8594,bf0d6133075347ab8594f33a0db99d112fa0751080891a037024d2d6701bae2f,1
aprime_0048_f29546b533f8,aprime_global_5ad2b5b142600873da3c,5ad2b5b142600873da3c0e618001e0a02804c1c27ee49fb467c03c5f34909e95,1
aprime_0050_c42dda9a60cb,aprime_global_ac6a0a65e0685f84a528,ac6a0a65e0685f84a528ed1ecf1b46c30bc22b6d79812443933ccb3c28e6f030,1
aprime_0052_92665bfc8b1a,aprime_global_5abc68c74e105b2302a6,5abc68c74e105b2302a61dd7c02fcfb4f3b08d0412c4b844f7d30bf7a1895ff1,1
aprime_0053_20089bccb36c,aprime_global_dd6b3267df0e4bc47f06,dd6b3267df0e4bc47f061d025b8ea014d31c0586826ed687f617488022be6c21,1
aprime_0054_d34f3c1d43d2,aprime_global_75994b7578751352d5bc,75994b7578751352d5bc05b3adf293550b29fe882e2e90941e4a3df0fe061728,1
aprime_0055_5a6e0edd58e5,aprime_global_c588f055f140abe43278,c588f055f140abe43278eef17de20c33f00859b47058f96f4d5dc16c1865f450,1
aprime_0056_3b7f4fe8190d,aprime_global_26a25d7a0618f634ee4f,26a25d7a0618f634ee4f0d56de0b3ff9b7aac419c3bc16907eb4f196e1f2e772,1
aprime_0057_6d75e244740a,aprime_global_5ad5cf1f6439049d75fa,5ad5cf1f6439049d75fa3eb6adebef6558678827cb6bb7da731c75ac71c0183e,1
aprime_0058_8a0ed4bf138e,aprime_global_4e6032f521387122bb06,4e6032f521387122bb069c596ac7d321a8c1597f534e69cf19950a13a38e6661,1
aprime_0059_b097d39b3b5b,aprime_global_62d06239452b79177c4e,62d06239452b79177c4e0e0eeb01cc35f920af81f508433e11610046e24a07c6,1
aprime_0060_60ead770babb,aprime_global_4d0b1fd153d2fc383e33,4d0b1fd153d2fc383e33f092476454f43d5d06c2eaf9a16fa8ffb72891e25dc9,1
aprime_0061_807245d3f7d8,aprime_global_68fff88d091cc4ad4ec0,68fff88d091cc4ad4ec002b01495fc44bbc2719506ba20bee75ddf3914666e46,1
aprime_0062_97cef612806f,aprime_global_9986dbcd219ba0910121,9986dbcd219ba0910121f51a4a14f568dfd36f1854dcc21c2f533176f0a11b58,1
aprime_0063_56b5368cbb05,aprime_global_804ad6b7cd40ae197898,804ad6b7cd40ae197898c748fd78981a409218118b2b55b11459e957599c165f,1
aprime_0065_944e6b35fa73,aprime_global_0ec0acf77aca7657d29a,0ec0acf77aca7657d29ac1825eebf57bfd9ee05dd922196a0d55a4539997ec67,1
aprime_0067_6544e579a28e,aprime_global_471ca89e77a06ba1c9a2,471ca89e77a06ba1c9a2b0c829d2061f687c581f038a3fa48c82a682ad3ab982,1
aprime_0068_0a99c17d1e79,aprime_global_def7a8ddd05c4e9d32d4,def7a8ddd05c4e9d32d41c6a844b7d8159436cf07b88f3eedbf8766eceeaf5e6,1
aprime_0070_7af88f8e05ab,aprime_global_1ec53ccc077fefa4814f,1ec53ccc077fefa4814fecdeecf87db4c90a385974ad5f048c6665fdea146c22,1
aprime_0073_bd22da18a88b,aprime_global_68b809fa4a9715af9ea8,68b809fa4a9715af9ea8b1bbdb9e0d0d1c46b341f0f47055e22b36ebc591f226,1
aprime_0074_703670b1bd72,aprime_global_19d6bfd44f2db2920f89,19d6bfd44f2db2920f893095e6b478d428feff877d0af933eb52c2952ae83883,1
aprime_0076_711e802aa637,aprime_global_dc54a2dd74b152b19d0b,dc54a2dd74b152b19d0b4be553c0127432806559dbcc4e7e9e3862c7109bbeef,1
aprime_0077_edcc25697b07,aprime_global_87af67c4df80bbe462d6,87af67c4df80bbe462d6d1a14706827404a3d8e5a30a5c6b8eb045ffc8ef5c06,1
aprime_0078_df07bb63c7f8,aprime_global_fe4767d4dfb1247a5003,fe4767d4dfb1247a50037a5c980d1dbb9658090640f3748fe2d656d608313e06,1
aprime_0079_ffe389d40953,aprime_global_b564ee20b29972ef18fd,b564ee20b29972ef18fd425ad5fa8ac59ef188cfd39109211c06fa82c3e8df56,1
aprime_0080_dcceecdfd00f,aprime_global_c6672d486b712dbc262a,c6672d486b712dbc262aa76f5c5bd19efeb27fd781c3cf85205ee37d4defa402,1
aprime_0081_8487c07f9274,aprime_global_a43367361ec6a82f88cc,a43367361ec6a82f88cce9413e19b8bc6df17c453c5290d99b259350e3b3dd47,1
aprime_0082_0aa4eaa0896c,aprime_global_59b5828ebf3b32f64740,59b5828ebf3b32f64740dca2a08890aae5aa5e48e0783519bc756de8759cdee8,1
aprime_0084_e57547bd05df,aprime_global_f2a75ad625c631851149,f2a75ad625c631851149cb9d030c317345436dc05175992168076a7a70d71e1e,1
aprime_0085_c3ce8f01fb25,aprime_global_ce59e9ada624d8c6a06c,ce59e9ada624d8c6a06c3b84dc0fb58940519a48ca9c55815156644c1f271bfa,3
aprime_0086_ac0d5086a761,aprime_global_964ac44a4f3a0f03fe45,964ac44a4f3a0f03fe45d5f0a9c2306e6f08f8eb440761153897553f9623c724,1
aprime_0088_c1fc76d6b180,aprime_global_17b10dba7671dec36d9d,17b10dba7671dec36d9d4443c9476ba9a7e56374d7b70b44621062c11c5628fc,1
aprime_0091_bad65b58604c,aprime_global_8c4b93b3d18732c30c45,8c4b93b3d18732c30c45b6ba734c694b3025c27a70959caf34a0e71441a6c0e0,1
aprime_0093_440a8340c72d,aprime_global_44dce13947ac125222e7,44dce13947ac125222e7826d514dba2972ec384982b6857a44c27892cc4a1a55,1
aprime_0094_25cc7e670374,aprime_global_c9f9cfa172a06bbc7968,c9f9cfa172a06bbc7968443828e69ce3811f1c4391a68423106c4d2c1c149a57,1
aprime_0095_51514f0af9e7,aprime_global_6311aed30a6b2d5396c1,6311aed30a6b2d5396c1b41635cac96f199bddccc5baaa448d7f3635e6bd22de,1
aprime_0096_59bda71a381b,aprime_global_64e10bf6a5126f1d8fa7,64e10bf6a5126f1d8fa7f91bfbf5609360548e6fd32ea144e2a5050d5053f229,1
aprime_0097_06b0ebb90ff5,aprime_global_341f23918a376c247a5c,341f23918a376c247a5c8dedeeabbeed3f0046397f080371fcfe4c2b48959fd2,1
aprime_0098_e05eaf45233a,aprime_global_6c46a4270929a400f955,6c46a4270929a400f95528a7a9cf7d72479c0b286f381479cb25311f0abbb284,1
aprime_0100_2fbe0c58dada,aprime_global_df88299d85702dcb4021,df88299d85702dcb4021ec59ad7bbba1554a64ecd6629cc23d75c700b80fcd5d,1
aprime_0102_5f9f8335f789,aprime_global_c45612f3ee9a61709a9a,c45612f3ee9a61709a9abad9ecdd532888fdd7f5b8d576487539e27a89d1af8a,1
aprime_0103_72874da38f31,aprime_global_563477af3e6b8ebc13c5,563477af3e6b8ebc13c5328a770469b7d583747cfab7e53bd0903e0c33fecdc7,1
aprime_0105_d51fda1cf5d0,aprime_global_da3fb2f519344c254c5b,da3fb2f519344c254c5b24ff52adcded8ac3aa43811da80c8c4968e95cdd71f7,2
aprime_0106_112fa35970d9,aprime_global_ab2d258a00256f7844ff,ab2d258a00256f7844ff2ca45c998a12b39bb8ea9a897501092a4a8c87a70bae,1
aprime_0107_b5c83196b925,aprime_global_e18e538e1404fcc935c6,e18e538e1404fcc935c60b8208a81431013985dc99f4e2410254d2da9d4427d0,1
aprime_0108_7d0fd5fbbe1b,aprime_global_a6178b94545b4b674494,a6178b94545b4b6744944ed2ae9100ea41e05652c422e6db09a5e7b3ce9b651b,1
aprime_0111_9c32911ec9c2,aprime_global_bc83ffd75e35fd28609e,bc83ffd75e35fd28609e1ad96caf4a0295f0c497a982765ebae7c1c2c0a077e4,1
aprime_0112_026d3181cd8c,aprime_global_d077daa4ccc6caf0c948,d077daa4ccc6caf0c9486a32474b58014d5dfe2c7b92e349021d8b532b908e22,1
