rating_id,reason
aprime_0087_9db027afddca,t2_label_a_unsure
decisive_04_a5f338f1ce29,t1_internal_inconsistency
decisive_08_bdd3c4f3fe05,t1_label_a_amended_pre_reveal_unavailable
decisive_19_5aece195065b,t1_label_a_amended_pre_reveal_unavailable
decisive_20_915b8df08b53,t1_label_a_unsure;t1_label_a_amended_pre_reveal_unavailable
decisive_23_ac24af32778a,t1_label_a_amended_pre_reveal_unavailable
decisive_25_4bcd77594bb5,t1_label_a_amended_pre_reveal_unavailable
decisive_27_33595c7a116c,t1_label_a_amended_pre_reveal_unavailable
decisive_31_c3007809e1c6,t1_label_a_unsure;t1_label_a_amended_pre_reveal_unavailable
decisive_33_f89abdb85619,t1_label_a_amended_pre_reveal_unavailable
decisive_36_91578aa38188,t1_label_a_amended_pre_reveal_unavailable
decisive_37_5fb94c546f40,t1_label_a_amended_pre_reveal_unavailable
decisive_39_42b8a906ac1a,t1_label_a_unsure;t1_label_a_amended_pre_reveal_unavailable
decisive_42_1108911c47cd,t1_label_a_amended_pre_reveal_unavailable
