rating_id,label_a_voice_presence,confidence_1_to_5,notes,rating_source,bundle_rating_id
aprime_0673_e568f5b2e93e,yes,5,,pi:Richard,r_08f447900f1a8e14ea2f
aprime_0331_f1ff243304fe,no,5,,pi:Richard,r_54c37fb8d4f89a16686d
aprime_0430_f9f21f0c2ce4,yes,5,,pi:Richard,r_438d6a40a45781ee7898
aprime_0415_fca707c18fa5,yes,5,,pi:Richard,r_8a4a340e8877f599fc2b
aprime_0033_1fa2a7ff3d3b,yes,5,,pi:Richard,r_4eb560d99970013354e3
aprime_0381_83810fadeaa6,yes,5,,pi:Richard,r_c542b64b3eb78184966c
aprime_0405_268bd5265d8e,yes,3,,pi:Richard,r_88df36d55cccb34c5f08
aprime_0626_2ef9235a4c99,yes,5,,pi:Richard,r_96fa0a7a29e0d37e4164
aprime_0375_6583ccd2159b,yes,5,,pi:Richard,r_4b479772ccba840ce77d
aprime_0610_1bc7779898df,yes,5,,pi:Richard,r_81d566c6b3195386bd45
aprime_0681_9793870cebeb,yes,5,,pi:Richard,r_958893025e2351e7b497
aprime_0538_8bc15fc6a73b,yes,5,,pi:Richard,r_66b746c745a8ef8ea589
aprime_0461_6d766c6417a7,yes,5,,pi:Richard,r_378cc80f1d234bd02736
aprime_0378_df8ae0b4e89e,yes,5,,pi:Richard,r_b334f1da3c066c482994
aprime_0280_d7a50f490b4f,no,5,,pi:Richard,r_acdef99ba8d6a67cf53f
aprime_0442_b851c112731a,yes,4,,pi:Richard,r_852683260647c45cc21c
aprime_0120_d6228d2f0283,yes,5,,pi:Richard,r_b94b72e6fe6b3c3784a2
aprime_0480_dde3d7023a12,yes,5,,pi:Richard,r_304d167fd45d1d296225
aprime_0203_a72b7fc4630f,yes,5,,pi:Richard,r_49eece197dad7e80dcaf
aprime_0242_d75f2ac745df,yes,5,,pi:Richard,r_25b84abbff2bcd7b052e
aprime_0680_4345318d0dab,yes,5,,pi:Richard,r_e695be35a94c5093d33e
aprime_0440_5a67c447858a,yes,5,,pi:Richard,r_47a14c8285d58c7b4629
aprime_0123_65afee322263,yes,5,,pi:Richard,r_0dfeff8e7de30239fe5d
aprime_0175_ccdd6965bd5c,yes,5,,pi:Richard,r_869ca57ae7bcdf9c3f06
aprime_0586_b4d59b9dd370,no,5,,pi:Richard,r_a8d34528793036e64a3c
aprime_0252_b907516a65fc,yes,5,,pi:Richard,r_36021c69f174635c44b3
aprime_0251_85dbff5dabd1,yes,5,,pi:Richard,r_1f4d6fa42d8610cbad06
aprime_0468_95eb0717de90,yes,5,,pi:Richard,r_7d6951dd427aa0c837c8
aprime_0154_344e9c576e84,no,5,,pi:Richard,r_a6d6f5adf3f2f2fd6d51
aprime_0600_ecd8bddf55e3,yes,5,,pi:Richard,r_524d1702c3802893bf29
aprime_0201_c50b8689821f,yes,5,,pi:Richard,r_74e5afaea95f4b22fd34
aprime_0001_2856569ce627,yes,5,,pi:Richard,r_3043cade37bd89125a41
aprime_0092_0f4aaa6c5077,yes,5,,pi:Richard,r_59669dc5746645f6680d
aprime_0503_7bde6b74b0bd,yes,5,,pi:Richard,r_cee8f29237c4923dc5c8
aprime_0069_58b473a79c94,yes,5,,pi:Richard,r_746883ad4c2489848adb
aprime_0470_d418f7dcf6a8,yes,5,,pi:Richard,r_3e15a3e8c739435ab816
aprime_0292_7f0236a459a4,yes,5,,pi:Richard,r_d6505422241360629ef3
aprime_0183_d920698ee434,yes,5,,pi:Richard,r_0b059050815110f8373e
aprime_0434_45584248d7cc,no,5,,pi:Richard,r_9dc65ba6254f33a26f6b
aprime_0223_801655f5e5e8,yes,5,,pi:Richard,r_3fa0e1fcdc861b447123
aprime_0253_0c49c4ef352f,yes,5,,pi:Richard,r_786b8e807d1b3f1c7747
aprime_0648_b632fdc8b8b2,yes,5,,pi:Richard,r_6c6afb75a73cf7e6b1e6
aprime_0403_40521083e3a1,yes,4,,pi:Richard,r_c6e6631043f28b85e63b
