prompt_id,prompt_index,vocal_stratum,selection_bin,baseline_violation_count_8,baseline_clean_rate_8,rows,ok,errors,clean_count,clean_rate,present_rate,regime
held_out_0006,6,vocal,0,0,1.0,128,128,0,106,0.828125,0.828125,easy_ge_1_in_2
held_out_0008,8,vocal,5,5,0.375,128,128,0,27,0.2109375,0.2109375,low_1_in_16_to_1_in_4
held_out_0009,9,instrumental,0,0,1.0,128,128,0,107,0.8359375,0.1640625,easy_ge_1_in_2
held_out_0011,11,vocal,2,2,0.75,128,128,0,25,0.1953125,0.1953125,low_1_in_16_to_1_in_4
held_out_0012,12,vocal,0,0,1.0,128,128,0,69,0.5390625,0.5390625,easy_ge_1_in_2
held_out_0014,14,vocal,4,4,0.5,128,128,0,16,0.125,0.125,low_1_in_16_to_1_in_4
held_out_0017,17,vocal,5,5,0.375,128,128,0,8,0.0625,0.0625,rare_le_1_in_16
held_out_0020,20,instrumental,0,0,1.0,128,128,0,125,0.9765625,0.0234375,easy_ge_1_in_2
held_out_0021,21,vocal,6,6,0.25,128,128,0,20,0.15625,0.15625,low_1_in_16_to_1_in_4
held_out_0023,23,vocal,0,0,1.0,128,128,0,74,0.578125,0.578125,easy_ge_1_in_2
held_out_0027,27,vocal,0,0,1.0,128,128,0,49,0.3828125,0.3828125,seed_recoverable_1_in_4_to_1_in_2
held_out_0029,29,vocal,2,2,0.75,128,128,0,33,0.2578125,0.2578125,seed_recoverable_1_in_4_to_1_in_2
held_out_0031,31,instrumental,0,0,1.0,128,128,0,116,0.90625,0.09375,easy_ge_1_in_2
held_out_0034,34,vocal,0,0,1.0,128,128,0,99,0.7734375,0.7734375,easy_ge_1_in_2
held_out_0036,36,vocal,3,3,0.625,128,128,0,23,0.1796875,0.1796875,low_1_in_16_to_1_in_4
held_out_0037,37,vocal,1,1,0.875,128,128,0,23,0.1796875,0.1796875,low_1_in_16_to_1_in_4
held_out_0038,38,instrumental,0,0,1.0,128,128,0,120,0.9375,0.0625,easy_ge_1_in_2
held_out_0039,39,vocal,4,4,0.5,128,128,0,23,0.1796875,0.1796875,low_1_in_16_to_1_in_4
held_out_0040,40,instrumental,1,1,0.875,128,128,0,66,0.515625,0.484375,easy_ge_1_in_2
held_out_0041,41,instrumental,6,6,0.25,128,128,0,49,0.3828125,0.6171875,seed_recoverable_1_in_4_to_1_in_2
held_out_0044,44,vocal,2,2,0.75,128,128,0,75,0.5859375,0.5859375,easy_ge_1_in_2
held_out_0045,45,vocal,5,5,0.375,128,128,0,4,0.03125,0.03125,rare_le_1_in_16
held_out_0046,46,instrumental,2,2,0.75,128,128,0,70,0.546875,0.453125,easy_ge_1_in_2
held_out_0052,52,vocal,0,0,1.0,128,128,0,61,0.4765625,0.4765625,seed_recoverable_1_in_4_to_1_in_2
held_out_0055,55,vocal,4,4,0.5,128,128,0,73,0.5703125,0.5703125,easy_ge_1_in_2
held_out_0056,56,vocal,3,3,0.625,128,128,0,15,0.1171875,0.1171875,low_1_in_16_to_1_in_4
held_out_0057,57,vocal,2,2,0.75,128,128,0,54,0.421875,0.421875,seed_recoverable_1_in_4_to_1_in_2
held_out_0059,59,instrumental,4,4,0.5,128,128,0,66,0.515625,0.484375,easy_ge_1_in_2
held_out_0061,61,instrumental,0,0,1.0,128,128,0,118,0.921875,0.078125,easy_ge_1_in_2
held_out_0062,62,vocal,1,1,0.875,128,128,0,50,0.390625,0.390625,seed_recoverable_1_in_4_to_1_in_2
held_out_0065,65,vocal,2,2,0.75,128,128,0,55,0.4296875,0.4296875,seed_recoverable_1_in_4_to_1_in_2
held_out_0068,68,vocal,1,1,0.875,128,128,0,34,0.265625,0.265625,seed_recoverable_1_in_4_to_1_in_2
held_out_0071,71,vocal,0,0,1.0,128,128,0,19,0.1484375,0.1484375,low_1_in_16_to_1_in_4
held_out_0073,73,vocal,0,0,1.0,128,128,0,34,0.265625,0.265625,seed_recoverable_1_in_4_to_1_in_2
held_out_0074,74,instrumental,1,1,0.875,128,128,0,120,0.9375,0.0625,easy_ge_1_in_2
held_out_0076,76,instrumental,0,0,1.0,128,128,0,127,0.9921875,0.0078125,easy_ge_1_in_2
held_out_0081,81,vocal,1,1,0.875,128,128,0,69,0.5390625,0.5390625,easy_ge_1_in_2
held_out_0082,82,vocal,3,3,0.625,128,128,0,9,0.0703125,0.0703125,low_1_in_16_to_1_in_4
held_out_0085,85,vocal,0,0,1.0,128,128,0,97,0.7578125,0.7578125,easy_ge_1_in_2
held_out_0088,88,instrumental,5,5,0.375,128,128,0,63,0.4921875,0.5078125,seed_recoverable_1_in_4_to_1_in_2
held_out_0089,89,vocal,2,2,0.75,128,128,0,14,0.109375,0.109375,low_1_in_16_to_1_in_4
held_out_0090,90,vocal,4,4,0.5,128,128,0,41,0.3203125,0.3203125,seed_recoverable_1_in_4_to_1_in_2
held_out_0094,94,instrumental,6,6,0.25,128,128,0,35,0.2734375,0.7265625,seed_recoverable_1_in_4_to_1_in_2
held_out_0095,95,vocal,1,1,0.875,128,128,0,39,0.3046875,0.3046875,seed_recoverable_1_in_4_to_1_in_2
held_out_0097,97,vocal,1,1,0.875,128,128,0,67,0.5234375,0.5234375,easy_ge_1_in_2
held_out_0098,98,instrumental,0,0,1.0,128,128,0,117,0.9140625,0.0859375,easy_ge_1_in_2
held_out_0099,99,vocal,2,2,0.75,128,128,0,31,0.2421875,0.2421875,low_1_in_16_to_1_in_4
held_out_0100,100,vocal,0,0,1.0,128,128,0,121,0.9453125,0.9453125,easy_ge_1_in_2
held_out_0102,102,vocal,3,3,0.625,128,128,0,51,0.3984375,0.3984375,seed_recoverable_1_in_4_to_1_in_2
