rating_id,pair_id,presentation_role,presented_a_is,presented_b_is,media_a_path,media_b_path,sha256_a,sha256_b,shuffle_seed
bprime_0001_f82a1606adfa,f0ca2f6d78,primary,arm6,arm1,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0001_f82a1606adfa_A.flac,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0001_f82a1606adfa_B.flac,1ad6389ac572af4da73126f9d798ba1e5c3f0db69dfc1795540a58a36c293fa6,7caf5427cf119c8d1adef2ecc22e895b6af79dc554188ebfab5bb9d1b434f8a4,20260709
bprime_0002_abce08b87655,819e7fb30f,primary,arm4,arm6,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0002_abce08b87655_A.flac,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0002_abce08b87655_B.flac,d53eeb9ab8b8c518137e564510f7048e8f5e0792f2cf1823073acd794e9106bf,d53eeb9ab8b8c518137e564510f7048e8f5e0792f2cf1823073acd794e9106bf,20260709
bprime_0003_241ee6227824,b2c07fb665,primary,arm6,arm1,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0003_241ee6227824_A.flac,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0003_241ee6227824_B.flac,741b213aa02d0a2e483faf302424a6bab3b95ab8640ba645d2d73d8ddcba6055,74cb6060beb55997fc9ba3bf535b7d5cf167f3ae581c1b66f679e97273448767,20260709
bprime_0004_10458c26dadb,3a80d5e5d6,primary,arm4,arm6,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0004_10458c26dadb_A.flac,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0004_10458c26dadb_B.flac,122492b1264dafee7abef15a7a5636491a1f783f144c761863a5da53bd3689a5,007af0a987cd8e194a2200c1ee78da81a3aa7c4b8bd6a38903089527f4ee2aa4,20260709
bprime_0005_044855b58ce7,517b7a7682,primary,arm4,arm6,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0005_044855b58ce7_A.flac,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0005_044855b58ce7_B.flac,c103c0e13389f3f7168944eb719c5b43d9612a53afd3aaf498ce5e5d772ba06f,c103c0e13389f3f7168944eb719c5b43d9612a53afd3aaf498ce5e5d772ba06f,20260709
bprime_0006_ec63ed142f06,0dc621676d,primary,arm1,arm6,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0006_ec63ed142f06_A.flac,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0006_ec63ed142f06_B.flac,8a01bb8eb7ec2eec190c037e5c38a5e44d99b57014451ddd28ca0ee22afc863c,007af0a987cd8e194a2200c1ee78da81a3aa7c4b8bd6a38903089527f4ee2aa4,20260709
bprime_0007_518ec44c8042,e89fe029ec,primary,arm6,arm1,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0007_518ec44c8042_A.flac,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0007_518ec44c8042_B.flac,d5df2647e45a29b177e3ae0a6599ed9beedfa1cfbf691e1930ba1cfd8dcbcba9,c29c2ac661088ddfc01aab806610d159f6f0a62c2933e4a2725f93d5f34a4761,20260709
bprime_0008_0459f0c2a734,5c3837be9b,primary,arm1,arm6,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0008_0459f0c2a734_A.flac,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0008_0459f0c2a734_B.flac,f5af8340bc453cd057fa05aaf025dfed8deb7c915aa0c9fb58c18558f32e4c50,50d0ffe742d55e4533d9aab0f413790e49275192d2561f19c0966bc17284a374,20260709
bprime_0009_8a6079b2cb47,6ebb11813a,primary,arm6,arm4,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0009_8a6079b2cb47_A.flac,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0009_8a6079b2cb47_B.flac,5e48ed711eeedda739395e4144e56608ca375f94f57482b88e84e3442baabb84,2ad80156195c8b00a0b70e7c93f8f4fc7ce373bd6dc5cf4e30375532f755bf05,20260709
bprime_0010_c890b81e9b2b,8d9b963d6e,primary,arm4,arm6,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0010_c890b81e9b2b_A.flac,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0010_c890b81e9b2b_B.flac,6a91c7d54aa7ac5ddcb331e5576e1e2ddd0f84b3251482ea554d31ecba1931f9,6a91c7d54aa7ac5ddcb331e5576e1e2ddd0f84b3251482ea554d31ecba1931f9,20260709
bprime_0011_175c938c45ae,de5c727c3b,primary,arm4,arm6,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0011_175c938c45ae_A.flac,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0011_175c938c45ae_B.flac,fb22f585a309a4e39866120b90815e2e273ddd6edee1727ce01d4d751e536ef9,fb22f585a309a4e39866120b90815e2e273ddd6edee1727ce01d4d751e536ef9,20260709
bprime_0012_bb29e99fe51b,39cdd7883c,primary,arm6,arm1,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0012_bb29e99fe51b_A.flac,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0012_bb29e99fe51b_B.flac,0c72abbe6ea2dc332ea418f8cf35491c10d257dca67eea8219d50ae125294457,0c72abbe6ea2dc332ea418f8cf35491c10d257dca67eea8219d50ae125294457,20260709
bprime_0013_37cc933fa66b,264728786f,primary,arm6,arm4,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0013_37cc933fa66b_A.flac,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0013_37cc933fa66b_B.flac,d75a9cfc3948927a0310eeb2942d0f5dc2e5d9f3d1ef691a53b36c2df6c85bef,1dfc58b37a3413faa2085d58ccc14f830a319ce7309450918c033775ee8b3629,20260709
bprime_0014_a61b5dfdd550,610e49ae0e,primary,arm1,arm6,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0014_a61b5dfdd550_A.flac,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0014_a61b5dfdd550_B.flac,ff4f6e65a125ab69b16341da04f7cfa1d5ec92a88e4b40c88144a12847cf34e0,ff4f6e65a125ab69b16341da04f7cfa1d5ec92a88e4b40c88144a12847cf34e0,20260709
bprime_0015_d2e03312b1ed,7d5f199c74,primary,arm6,arm1,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0015_d2e03312b1ed_A.flac,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0015_d2e03312b1ed_B.flac,30eed6c31c84a0ad6a5f422ae041371e0aca522b5bd7470f4ee9e0d239e93cca,eae37337bd36fc424a24af91c73b31c2fa927f699db55ee6bf6296961b363ff3,20260709
bprime_0016_00ce27d13797,c78b6b82ad,primary,arm6,arm1,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0016_00ce27d13797_A.flac,paper_prep/validation_B_prime/pi_package_20260709/media/bprime_0016_00ce27d13797_B.flac,d67af389acf885e4dc0cae988775e70c5c4cdf53a7109a8d5633d32b6463a6c1,d67af389acf885e4dc0cae988775e70c5c4cdf53a7109a8d5633d32b6463a6c1,20260709
