bundle_rating_id,scorer_rating_id,bundle_name,identity_bundle_name,position,shuffle_seed,nonce_sha256,media_sha256,request_mode
r_39060d4db162cbc0a243,bprime_0024_328797c16ae3,t3_bprime_primary_v2,t3_bprime_primary,1,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,674f4f16a4e5d65994934b98714fd3926af713502923507d1430571346cf969f;6a0aa0337d27d69e6dc03a9b06e9e3a70b616bc3987a61f3b71da24386fffb84,vocal
r_24d9a4c6881331740647,bprime_0058_70892ca1e91e,t3_bprime_primary_v2,t3_bprime_primary,2,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,0d9489c4c6821d4229388a8d39aa4e76857c2dfece63e254d5205f9a7e4a569a;d6f3980d6462a5a30a721cfcf7191d3ced63f69a522c7019dba67a3263065e19,instrumental
r_f2b9a2d11ca053e2dbd8,bprime_0060_bfaeaf1d724f,t3_bprime_primary_v2,t3_bprime_primary,3,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,265821d2a5f1ab56ec51f7909f00ab624e40d3f7d7f550510961f992b58c93a5;265821d2a5f1ab56ec51f7909f00ab624e40d3f7d7f550510961f992b58c93a5,instrumental
r_9d2ffb8ac68d2484b3c0,bprime_0014_a61b5dfdd550,t3_bprime_primary_v2,t3_bprime_primary,4,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,ff4f6e65a125ab69b16341da04f7cfa1d5ec92a88e4b40c88144a12847cf34e0;ff4f6e65a125ab69b16341da04f7cfa1d5ec92a88e4b40c88144a12847cf34e0,instrumental
r_c6f479b4243da4860f4c,bprime_0025_9ba5013dffea,t3_bprime_primary_v2,t3_bprime_primary,5,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,8037fed7983541e3adfa829f63f70bf44e1b5784c7d4a61ccd7e28e02b4bfb8c;d6ed5e338800e326303201beefbb4854ca4a227f4b9acb003e173ec410ebdafb,vocal
r_373fdb8c00d14caf33ec,bprime_0057_9cbc6c82b627,t3_bprime_primary_v2,t3_bprime_primary,6,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,e67c9f898142a9df9ff00c610873f0f36ddba144d147f4d5cb8821b020c9f3f8;e67c9f898142a9df9ff00c610873f0f36ddba144d147f4d5cb8821b020c9f3f8,vocal
r_a158614a1132a55ee230,bprime_0068_ad0a86ffeff2,t3_bprime_primary_v2,t3_bprime_primary,7,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,9cc4339c3583f0bd7599f247dbcafa83a8693089895f7a620752f24a7982e596;9cc4339c3583f0bd7599f247dbcafa83a8693089895f7a620752f24a7982e596,instrumental
r_14c85ef5b0227b561ec6,bprime_0054_54c4bfa082c4,t3_bprime_primary_v2,t3_bprime_primary,8,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,eb0bf52747ef71c810714af85dc7dd6aef2f4fe1ffa317b47b5b373c4966bfb0;eb0bf52747ef71c810714af85dc7dd6aef2f4fe1ffa317b47b5b373c4966bfb0,vocal
r_263e5e53a33231e28e81,bprime_0053_811d9cf58e14,t3_bprime_primary_v2,t3_bprime_primary,9,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,373b5126151d7df8ec6609e9b55690ef0b536bbc4dcc1404c46d2a72d578e8ac;373b5126151d7df8ec6609e9b55690ef0b536bbc4dcc1404c46d2a72d578e8ac,instrumental
r_769ffc6817b29091441a,bprime_0049_3ac49dba7f6b,t3_bprime_primary_v2,t3_bprime_primary,10,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,fe10289b422d9cf47c08f86948b3eb1c3b5d52e23016c879b90e5ce5c26e92bc;fe4767d4dfb1247a50037a5c980d1dbb9658090640f3748fe2d656d608313e06,vocal
