blind_id,audio_path,source_audio_path,prompt_id,seed_idx,seed,request_type,calibration_band,demucs_ratio,demucs_present_0p1791,selection_seed
sa3cal_001_bfb52544ac96,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_001_bfb52544ac96.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/dev_0222/sa3_dev_0222_s07_2026118607.wav,dev_0222,7,2026118607,vocal,far_below,4.929586816375103e-07,0,20260709
sa3cal_002_38632f3424a1,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_002_38632f3424a1.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/dev_0002/sa3_dev_0002_s07_2026096607.wav,dev_0002,7,2026096607,vocal,far_above,0.9999480381555045,1,20260709
sa3cal_003_8ad5ff370777,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_003_8ad5ff370777.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0107/sa3_held_out_0107_s02_2026081502.wav,held_out_0107,2,2026081502,instrumental,near_threshold,0.13909954540962127,0,20260709
sa3cal_004_122eb5e05b41,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_004_122eb5e05b41.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0200/sa3_held_out_0200_s03_2026090803.wav,held_out_0200,3,2026090803,vocal,near_threshold,0.1768445950437495,0,20260709
sa3cal_005_9609be967bb8,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_005_9609be967bb8.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0176/sa3_held_out_0176_s00_2026088400.wav,held_out_0176,0,2026088400,vocal,far_below,5.311492913970248e-07,0,20260709
sa3cal_006_9d88aeafa508,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_006_9d88aeafa508.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0159/sa3_held_out_0159_s04_2026086704.wav,held_out_0159,4,2026086704,vocal,far_above,0.9999670003800528,1,20260709
sa3cal_007_bfaa17bc9ee8,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_007_bfaa17bc9ee8.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/dev_0211/sa3_dev_0211_s05_2026117505.wav,dev_0211,5,2026117505,instrumental,far_above,0.38834161098361675,1,20260709
sa3cal_008_8af34fb3dca1,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_008_8af34fb3dca1.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0095/sa3_held_out_0095_s03_2026080303.wav,held_out_0095,3,2026080303,vocal,near_threshold,0.1800471800623148,1,20260709
sa3cal_009_7bb8452a9887,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_009_7bb8452a9887.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/dev_0102/sa3_dev_0102_s00_2026106600.wav,dev_0102,0,2026106600,vocal,far_above,0.9999453335130785,1,20260709
sa3cal_010_3e440700a11d,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_010_3e440700a11d.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0116/sa3_held_out_0116_s03_2026082403.wav,held_out_0116,3,2026082403,instrumental,far_above,0.2529919208553763,1,20260709
sa3cal_011_0c705ce285c5,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_011_0c705ce285c5.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/dev_0181/sa3_dev_0181_s01_2026114501.wav,dev_0181,1,2026114501,vocal,near_threshold,0.17455841126515578,0,20260709
