bundle_rating_id,scorer_rating_id,bundle_name,position,shuffle_seed,nonce_sha256,media_sha256
r_a95dfc8731384740bf8c,sa3cal_027_829ca3295383,t5_sa3_calibration,1,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,7485ff4e264cc60d52c2f4ad12e06040bba5c386b6629164ce36c50d617926eb
r_dfd4eea5b90c7486efc9,sa3cal_024_b7ab48a99cde,t5_sa3_calibration,2,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,58766b7747a55f8dfec1392665e299cd4dda8ee7ff6f47ec64e38e3f8bec64be
r_66eb4014e41075258af1,sa3cal_015_68464bf55ea9,t5_sa3_calibration,3,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,ae504ead1d3b6b7a0151a531e9780eaae549cce4b8060d5392f9f5a8370cc74a
r_03e185b4898969e9e8aa,sa3cal_059_316d42279cff,t5_sa3_calibration,4,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,29896a19d518545e0b4a6767ce820a19e70fd1f434977b4c1bf759c760b858c4
r_87bc10c6f56a672507b6,sa3cal_057_b5fa0331de19,t5_sa3_calibration,5,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,ac75455857cd6044b08321688e3d03dfcb977752f637dcc611f22f345310849b
r_4e3d6bc1200eccede58e,sa3cal_023_e52839ef9ff4,t5_sa3_calibration,6,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,0cf814b346d0b48efb6142f183ec356931e615ed56784a65803b2aaf5b96006b
r_94b901b66e24a345b97e,sa3cal_002_38632f3424a1,t5_sa3_calibration,7,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,fc699828bf0390be7f7855d0181c126bbe8e63477e1c3b81d00e362ec94a5ab6
r_98978a84cf49a2d2d1fb,sa3cal_021_2c2b00b0618b,t5_sa3_calibration,8,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,08064479524c707f60ff11655a88054f1a941e02ce10fb00b3a4022cf159dc26
r_7fa28ad7ca607291c80a,sa3cal_003_8ad5ff370777,t5_sa3_calibration,9,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,ab8b1516f8050a12fa68b8c020b96af7ce5f0fdc58055311fb66847d22302d44
r_fbe9537b4e78e10ee02b,sa3cal_050_080fa864aee9,t5_sa3_calibration,10,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,7eb28850e922090a3a3e01a88a31bb574a9a80416c20da85b72a45a2a632df13
r_7047e3fbe474f4c03584,sa3cal_028_640d286e4129,t5_sa3_calibration,11,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,8e2520fc002230f1c42acc9460bce5d99b566493864ad66fc92fbb2f39f0a42f
r_834b0d624e9e66a4db9a,sa3cal_029_975eeb1435b7,t5_sa3_calibration,12,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,84c8bfc0db5e655fb5136548e69b8a0b313adb3ac9e0c279b04b9ba671fef0c4
r_b13d07e26bb6469744b9,sa3cal_031_5cae4ca468d4,t5_sa3_calibration,13,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,d6af4e5d61d5c289f2869969aa5cc26bf44ad371c3b897c159c50625adcb73df
r_210be09dc387b7ae20f0,sa3cal_012_fff5ccab5a00,t5_sa3_calibration,14,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,e234e2563b4b49273bd9b67ca16308cf3e6d966dfbcf74e58f855ad961cf0da2
r_41069eea025068910a07,sa3cal_011_0c705ce285c5,t5_sa3_calibration,15,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,ab49bd1f923b690588bb6ed661bec8d21a5c9cb2252b10225f46d8f49b8faf19
r_bb31677542b12177b198,sa3cal_030_2174f8f60d5b,t5_sa3_calibration,16,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,db3276a7fff203e5c436df07aafd936353af600ad7bf83e7227275e4a508fcb6
r_8ad20c737d83280bc87c,sa3cal_052_80c311d59214,t5_sa3_calibration,17,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,f94bc6f497ce2e82f39f7b22533e8174a404f166aed01af56edb198724d39454
r_3275b118f3be2b98ab12,sa3cal_048_bf201d60feb4,t5_sa3_calibration,18,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,4f1975db408417d7560b4dff154319722f008b63b34a6991d75a215bdb35cbbf
r_c57e6087b3b275afc91d,sa3cal_026_d25e2212c490,t5_sa3_calibration,19,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,6c19ac7deb84fce2df4fe389a83486f574fa8550b5e466e8c65c68db56cfc305
r_e75dba5f2dd11a1a775b,sa3cal_053_34270bd71d1f,t5_sa3_calibration,20,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,9773f20ef7fcb8fb7dfc528365f54877b51f3a6571a0429b169864266ceba7eb
r_9a34209cd9ab124c9108,sa3cal_019_9cc64a40d829,t5_sa3_calibration,21,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,6960a7f5504810b58357f2cba2ffc83c951bce4805f76b7c4d9607de36e71f26
r_ae017a77bb39f6f9dc9d,sa3cal_036_993b4aa516f0,t5_sa3_calibration,22,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,1d0e4abd2b440a37fc84c558f50db2af4b8891516705faf7beddcfc238c0eb70
r_4c4a79c32381529e2811,sa3cal_040_fd5971cac964,t5_sa3_calibration,23,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,ec325b11aa6ab4891c91d2ed24ebde97b1197f000ef853a726720f16a0c4e914
r_e4adaa8c27b249f48fff,sa3cal_020_23169f2584b8,t5_sa3_calibration,24,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,a846213713e91874ee8f2b4907744de916fb009e34e0aaf6504b5c8fa164ff34
r_b7d5e77e9c1a77bf5b25,sa3cal_041_fc409714aba3,t5_sa3_calibration,25,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,882791c2a80dfb0cf4a867efa875c6e4cc05aeebed1a16bfd6a52c2aefcfd277
r_be054a48404542e967cc,sa3cal_005_9609be967bb8,t5_sa3_calibration,26,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,3d777b0a1414e9c64baefdcb95a45196f2b44df2b4eba32fab2158bdec95b434
r_238a17b83295f662d00f,sa3cal_001_bfb52544ac96,t5_sa3_calibration,27,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,5741fad45eb2e9692b2ca8a5564ab0e1e8ea6f6cf9de3bf16f9dbdc80664c688
r_ab4388eb6a78e7a4f88c,sa3cal_038_1e9e252d11c9,t5_sa3_calibration,28,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,d0ddd4dfcfb6827ccafaee0e65fb8a5d4566de25c0b150117be907bf7d505742
r_0ffe00a0a557f1a110b9,sa3cal_044_f5d20b001d07,t5_sa3_calibration,29,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,22e52f59ff84a43d353682dde36c861652cd185252ae219cf92fe7274d6c5cd5
r_610b1bd1fedf80032093,sa3cal_042_ea3018dea5de,t5_sa3_calibration,30,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,35ee8fba3c055f2eb9bbef2372196b0a8b498227d5154172aca3258cf4a1428d
r_324dbea38ca8228baa27,sa3cal_049_300a8290d019,t5_sa3_calibration,31,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,1031910134e786fe27f08f124916d75649b20fb03daf6579f6a95f2a5fe27a63
