rating_id,canonical_clip_id,role,repeat_parent_rating_id,repeat_parent_clip_id,media_path,media_sha256,request_mode,requested_vocal,demucs_score,panns_score,old_present,corrected_present,candidate_violation,calibration_stratum,source_family,selection_component,inclusion_probability,reserve_order,shuffle_seed,reveal_sequence,nonce_sha256
r_e47f53375a9b6c1ec3b9,held_out_0223__cand03,train,,,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction/audio/held_out_0223/candidate_03_seed2026531703.wav,1ccadb398b5727c7e9ff95c9456c20ed903e9ca02c1911d6d548bfd62d9d8edc,instrumental,0,0.0932387262582779,0.29731205105781555,0,1,1,instrumental|boundary|old0|corrected1|disagree1|spine,spine,targeted_train,0.038461538461538464,,20260712,1,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
r_ed9bc949444598a804e3,held_out_0055__cand07,heldout,,,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction/audio/held_out_0055/candidate_07_seed2026363707.wav,b5ad11563b951c6023e3c25f0b4d7c52b41280ee8ea4ddace35c424034c6be2e,vocal,1,0.11921074986457825,0.18122337758541107,0,1,0,vocal|boundary|old0|corrected1|disagree1|spine,spine,simple_random_anchor,0.009765625,,20260712,2,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
r_b987f1de9b347bc4d084,dev_0041__cand02,heldout,,,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0041/candidate_02_seed2026093702.wav,cc4ef31f911f9eb6335d3b9736ceecd4af7a59e25b661f197f9ebb8285848b26,instrumental,0,0.06718634068965912,0.19902242720127106,0,1,1,instrumental|low|old0|corrected1|disagree1|spine,spine,targeted_heldout,0.050505050505050504,,20260712,3,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
r_f5e0250776f69d16d969,50f96f07e6f358ba4de4c842,transport,,,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/stage3_intervention_20260707/keep/full64/vocal_hints/held_out_0254/vocal_hints_s23_2033102023.flac,be5aaf6587c2d04e7e0a983985265201f1f907ff3997c28095e590bb222bcd65,vocal,1,0.038855,0.20372317731380463,0,1,0,vocal|low|old0|corrected1|disagree1|Stage3,Stage3,boundary_disagreement_transport,0.008830022075055188,,20260712,4,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
r_96ff5174a29b37f7cd55,held_out_0036__cand02,train,,,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction/audio/held_out_0036/candidate_02_seed2026344702.wav,9db7e16d73c247eb9b6d07eb59166dfd628da5b072eebea9b0797024ef02e624,vocal,1,0.09054160118103027,0.2867521047592163,0,1,0,vocal|boundary|old0|corrected1|disagree1|spine,spine,targeted_train,0.012012012012012012,,20260712,5,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
r_f8e792a09dc0a6677e5e,22e8d29053247536acc02f01,transport,,,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/stage3_intervention_20260707/keep/full64/instr_sampler/held_out_0236/instr_sampler_s54_2032605054.flac,f1fc2bf484f02afab95b61aad6a707192a1fde825a9e7ccc509f696c40c50ddb,instrumental,0,0.076426,0.031827058643102646,0,1,1,instrumental|low|old0|corrected1|disagree1|Stage3,Stage3,boundary_disagreement_transport,0.0125,,20260712,6,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
r_c85a07f7b6101fe2c935,held_out_0184__cand07,heldout,,,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction/audio/held_out_0184/candidate_07_seed2026492707.wav,c2eabe226750156cd342e53f535718355589e5dd8a06e2efd739b09917e547b8,vocal,1,0.43797367811203003,0.12257188558578491,1,1,0,vocal|boundary|old1|corrected1|disagree0|spine,spine,simple_random_anchor,0.009765625,,20260712,7,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
r_bf1911ccd774450b459b,dev_0151__cand06,train,,,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0151/candidate_06_seed2026203706.wav,fd6a4305641820d95528842d2b03c35c871968a7b39169a141976caa519bca21,instrumental,0,0.5560566782951355,0.04912319406867027,1,1,1,instrumental|low|old1|corrected1|disagree0|spine,spine,targeted_train,0.4166666666666667,,20260712,8,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
r_f5c3f55ea50d03111414,dev_0117__cand00__hidden_repeat,repeat,r_6657446acc769a701217,dev_0117__cand00,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0117/candidate_00_seed2026169700.wav,6bb6572e507a2867bf613b097cdd0d0d2fc9f52d52153ab2e04a9497f2eaec97,vocal,1,0.17243358492851257,0.0385746955871582,0,1,0,vocal|low|old0|corrected1|disagree1|spine,spine,hidden_intrarater_repeat,0.022222222222222223,,20260712,9,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
r_917523bfdeeee23a4e21,dev_0085__cand05,train,,,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0085/candidate_05_seed2026137705.wav,8ca155d47dce128e8db7d59536cab13b36ae82887a07cfc1bb1282025ad77698,instrumental,0,0.0696992427110672,0.035745661705732346,0,1,1,instrumental|low|old0|corrected1|disagree1|spine,spine,targeted_train,0.05319148936170213,,20260712,10,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
