rating_id,canonical_clip_id,role,repeat_parent_rating_id,repeat_parent_clip_id,media_path,media_sha256,request_mode,requested_vocal,demucs_score,panns_score,old_present,corrected_present,candidate_violation,calibration_stratum,source_family,selection_component,inclusion_probability,reserve_order,shuffle_seed,reveal_sequence,nonce_sha256
r_e47f53375a9b6c1ec3b9,held_out_0223__cand03,train,,,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0223/candidate_03_seed2026531703.wav,ef3170c69d3d85afc3da254b0ecb5c6ef02acf6cb473ce0ede5549ac09049b76,instrumental,0,0.09227783977985382,0.2340257465839386,0,1,1,instrumental|boundary|old0|corrected1|disagree1|spine,spine,targeted_train,0.04,,20260712,1,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
r_ed9bc949444598a804e3,held_out_0055__cand07,heldout,,,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0055/candidate_07_seed2026363707.wav,9fb7844f3226c91ddba53fc606019e38de54e56d1658265682a16d70cda4b7ee,vocal,1,0.1137649416923523,0.13608968257904053,0,1,0,vocal|boundary|old0|corrected1|disagree1|spine,spine,simple_random_anchor,0.009765625,,20260712,2,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
r_841abdf57a8e324d8759,held_out_0069__cand03,heldout,,,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0069/candidate_03_seed2026377703.wav,db1ad24189f7530f2454fc51c006fc92775e7ddbfacfdf473c9933933257786b,vocal,1,0.11075150966644287,0.045385874807834625,0,1,0,vocal|low|old0|corrected1|disagree1|spine,spine,targeted_heldout,0.02112676056338028,,20260712,3,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
r_f5e0250776f69d16d969,50f96f07e6f358ba4de4c842,transport,,,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/stage3_intervention_20260707/keep/full64/vocal_hints/held_out_0254/vocal_hints_s23_2033102023.flac,be5aaf6587c2d04e7e0a983985265201f1f907ff3997c28095e590bb222bcd65,vocal,1,0.038855,0.20372317731380463,0,1,0,vocal|low|old0|corrected1|disagree1|Stage3,Stage3,boundary_disagreement_transport,0.008771929824561403,,20260712,4,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
r_96ff5174a29b37f7cd55,held_out_0036__cand02,train,,,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0036/candidate_02_seed2026344702.wav,e50941a49c12cadd13e1a01a35132b98727d7be82b757edf03ca358e0d720d08,vocal,1,0.08746550977230072,0.23991645872592926,0,1,0,vocal|boundary|old0|corrected1|disagree1|spine,spine,targeted_train,0.012307692307692308,,20260712,5,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
r_3f4812a10d7ea37232e2,held_out_0140__cand03,heldout,,,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0140/candidate_03_seed2026448703.wav,605d73ee0b179780946eb3be34f06b40e9ede0302af196e463a2f42bd42b32b3,instrumental,0,0.25175467133522034,0.12953327596187592,1,1,1,instrumental|boundary|old1|corrected1|disagree0|spine,spine,targeted_heldout,0.05454545454545454,,20260712,6,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
r_f8e792a09dc0a6677e5e,22e8d29053247536acc02f01,transport,,,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/stage3_intervention_20260707/keep/full64/instr_sampler/held_out_0236/instr_sampler_s54_2032605054.flac,f1fc2bf484f02afab95b61aad6a707192a1fde825a9e7ccc509f696c40c50ddb,instrumental,0,0.076426,0.031827058643102646,0,1,1,instrumental|low|old0|corrected1|disagree1|Stage3,Stage3,boundary_disagreement_transport,0.0125,,20260712,7,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
r_c85a07f7b6101fe2c935,held_out_0184__cand07,heldout,,,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0184/candidate_07_seed2026492707.wav,4109178d2d3a19851d1048b241efd97bbea544df075dc59b3cf7602af0ac47b7,vocal,1,0.4230256676673889,0.0923781469464302,1,1,0,vocal|boundary|old1|corrected1|disagree0|spine,spine,simple_random_anchor,0.009765625,,20260712,8,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
r_bf1911ccd774450b459b,dev_0151__cand06,train,,,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0151/candidate_06_seed2026203706.wav,61fb86d3f67f8757e393a2e6a2817ef848a6de0eec5aff547e72e7c5f94a8811,instrumental,0,0.5565081834793091,0.048488203436136246,1,1,1,instrumental|low|old1|corrected1|disagree0|spine,spine,targeted_train,0.35714285714285715,,20260712,9,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
r_917523bfdeeee23a4e21,dev_0085__cand05,train,,,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0085/candidate_05_seed2026137705.wav,c763fefddc76d9aa09b06520976b8f0fb6e2b6f5db99d5ba8f6275d5406e7d6b,instrumental,0,0.07153822481632233,0.030716372653841972,0,0,0,instrumental|low|old0|corrected0|disagree0|spine,spine,targeted_train,0.005482456140350877,,20260712,10,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
r_91327ec3c3d59ef86170,held_out_0192__cand02,train,,,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0192/candidate_02_seed2026500702.wav,0e3bf88597cfe6c63992ebc36c34b4881ef69b7e3a7c6900f6d0c0899f06d0e6,instrumental,0,0.046059977263212204,0.15540988743305206,0,1,1,instrumental|low|old0|corrected1|disagree1|spine,spine,targeted_train,0.05102040816326531,,20260712,11,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
r_a55e2e67d4d889c4fc0f,dev_0058__cand04,train,,,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0058/candidate_04_seed2026110704.wav,b7993f1ce10e643cd01beb441e4820e7c5683c710c3ff88b6281d43294723d0f,instrumental,0,1.7740119346854044e-06,0.04366892948746681,0,0,0,instrumental|low|old0|corrected0|disagree0|spine,spine,targeted_train,0.005482456140350877,,20260712,12,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
r_d35b26d21e659415a6fa,dev_0253__cand03,heldout,,,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0253/candidate_03_seed2026305703.wav,22a51ef6bcff2e12d73b800c177eed518d89341a70e20aba6939b57c2448af11,vocal,1,0.27472108602523804,0.07024974375963211,1,1,0,vocal|boundary|old1|corrected1|disagree0|spine,spine,simple_random_anchor,0.009765625,,20260712,13,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
r_09e92121ec323a1e1e4b,dev_0163__cand00,heldout,,,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/dev_0163/candidate_00_seed2026215700.wav,b175137393cc7cdf8991e95e7c626d80d91f7793d65f6406a13331428bcf6560,vocal,1,0.03359774127602577,0.532252311706543,0,0,1,vocal|low|old0|corrected0|disagree0|spine,spine,targeted_heldout,0.10344827586206896,,20260712,14,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
r_fb5c2e0ea97375a5030a,held_out_0236__cand00__hidden_repeat,repeat,r_86f11b0ecd07bbfaa3a6,held_out_0236__cand00,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction_torch251_recovery/audio/held_out_0236/candidate_00_seed2026544700.wav,3e00d6ab6593844be26adfaf735210861334ad75fc04ea381ee3273c3baba591,instrumental,0,0.6381322145462036,0.25346460938453674,1,1,1,instrumental|high|old1|corrected1|disagree0|spine,spine,hidden_intrarater_repeat,0.02032520325203252,,20260712,15,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f
