metric,old,v2,absolute_delta,gate_metric
primary_estimate,0.4299,0.42987974987974986,2.025012025014261e-05,true
secondary_estimate,0.3829,0.382907196969697,7.196969696976474e-06,true
arm1_selected_type_error,0.1146,0.11457446873176398,2.553126823601204e-05,false
arm1_final_common_robust_lcb_unweighted,2.2779,2.2779269652502947,2.6965250294885834e-05,false
arm1_final_semantic_fit_unweighted,0.3426,0.34263067835127003,3.067835127001928e-05,false
arm1_final_aesthetic_pq_unweighted,7.5375,7.537505297921598,5.2979215983128825e-06,false
arm1_final_lyric_intelligibility_unweighted,0.2604,0.26036994290348264,3.0057096517377424e-05,false
arm2_selected_type_error,0.1612,0.16121949563962867,1.9495639628663852e-05,false
arm2_final_common_robust_lcb_unweighted,2.2659,2.26591491253643,1.491253643015611e-05,false
arm2_final_semantic_fit_unweighted,0.3359,0.3358590843490674,4.091565093256033e-05,false
arm2_final_aesthetic_pq_unweighted,7.5204,7.520415039733052,1.5039733051835924e-05,false
arm2_final_lyric_intelligibility_unweighted,0.2539,0.2538682153901514,3.178460984859521e-05,false
arm3_selected_type_error,0.1535,0.15352096908837407,2.0969088374067635e-05,false
arm3_final_common_robust_lcb_unweighted,2.303,2.3029534418873183,4.655811268161614e-05,false
arm3_final_semantic_fit_unweighted,0.3346,0.3346468368326896,4.68368326895785e-05,false
arm3_final_aesthetic_pq_unweighted,7.6369,7.636929417960346,2.941796034594546e-05,false
arm3_final_lyric_intelligibility_unweighted,0.2754,0.2753927200567093,7.2799432906944794e-06,false
arm4_selected_type_error,0.123,0.1229631678337545,3.6832166245504006e-05,false
arm4_final_common_robust_lcb_unweighted,2.2776,2.2775829750874004,1.702491259969463e-05,false
arm4_final_semantic_fit_unweighted,0.3391,0.33914846168772783,4.846168772781878e-05,false
arm4_final_aesthetic_pq_unweighted,7.5441,7.544100151086847,1.5108684703335484e-07,false
arm4_final_lyric_intelligibility_unweighted,0.2522,0.2521675358807431,3.2464119256891966e-05,false
arm6_selected_type_error,0.0098,0.009779850574898937,2.0149425101062546e-05,false
arm6_final_common_robust_lcb_unweighted,2.2957,2.2956791737682525,2.0826231747594903e-05,false
arm6_final_semantic_fit_unweighted,0.3429,0.342934170102429,3.417010242900975e-05,false
arm6_final_aesthetic_pq_unweighted,7.6418,7.641826547992727,2.654799272683306e-05,false
arm6_final_lyric_intelligibility_unweighted,0.2911,0.2910922094393836,7.790560616449671e-06,false
arm7_selected_type_error,0.066,0.06602101974324046,2.1019743240452415e-05,false
arm7_final_common_robust_lcb_unweighted,2.3057,2.3057110120894793,1.10120894794008e-05,false
arm7_final_semantic_fit_unweighted,0.3361,0.3361425987750408,4.259877504081411e-05,false
arm7_final_aesthetic_pq_unweighted,7.6067,7.606667402200401,3.259779959918774e-05,false
arm7_final_lyric_intelligibility_unweighted,0.2715,0.2714541455269211,4.585447307892121e-05,false
arm8_selected_type_error,0.1553,0.15533213382610342,3.213382610342541e-05,false
arm8_final_common_robust_lcb_unweighted,2.2717,2.2717064409052172,6.440905217175441e-06,false
arm8_final_semantic_fit_unweighted,0.3451,0.34510716237855377,7.162378553748905e-06,false
arm8_final_aesthetic_pq_unweighted,7.5127,7.5127297276631,2.9727663100054258e-05,false
arm8_final_lyric_intelligibility_unweighted,0.2567,0.25670366669638234,3.666696382353951e-06,false
