sha256	bytes	path	identity
f102fcaa8ce8a0be24a838b56de3c0383135998bab16c5d4952c22793a7941ae	2319	/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion_envs/model_cache/ACE-Step1.5/acestep-v15-xl-sft/.gitattributes	XL-SFT
6cfd536f953f5171283d84baf223c68d88979d8215cac9209324d04c331988e2	4113	/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion_envs/model_cache/ACE-Step1.5/acestep-v15-xl-sft/README.md	XL-SFT
89ecdc4686e174225d6e6d304939d75892297dc3c19fbb11e04345dc3d4685db	8340	/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion_envs/model_cache/ACE-Step1.5/acestep-v15-xl-sft/apg_guidance.py	XL-SFT
174cf8c4afc2c41212546b4dca9afb11e7958f8b1e1a770d7cd009a82d72a6f1	2525	/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion_envs/model_cache/ACE-Step1.5/acestep-v15-xl-sft/config.json	XL-SFT
7f4974aae8f10534513210f4faeae0843183cc83c24c5d00fce01e48ad9f2bba	74	/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion_envs/model_cache/ACE-Step1.5/acestep-v15-xl-sft/configuration.json	XL-SFT
0d66f38eba6a3d1665c9449a1a52724d68354477bc88dcf02389640e3602a0c7	13225	/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion_envs/model_cache/ACE-Step1.5/acestep-v15-xl-sft/configuration_acestep_v15.py	XL-SFT
1d304b8a34859cd92c349c71ae6c27d50564844c7f7611d2d32913f67508e5a4	4986971456	/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion_envs/model_cache/ACE-Step1.5/acestep-v15-xl-sft/model-00001-of-00004.safetensors	XL-SFT
94e33648f514fdd00f473f2d2680af959204b58b15f7ab37246ac16d066aac87	4986942776	/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion_envs/model_cache/ACE-Step1.5/acestep-v15-xl-sft/model-00002-of-00004.safetensors	XL-SFT
befe558365f53bc6c44f3f7e521cb2dd026927a817c36aa05ad94fcd80a533a9	4986942808	/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion_envs/model_cache/ACE-Step1.5/acestep-v15-xl-sft/model-00003-of-00004.safetensors	XL-SFT
dfbc77aa26e54d0127892d6e7f3c0868bfc4623aa067867f6595c3b2fb7d31a4	4988483464	/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion_envs/model_cache/ACE-Step1.5/acestep-v15-xl-sft/model-00004-of-00004.safetensors	XL-SFT
