prompt_id,requested_vocal,baseline_n,baseline_clean,baseline_p,recondition_p,recondition_delta,n2_regime
held_out_0001,1,512,27,0.052734375,0.890625,0.837890625,
held_out_0008,1,512,89,0.173828125,0.7890625,0.615234375,low_1_in_16_to_1_in_4
held_out_0016,1,512,58,0.11328125,0.890625,0.77734375,
held_out_0017,1,512,23,0.044921875,0.828125,0.783203125,rare_le_1_in_16
held_out_0021,1,512,78,0.15234375,0.921875,0.76953125,low_1_in_16_to_1_in_4
held_out_0024,1,512,16,0.03125,0.6640625,0.6328125,
held_out_0035,0,512,193,0.376953125,0.21875,-0.158203125,
held_out_0041,0,512,236,0.4609375,0.484375,0.0234375,seed_recoverable_1_in_4_to_1_in_2
held_out_0043,0,512,194,0.37890625,0.2421875,-0.13671875,
held_out_0045,1,512,14,0.02734375,0.6875,0.66015625,rare_le_1_in_16
held_out_0058,0,512,159,0.310546875,0.34375,0.033203125,
held_out_0069,1,512,97,0.189453125,0.8359375,0.646484375,
held_out_0080,0,512,185,0.361328125,0.390625,0.029296875,
held_out_0088,0,512,219,0.427734375,0.328125,-0.099609375,seed_recoverable_1_in_4_to_1_in_2
held_out_0094,0,512,146,0.28515625,0.3125,0.02734375,seed_recoverable_1_in_4_to_1_in_2
held_out_0108,0,512,221,0.431640625,0.4921875,0.060546875,
held_out_0117,0,512,111,0.216796875,0.1640625,-0.052734375,seed_recoverable_1_in_4_to_1_in_2
held_out_0119,1,512,51,0.099609375,0.8828125,0.783203125,low_1_in_16_to_1_in_4
held_out_0134,1,512,64,0.125,0.8671875,0.7421875,
held_out_0142,1,512,19,0.037109375,0.71875,0.681640625,low_1_in_16_to_1_in_4
held_out_0153,0,512,185,0.361328125,0.5546875,0.193359375,
held_out_0166,1,512,95,0.185546875,0.6875,0.501953125,
held_out_0170,0,512,145,0.283203125,0.34375,0.060546875,
held_out_0193,1,512,33,0.064453125,0.3984375,0.333984375,rare_le_1_in_16
held_out_0199,1,512,7,0.013671875,0.6640625,0.650390625,
held_out_0204,1,512,61,0.119140625,0.8671875,0.748046875,low_1_in_16_to_1_in_4
held_out_0236,0,512,309,0.603515625,0.5,-0.103515625,easy_ge_1_in_2
held_out_0238,0,512,102,0.19921875,0.3125,0.11328125,low_1_in_16_to_1_in_4
held_out_0240,1,512,14,0.02734375,0.7265625,0.69921875,rare_le_1_in_16
held_out_0251,0,512,133,0.259765625,0.4921875,0.232421875,
held_out_0253,0,512,220,0.4296875,0.2890625,-0.140625,seed_recoverable_1_in_4_to_1_in_2
held_out_0254,1,512,21,0.041015625,0.8359375,0.794921875,rare_le_1_in_16
