prompt_id,requested_vocal,baseline_n,baseline_clean,baseline_p,recondition_p,regime,router_policy,router_p
held_out_0001,1,512,27,0.052734375,0.890625,rare_le_1_in_16,recondition,0.890625
held_out_0008,1,512,89,0.173828125,0.7890625,retry_recoverable_gt_1_in_16,reseed,0.173828125
held_out_0016,1,512,58,0.11328125,0.890625,retry_recoverable_gt_1_in_16,reseed,0.11328125
held_out_0017,1,512,23,0.044921875,0.828125,rare_le_1_in_16,recondition,0.828125
held_out_0021,1,512,78,0.15234375,0.921875,retry_recoverable_gt_1_in_16,reseed,0.15234375
held_out_0024,1,512,16,0.03125,0.6640625,rare_le_1_in_16,recondition,0.6640625
held_out_0035,0,512,193,0.376953125,0.21875,retry_recoverable_gt_1_in_16,reseed,0.376953125
held_out_0041,0,512,236,0.4609375,0.484375,retry_recoverable_gt_1_in_16,reseed,0.4609375
held_out_0043,0,512,194,0.37890625,0.2421875,retry_recoverable_gt_1_in_16,reseed,0.37890625
held_out_0045,1,512,14,0.02734375,0.6875,rare_le_1_in_16,recondition,0.6875
held_out_0058,0,512,159,0.310546875,0.34375,retry_recoverable_gt_1_in_16,reseed,0.310546875
held_out_0069,1,512,97,0.189453125,0.8359375,retry_recoverable_gt_1_in_16,reseed,0.189453125
held_out_0080,0,512,185,0.361328125,0.390625,retry_recoverable_gt_1_in_16,reseed,0.361328125
held_out_0088,0,512,219,0.427734375,0.328125,retry_recoverable_gt_1_in_16,reseed,0.427734375
held_out_0094,0,512,146,0.28515625,0.3125,retry_recoverable_gt_1_in_16,reseed,0.28515625
held_out_0108,0,512,221,0.431640625,0.4921875,retry_recoverable_gt_1_in_16,reseed,0.431640625
held_out_0117,0,512,111,0.216796875,0.1640625,retry_recoverable_gt_1_in_16,reseed,0.216796875
held_out_0119,1,512,51,0.099609375,0.8828125,retry_recoverable_gt_1_in_16,reseed,0.099609375
held_out_0134,1,512,64,0.125,0.8671875,retry_recoverable_gt_1_in_16,reseed,0.125
held_out_0142,1,512,19,0.037109375,0.71875,rare_le_1_in_16,recondition,0.71875
held_out_0153,0,512,185,0.361328125,0.5546875,retry_recoverable_gt_1_in_16,reseed,0.361328125
held_out_0166,1,512,95,0.185546875,0.6875,retry_recoverable_gt_1_in_16,reseed,0.185546875
held_out_0170,0,512,145,0.283203125,0.34375,retry_recoverable_gt_1_in_16,reseed,0.283203125
held_out_0193,1,512,33,0.064453125,0.3984375,retry_recoverable_gt_1_in_16,reseed,0.064453125
held_out_0199,1,512,7,0.013671875,0.6640625,rare_le_1_in_16,recondition,0.6640625
held_out_0204,1,512,61,0.119140625,0.8671875,retry_recoverable_gt_1_in_16,reseed,0.119140625
held_out_0236,0,512,309,0.603515625,0.5,retry_recoverable_gt_1_in_16,reseed,0.603515625
held_out_0238,0,512,102,0.19921875,0.3125,retry_recoverable_gt_1_in_16,reseed,0.19921875
held_out_0240,1,512,14,0.02734375,0.7265625,rare_le_1_in_16,recondition,0.7265625
held_out_0251,0,512,133,0.259765625,0.4921875,retry_recoverable_gt_1_in_16,reseed,0.259765625
held_out_0253,0,512,220,0.4296875,0.2890625,retry_recoverable_gt_1_in_16,reseed,0.4296875
held_out_0254,1,512,21,0.041015625,0.8359375,rare_le_1_in_16,recondition,0.8359375
