budget_draws,policy,prompts,expected_clean_outputs_per_prompt,final_violation_rate,clean_yield_per_compute_draw
1,always_reseed,32,0.21514892578125,0.78485107421875,0.21514892578125
1,always_recondition,32,0.58203125,0.41796875,0.58203125
1,rare_router,32,0.39453125,0.60546875,0.39453125
2,always_reseed,32,0.3590325117111206,0.6409674882888794,0.1795162558555603
2,always_recondition,32,0.7690048217773438,0.23099517822265625,0.3845024108886719
2,rare_router,32,0.5750975608825684,0.42490243911743164,0.2875487804412842
4,always_reseed,32,0.5330947053057571,0.4669052946942429,0.13327367632643927
4,always_recondition,32,0.9030059780925512,0.09699402190744877,0.2257514945231378
4,rare_router,32,0.7490708615223411,0.25092913847765885,0.1872677153805853
8,always_reseed,32,0.694677602029988,0.30532239797001204,0.0868347002537485
8,always_recondition,32,0.9744552069876842,0.025544793012315825,0.12180690087346052
8,rare_router,32,0.8843016536352667,0.1156983463647333,0.11053770670440834
