blind_id,pair_id,prompt_id,method_side,source_a,source_b
sa3pair_01_300bc3ad25,sa3pair_040,held_out_0001,B,paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0001/sa3_held_out_0001_s00_2026072400.wav,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0001/sa3_vocal_boost_held_out_0001_s00_2026072400.wav
sa3pair_02_79d05646e0,sa3pair_048,held_out_0008,A,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0008/sa3_vocal_boost_held_out_0008_s00_2026072500.wav,paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0008/sa3_held_out_0008_s00_2026072500.wav
sa3pair_03_1e1fa9f2fb,sa3pair_136,held_out_0014,A,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0014/sa3_vocal_boost_held_out_0014_s00_2026074200.wav,paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0014/sa3_held_out_0014_s00_2026074200.wav
sa3pair_04_96d79071bc,sa3pair_056,held_out_0016,A,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0016/sa3_vocal_boost_held_out_0016_s00_2026072600.wav,paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0016/sa3_held_out_0016_s00_2026072600.wav
sa3pair_05_c5d8c192c0,sa3pair_016,held_out_0021,B,paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0021/sa3_held_out_0021_s00_2026071500.wav,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0021/sa3_vocal_boost_held_out_0021_s00_2026071500.wav
sa3pair_06_4c6456980f,sa3pair_144,held_out_0030,B,paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0030/sa3_held_out_0030_s00_2026074300.wav,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0030/sa3_vocal_boost_held_out_0030_s00_2026074300.wav
sa3pair_07_5d0dd7a2e5,sa3pair_240,held_out_0036,A,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0036/sa3_vocal_boost_held_out_0036_s00_2026076400.wav,paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0036/sa3_held_out_0036_s00_2026076400.wav
sa3pair_08_14c2c093f7,sa3pair_080,held_out_0045,A,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0045/sa3_vocal_boost_held_out_0045_s00_2026073000.wav,paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0045/sa3_held_out_0045_s00_2026073000.wav
sa3pair_09_9ae84769f4,sa3pair_160,held_out_0053,B,paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0053/sa3_held_out_0053_s00_2026074500.wav,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0053/sa3_vocal_boost_held_out_0053_s00_2026074500.wav
sa3pair_10_ae92978f71,sa3pair_168,held_out_0055,A,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0055/sa3_vocal_boost_held_out_0055_s00_2026074600.wav,paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0055/sa3_held_out_0055_s00_2026074600.wav
sa3pair_11_8ac940862b,sa3pair_088,held_out_0069,A,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0069/sa3_vocal_boost_held_out_0069_s00_2026073100.wav,paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0069/sa3_held_out_0069_s00_2026073100.wav
sa3pair_12_0732cbbb2a,sa3pair_176,held_out_0070,B,paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0070/sa3_held_out_0070_s00_2026074800.wav,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0070/sa3_vocal_boost_held_out_0070_s00_2026074800.wav
sa3pair_13_89b57758f1,sa3pair_184,held_out_0090,A,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0090/sa3_vocal_boost_held_out_0090_s00_2026075000.wav,paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0090/sa3_held_out_0090_s00_2026075000.wav
sa3pair_14_c8320a86ef,sa3pair_096,held_out_0119,A,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0119/sa3_vocal_boost_held_out_0119_s00_2026073400.wav,paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0119/sa3_held_out_0119_s00_2026073400.wav
sa3pair_15_17408999af,sa3pair_112,held_out_0142,B,paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0142/sa3_held_out_0142_s00_2026073600.wav,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0142/sa3_vocal_boost_held_out_0142_s00_2026073600.wav
sa3pair_16_00f0d89a4c,sa3pair_024,held_out_0166,B,paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0166/sa3_held_out_0166_s00_2026072000.wav,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0166/sa3_vocal_boost_held_out_0166_s00_2026072000.wav
sa3pair_17_3d7e5589c0,sa3pair_120,held_out_0199,B,paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0199/sa3_held_out_0199_s00_2026073700.wav,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0199/sa3_vocal_boost_held_out_0199_s00_2026073700.wav
sa3pair_18_8a597868d7,sa3pair_008,held_out_0204,A,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0204/sa3_vocal_boost_held_out_0204_s00_2026071300.wav,paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0204/sa3_held_out_0204_s00_2026071300.wav
sa3pair_19_c703ffa72e,sa3pair_216,held_out_0214,B,paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0214/sa3_held_out_0214_s00_2026075800.wav,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0214/sa3_vocal_boost_held_out_0214_s00_2026075800.wav
sa3pair_20_27969741a2,sa3pair_224,held_out_0234,A,paper_prep/sao/stable_audio_3_medium/intervention/vocal_boost/audio/held_out_0234/sa3_vocal_boost_held_out_0234_s00_2026076100.wav,paper_prep/sao/stable_audio_3_medium/prevalence/audio/held_out_0234/sa3_held_out_0234_s00_2026076100.wav
