blind_id,audio_path,request_type,label_a_voice_presence,perceived_vocal_type,vocal_extent,label_b_constraint,confidence_1_to_5,rating_source,notes
sa3cal_001_bfb52544ac96,audio/sa3cal_001_bfb52544ac96.wav,vocal,,,,,,,
sa3cal_002_38632f3424a1,audio/sa3cal_002_38632f3424a1.wav,vocal,,,,,,,
sa3cal_003_8ad5ff370777,audio/sa3cal_003_8ad5ff370777.wav,instrumental,,,,,,,
sa3cal_004_122eb5e05b41,audio/sa3cal_004_122eb5e05b41.wav,vocal,,,,,,,
sa3cal_005_9609be967bb8,audio/sa3cal_005_9609be967bb8.wav,vocal,,,,,,,
sa3cal_006_9d88aeafa508,audio/sa3cal_006_9d88aeafa508.wav,vocal,,,,,,,
sa3cal_007_bfaa17bc9ee8,audio/sa3cal_007_bfaa17bc9ee8.wav,instrumental,,,,,,,
sa3cal_008_8af34fb3dca1,audio/sa3cal_008_8af34fb3dca1.wav,vocal,,,,,,,
sa3cal_009_7bb8452a9887,audio/sa3cal_009_7bb8452a9887.wav,vocal,,,,,,,
sa3cal_010_3e440700a11d,audio/sa3cal_010_3e440700a11d.wav,instrumental,,,,,,,
sa3cal_011_0c705ce285c5,audio/sa3cal_011_0c705ce285c5.wav,vocal,,,,,,,
sa3cal_012_fff5ccab5a00,audio/sa3cal_012_fff5ccab5a00.wav,vocal,,,,,,,
sa3cal_013_1d4be0951969,audio/sa3cal_013_1d4be0951969.wav,vocal,,,,,,,
sa3cal_014_58cd634245d7,audio/sa3cal_014_58cd634245d7.wav,instrumental,,,,,,,
sa3cal_015_68464bf55ea9,audio/sa3cal_015_68464bf55ea9.wav,instrumental,,,,,,,
sa3cal_016_e45d053ce82c,audio/sa3cal_016_e45d053ce82c.wav,vocal,,,,,,,
sa3cal_017_9dac0a75645c,audio/sa3cal_017_9dac0a75645c.wav,instrumental,,,,,,,
sa3cal_018_c5af7c6fc670,audio/sa3cal_018_c5af7c6fc670.wav,instrumental,,,,,,,
sa3cal_019_9cc64a40d829,audio/sa3cal_019_9cc64a40d829.wav,vocal,,,,,,,
sa3cal_020_23169f2584b8,audio/sa3cal_020_23169f2584b8.wav,instrumental,,,,,,,
sa3cal_021_2c2b00b0618b,audio/sa3cal_021_2c2b00b0618b.wav,instrumental,,,,,,,
sa3cal_022_075ce3d21a93,audio/sa3cal_022_075ce3d21a93.wav,vocal,,,,,,,
sa3cal_023_e52839ef9ff4,audio/sa3cal_023_e52839ef9ff4.wav,instrumental,,,,,,,
sa3cal_024_b7ab48a99cde,audio/sa3cal_024_b7ab48a99cde.wav,instrumental,,,,,,,
sa3cal_025_acf1eab2c11e,audio/sa3cal_025_acf1eab2c11e.wav,instrumental,,,,,,,
sa3cal_026_d25e2212c490,audio/sa3cal_026_d25e2212c490.wav,instrumental,,,,,,,
sa3cal_027_829ca3295383,audio/sa3cal_027_829ca3295383.wav,vocal,,,,,,,
sa3cal_028_640d286e4129,audio/sa3cal_028_640d286e4129.wav,instrumental,,,,,,,
sa3cal_029_975eeb1435b7,audio/sa3cal_029_975eeb1435b7.wav,instrumental,,,,,,,
sa3cal_030_2174f8f60d5b,audio/sa3cal_030_2174f8f60d5b.wav,instrumental,,,,,,,
sa3cal_031_5cae4ca468d4,audio/sa3cal_031_5cae4ca468d4.wav,instrumental,,,,,,,
sa3cal_032_0374d0940076,audio/sa3cal_032_0374d0940076.wav,vocal,,,,,,,
sa3cal_033_edea5cfd706c,audio/sa3cal_033_edea5cfd706c.wav,instrumental,,,,,,,
sa3cal_034_9ae9220c1111,audio/sa3cal_034_9ae9220c1111.wav,vocal,,,,,,,
sa3cal_035_ad14c0c5b318,audio/sa3cal_035_ad14c0c5b318.wav,vocal,,,,,,,
sa3cal_036_993b4aa516f0,audio/sa3cal_036_993b4aa516f0.wav,vocal,,,,,,,
sa3cal_037_c5cc744b5729,audio/sa3cal_037_c5cc744b5729.wav,vocal,,,,,,,
sa3cal_038_1e9e252d11c9,audio/sa3cal_038_1e9e252d11c9.wav,instrumental,,,,,,,
sa3cal_039_06dc54617ae4,audio/sa3cal_039_06dc54617ae4.wav,vocal,,,,,,,
sa3cal_040_fd5971cac964,audio/sa3cal_040_fd5971cac964.wav,vocal,,,,,,,
sa3cal_041_fc409714aba3,audio/sa3cal_041_fc409714aba3.wav,vocal,,,,,,,
sa3cal_042_ea3018dea5de,audio/sa3cal_042_ea3018dea5de.wav,instrumental,,,,,,,
sa3cal_043_c131c4c41ba8,audio/sa3cal_043_c131c4c41ba8.wav,vocal,,,,,,,
sa3cal_044_f5d20b001d07,audio/sa3cal_044_f5d20b001d07.wav,instrumental,,,,,,,
sa3cal_045_a1c0e8035f2e,audio/sa3cal_045_a1c0e8035f2e.wav,vocal,,,,,,,
sa3cal_046_1e2b67a1ef2d,audio/sa3cal_046_1e2b67a1ef2d.wav,instrumental,,,,,,,
sa3cal_047_d83a2d9e9d98,audio/sa3cal_047_d83a2d9e9d98.wav,instrumental,,,,,,,
sa3cal_048_bf201d60feb4,audio/sa3cal_048_bf201d60feb4.wav,instrumental,,,,,,,
sa3cal_049_300a8290d019,audio/sa3cal_049_300a8290d019.wav,instrumental,,,,,,,
sa3cal_050_080fa864aee9,audio/sa3cal_050_080fa864aee9.wav,instrumental,,,,,,,
sa3cal_051_7c42513d4348,audio/sa3cal_051_7c42513d4348.wav,instrumental,,,,,,,
sa3cal_052_80c311d59214,audio/sa3cal_052_80c311d59214.wav,instrumental,,,,,,,
sa3cal_053_34270bd71d1f,audio/sa3cal_053_34270bd71d1f.wav,vocal,,,,,,,
sa3cal_054_45234a39eca2,audio/sa3cal_054_45234a39eca2.wav,instrumental,,,,,,,
sa3cal_055_36c9415e70d4,audio/sa3cal_055_36c9415e70d4.wav,vocal,,,,,,,
sa3cal_056_41cedd9cc3b7,audio/sa3cal_056_41cedd9cc3b7.wav,vocal,,,,,,,
sa3cal_057_b5fa0331de19,audio/sa3cal_057_b5fa0331de19.wav,vocal,,,,,,,
sa3cal_058_267d94cef779,audio/sa3cal_058_267d94cef779.wav,instrumental,,,,,,,
sa3cal_059_316d42279cff,audio/sa3cal_059_316d42279cff.wav,vocal,,,,,,,
sa3cal_060_b97d5ea6f9df,audio/sa3cal_060_b97d5ea6f9df.wav,vocal,,,,,,,
