group,value,rows,clean,failures,clean_rate,clean_ci_low,clean_ci_high,present_rate,median_vocal_energy_ratio
overall,all,4000,2172,1828,0.543,0.5275283420524935,0.558389142795059,0.1715,2.470520453154885e-06
vocal_stratum,instrumental,1512,1499,13,0.9914021164021164,0.9853449767790773,0.994968533550762,0.008597883597883597,1.738552733862004e-06
vocal_stratum,vocal,2488,673,1815,0.2704983922829582,0.2534068189995483,0.2882975975251617,0.2704983922829582,2.1681340382179234e-05
stratum,classical,544,500,44,0.9191176470588235,0.8931584692816277,0.939198912852186,0.014705882352941176,1.7308670465950346e-06
stratum,electronic,552,293,259,0.5307971014492754,0.4890954523973013,0.5720730531625561,0.041666666666666664,2.6773494152585754e-06
stratum,folk,480,329,151,0.6854166666666667,0.642542206187578,0.7253467888884965,0.40625,9.339900792263853e-06
stratum,hip_hop,544,72,472,0.1323529411764706,0.10643707882873954,0.163424866667915,0.10294117647058823,5.402024901127178e-06
stratum,jazz,416,288,128,0.6923076923076923,0.64636396446229,0.7347321441653447,0.08173076923076923,1.7686954797454884e-06
stratum,metal,512,211,301,0.412109375,0.3702820155306508,0.4552458209214693,0.130859375,3.2645262063355506e-06
stratum,pop,424,237,187,0.5589622641509434,0.5113815889434234,0.6054840921871631,0.37028301886792453,0.002304705447050627
stratum,rock,528,242,286,0.4583333333333333,0.416286323533895,0.5009822767410741,0.2765151515151515,3.77385794035774e-06
