split,request_stratum,method,n,positives,tp,tn,fp,fn,auroc,sensitivity,specificity,balanced_accuracy,mcc
development,all,prompt_only,48,7,7,24,17,0,0.7926829268292683,1.0,0.5853658536585366,0.7926829268292683,0.4131969352706687
development,all,independent_lowstep,48,7,5,35,6,2,0.8815331010452961,0.7142857142857143,0.8536585365853658,0.7839721254355401,0.4769243005261927
development,all,same_trajectory_step_0,48,7,5,35,6,2,0.8885017421602788,0.7142857142857143,0.8536585365853658,0.7839721254355401,0.4769243005261927
development,all,same_trajectory_step_1,48,7,6,37,4,1,0.9407665505226481,0.8571428571428571,0.9024390243902439,0.8797909407665505,0.6601213010026343
development,all,same_trajectory_step_2,48,7,7,40,1,0,1.0,1.0,0.975609756097561,0.9878048780487805,0.9239364353597956
development,all,same_trajectory_step_3,48,7,7,41,0,0,1.0,1.0,1.0,1.0,1.0
development,all,final_replay,48,7,7,41,0,0,1.0,1.0,1.0,1.0,1.0
development,instrumental,prompt_only,24,0,0,24,0,0,nan,nan,1.0,nan,0.0
development,instrumental,independent_lowstep,24,0,0,24,0,0,nan,nan,1.0,nan,0.0
development,instrumental,same_trajectory_step_0,24,0,0,24,0,0,nan,nan,1.0,nan,0.0
development,instrumental,same_trajectory_step_1,24,0,0,24,0,0,nan,nan,1.0,nan,0.0
development,instrumental,same_trajectory_step_2,24,0,0,24,0,0,nan,nan,1.0,nan,0.0
development,instrumental,same_trajectory_step_3,24,0,0,24,0,0,nan,nan,1.0,nan,0.0
development,instrumental,final_replay,24,0,0,24,0,0,nan,nan,1.0,nan,0.0
development,vocal,prompt_only,24,7,7,0,17,0,0.5,1.0,0.0,0.5,0.0
development,vocal,independent_lowstep,24,7,5,11,6,2,0.7815126050420168,0.7142857142857143,0.6470588235294118,0.680672268907563,0.3296301713019007
development,vocal,same_trajectory_step_0,24,7,5,11,6,2,0.7983193277310925,0.7142857142857143,0.6470588235294118,0.680672268907563,0.3296301713019007
development,vocal,same_trajectory_step_1,24,7,6,13,4,1,0.8991596638655462,0.8571428571428571,0.7647058823529411,0.8109243697478992,0.5733162099493055
development,vocal,same_trajectory_step_2,24,7,7,16,1,0,1.0,1.0,0.9411764705882353,0.9705882352941176,0.9074852129730302
development,vocal,same_trajectory_step_3,24,7,7,17,0,0,1.0,1.0,1.0,1.0,1.0
