source_path,corpus,source_family,prompt_id,condition,arm,rep,attempt,seed,requested_vocal,present,type_correct,ledger_path,size_bytes,sample_id,copied_path,copied_size_bytes,release_reason,sha256,vocal_energy_ratio,panns_vocal
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256_general/held_out_0026/none_s209_2028100209.flac,ATLAS,bon256_general,held_out_0026,none,,,,2028100209,0,0,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_general_w1.jsonl,3612351,aprime_0001,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0001_f9d841f0319b.flac,3612351,a_prime_500_judge_sample,402367ecbfe226cf47a59f9fd60a9129aa33685996d5d883edd95283fa00bd54,0.13265,0.06547
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0134/none_s72_2028000072.flac,ATLAS,bon256,held_out_0134,none,,,,2028000072,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w0.jsonl,5276516,aprime_0002,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0002_a351d5e28af0.flac,5276516,a_prime_500_judge_sample,a39603fa17ed0dc6274f45fcba3ab0154b764d87b31d2fb11d7e084d6377ecb6,0.01766,0.06825
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0199/none_s500_2028600500.flac,ATLAS,bon256,held_out_0199,none,,,,2028600500,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w4.jsonl,6118556,aprime_0003,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0003_64f47dfbce46.flac,6118556,a_prime_500_judge_sample,6963a95799c77b1d0b729b4a5719ebf795a67eb5f680498d02c164bd8001584a,0.00297,0.35018
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0119/none_s356_2027900356.flac,ATLAS,bon256,held_out_0119,none,,,,2027900356,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w4.jsonl,8185058,aprime_0004,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0004_2fcf09df5959.flac,8185058,a_prime_500_judge_sample,8117ab9c6bf8df64e6f861232002387de5d697dad9bd1116ed1cf56a82a2b8ca,0.02759,0.32856
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0021/none_s121_2026600121.flac,ATLAS,bon256,held_out_0021,none,,,,2026600121,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w0.jsonl,8378438,aprime_0005,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0005_b56fd437122d.flac,8378438,a_prime_500_judge_sample,ac6af09d51fecc5f97e2cdb2c93007ddc6e20f575a01dae5d92cc01779ded2f5,0.08169,0.55835
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0129/a7_r1_t00_seed2026447100.flac,PH2_ONLINE,online_run,held_out_0129,arm7,7,1,0,2026447100,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w1.jsonl,6446787,aprime_0006,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0006_b75c12f08755.flac,6446787,a_prime_500_judge_sample,bbde517e4b95ec11f1184490a016717e143c41b70e753c09d4ae5b76e7c4cfe1,,
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0069/none_s168_2027300168.flac,ATLAS,bon256,held_out_0069,none,,,,2027300168,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w0.jsonl,7085111,aprime_0007,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0007_d4affcef8c8c.flac,7085111,a_prime_500_judge_sample,d840e2b7d8f68426769671fec7f256183a4184edc4469c71338e45a2c60979bc,0.01398,0.44907
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0240/a1_r1_t01_seed2026558101.flac,PH2_ONLINE,online_run,held_out_0240,arm1,1,1,1,2026558101,1,0,0,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w0.jsonl,14309906,aprime_0008,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0008_0d0688929134.flac,14309906,a_prime_500_judge_sample,2eb0e6d7be4e0f33bed6f858619e811633b4a18d0b8f9fea49f176d509017e01,,
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0017/none_s238_2026500238.flac,ATLAS,bon256,held_out_0017,none,,,,2026500238,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w0.jsonl,7317027,aprime_0009,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0009_94d4cd6af5b3.flac,7317027,a_prime_500_judge_sample,0f69ccc1d27542645be89606db0e823b14ed71c711005d5001f607b366714916,0.03068,0.17137
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/istrong_instr/held_out_0170/I_strong_s28_2028405028.flac,ATLAS,istrong_instr,held_out_0170,I_strong,,,,2028405028,0,0,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/istrong_instr_w4.jsonl,6335312,aprime_0010,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0010_b6b1ef1e4d48.flac,6335312,a_prime_500_judge_sample,98335ea940b8dcf606d10eea41d8633a163231c47876a6f89a664a5b3b17a61a,0.03529,0.26055
