rating_id,clip_id,clip_path,media_sha256,requested_vocal,prompt_id,source_family,corpus,calibration_stratum,inclusion_probability,represented_rating_rows
aprime_0454_839e331902ac,aprime_global_010e2d78849665ee6225,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0454_839e331902ac.flac,010e2d78849665ee6225f6ed2ebd9ec97b1897cd206ae26cc02d7800aec46893,0,held_out_0035,bon256,ATLAS,ATLAS|bon256|request_0,1.0,1
aprime_0306_981dfabfa710,aprime_global_016f7af76f0e2b7a34f1,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0306_981dfabfa710.flac,016f7af76f0e2b7a34f124a75a9d935438810a7d8f023510c9554afdfbe23d49,0,held_out_0010,online_run,PH2_ONLINE,PH2_ONLINE|online_run|request_0,1.0,1
aprime_0425_90482aaf526b,aprime_global_029d5bcf6251209f9cb2,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0425_90482aaf526b.flac,029d5bcf6251209f9cb24db1b519e9e37711c3b983dbad17e4026d6bb55cf291,1,held_out_0240,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
aprime_0283_4b2a192ea080,aprime_global_033b1ebfef62614a9a73,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0283_4b2a192ea080.flac,033b1ebfef62614a9a73a4bc1ed72c7998dae140fd9587e2397c2af5c85558ed,1,held_out_0016,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
aprime_0505_0ef0632367a4,aprime_global_0513dfe79c327be10a5e,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0505_0ef0632367a4.flac,0513dfe79c327be10a5ec0d8b9cbaddac2df220403136a5075c252dbb2227f94,0,held_out_0117,istrong_instr,ATLAS,ATLAS|istrong_instr|request_0,1.0,1
aprime_0459_8a706e8d967c,aprime_global_05bdd0a22c737b15e08e,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0459_8a706e8d967c.flac,05bdd0a22c737b15e08e1c696e16a5d6e4d5cefbc6b692435344951b324dedd3,1,held_out_0254,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
aprime_0350_62fe49cd4ee3,aprime_global_05c1a6306c839fe9c166,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0350_62fe49cd4ee3.flac,05c1a6306c839fe9c16672f8fe80af7446ec5358b442a29d735d8007bd65cdb8,1,held_out_0017,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
aprime_0302_69d6d25abff4,aprime_global_05e587b7de19436635b8,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0302_69d6d25abff4.flac,05e587b7de19436635b8df1d6c5915f6ca07d4dc91d64f328c4742c87feb4873,1,held_out_0021,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
aprime_0676_08c77097498a,aprime_global_07480e9d0f41ed066c4a,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0676_08c77097498a.flac,07480e9d0f41ed066c4add28c622c0c4058cfe27317f8ad1745eded495b72a33,0,held_out_0146,online_run,PH2_ONLINE,PH2_ONLINE|online_run|request_0,1.0,1
aprime_0166_38c774b611f5,aprime_global_0773f1863a922090cd44,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0166_38c774b611f5.flac,0773f1863a922090cd44d166509cb910b8cfcbc832f46cae6bce2df35c96e585,1,held_out_0012,bon256_general,ATLAS,ATLAS|bon256_general|request_1,1.0,1
aprime_0145_0a1183a4420d,aprime_global_093460a192a474dc928b,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0145_0a1183a4420d.flac,093460a192a474dc928b0695d88db27d823e32df10e20078b67370a85fe6630f,1,held_out_0112,online_run,PH2_ONLINE,PH2_ONLINE|online_run|request_1,1.0,1
aprime_0393_fba1f3aacd80,aprime_global_0a75fa034b0510a7dd07,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0393_fba1f3aacd80.flac,0a75fa034b0510a7dd07c8c6fd9873f4c5ecfd6b3fe1f06a57eb76b8869938db,1,held_out_0015,bon256_general,ATLAS,ATLAS|bon256_general|request_1,1.0,1
aprime_0642_fa10e2716b5c,aprime_global_0b8fdaaf6687e6289303,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0642_fa10e2716b5c.flac,0b8fdaaf6687e62893036423ee2a517ff1b61dea3cb22f6aa28248cf5764f4d7,0,held_out_0178,online_run,PH2_ONLINE,PH2_ONLINE|online_run|request_0,1.0,1
aprime_0638_2fc5edec82da,aprime_global_0ba9d5abb9de6bf90251,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0638_2fc5edec82da.flac,0ba9d5abb9de6bf902518717244346f64c727b141023b64b0dfcf1a5549c3472,1,held_out_0084,online_run,PH2_ONLINE,PH2_ONLINE|online_run|request_1,1.0,1
aprime_0424_0c3a8284001e,aprime_global_0c62a3bbf53d649b5fa1,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0424_0c3a8284001e.flac,0c62a3bbf53d649b5fa1528b22f83ca0524ad7ce93c8a9eb195ad7388540c9bf,0,held_out_0238,online_run,PH2_ONLINE,PH2_ONLINE|online_run|request_0,1.0,1
aprime_0264_1b187922a34f,aprime_global_0cc2ab417e0bbcd65842,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0264_1b187922a34f.flac,0cc2ab417e0bbcd658423d922d1893fec0f09d2b053eb876ecc13fb6501fcb46,1,held_out_0008,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
aprime_0689_7d9afcd909bf,aprime_global_0d0397b00348f8715b2b,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0689_7d9afcd909bf.flac,0d0397b00348f8715b2bfebe970d7a0c1c4df5a112a714248b9879f18ba5c268,1,held_out_0199,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
aprime_0501_1da625cac529,aprime_global_0d6a67da7efe989d63c5,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0501_1da625cac529.flac,0d6a67da7efe989d63c521e26eb861b4a07ce137df4335b720f596c1a6edb924,1,held_out_0167,online_run,PH2_ONLINE,PH2_ONLINE|online_run|request_1,1.0,1
aprime_0649_9cb5c6c2a895,aprime_global_0e2d8caebb7e1b78d667,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0649_9cb5c6c2a895.flac,0e2d8caebb7e1b78d667b62bf8f03c9ed06f2f1d364bd74df305daa290516bee,0,held_out_0108,istrong_instr,ATLAS,ATLAS|istrong_instr|request_0,1.0,1
aprime_0513_f54fd45764e1,aprime_global_0eae87a2a78cd3185d75,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0513_f54fd45764e1.flac,0eae87a2a78cd3185d753d9825e7c01b0f9c0a8c9391d6a9cb969e674f846929,1,held_out_0254,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
aprime_0065_944e6b35fa73,aprime_global_0ec0acf77aca7657d29a,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0065_944e6b35fa73.flac,0ec0acf77aca7657d29ac1825eebf57bfd9ee05dd922196a0d55a4539997ec67,1,held_out_0017,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
aprime_0187_c658dd759ad3,aprime_global_0f08e7743a954fae0503,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0187_c658dd759ad3.flac,0f08e7743a954fae0503210a4e390c374500761d1552d5f2a91585b7846279c5,1,held_out_0017,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
aprime_0344_d9e59902aad0,aprime_global_0f69ccc1d27542645be8,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0344_d9e59902aad0.flac,0f69ccc1d27542645be89606db0e823b14ed71c711005d5001f607b366714916,1,held_out_0017,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
aprime_0685_95d331731e2c,aprime_global_0fb050fc65d29c923ed8,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0685_95d331731e2c.flac,0fb050fc65d29c923ed83b668ea2ae989e9e5770f38692894b05446694a34bd7,1,held_out_0092,online_run,PH2_ONLINE,PH2_ONLINE|online_run|request_1,1.0,1
aprime_0650_dacd1784c6c3,aprime_global_111df2b37d14fdcc0d51,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0650_dacd1784c6c3.flac,111df2b37d14fdcc0d514971dd1db3f1955d7b218058c36c27245fbc10cf765d,0,genreinstr_electronic,genre_instr,ATLAS,ATLAS|genre_instr|request_0,1.0,1
aprime_0193_202baeeb3e5c,aprime_global_113b6919d8e1bee993f7,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0193_202baeeb3e5c.flac,113b6919d8e1bee993f72a5ab5f06f70074885b4e6217f4911c236ae0260753a,1,held_out_0001,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
aprime_0500_8ff972acee47,aprime_global_115153b56b02c878ba6c,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0500_8ff972acee47.flac,115153b56b02c878ba6c0800c74027e1d76c1f55b5bd4d9ac847e0ad7645c13d,1,held_out_0069,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
aprime_0130_e323a0b0e5b7,aprime_global_11abd3c762098df6c83e,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0130_e323a0b0e5b7.flac,11abd3c762098df6c83e81d8fdecdc1f0c6e1daa17944a83dbf5fba07aac0150,1,held_out_0016,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
aprime_0467_b1f178f5466a,aprime_global_12a3845bf5307c9fd8ed,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0467_b1f178f5466a.flac,12a3845bf5307c9fd8ed3ea947e6e6a3078dbf9e8a98e4855817186ca365da77,1,held_out_0014,bon256_general,ATLAS,ATLAS|bon256_general|request_1,1.0,1
aprime_0398_e53c574c4314,aprime_global_12cebbf9b32c24f355e6,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0398_e53c574c4314.flac,12cebbf9b32c24f355e6590f0ac78d3ce6ecc507378b1683bc5e99dd6d00034f,1,held_out_0069,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
aprime_0629_9a11747ab420,aprime_global_13c60f292641de339106,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0629_9a11747ab420.flac,13c60f292641de33910678faab748020f43c62d3fa22c87f9e77b59e35b893ae,0,held_out_0058,istrong_instr,ATLAS,ATLAS|istrong_instr|request_0,1.0,1
aprime_0019_c0a7a0cb8433,aprime_global_1426952fde5ee32322b6,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0019_c0a7a0cb8433.flac,1426952fde5ee32322b6b5525fa11fa62090754d894e463736d61e7971dab624,1,held_out_0045,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
aprime_0551_d444726afcc5,aprime_global_144a764c31217dcbfe23,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0551_d444726afcc5.flac,144a764c31217dcbfe23fd8320891be63cb2c0dab010a56c9b14c87160900cbf,1,held_out_0212,online_run,PH2_ONLINE,PH2_ONLINE|online_run|request_1,1.0,1
aprime_0290_936fbbfef0e8,aprime_global_165cfe311ace97f07588,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0290_936fbbfef0e8.flac,165cfe311ace97f07588de4e2f6d74a8fa08b6951d8bc6e452d6601a2ee2fdd6,1,held_out_0240,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
aprime_0297_e66fe54dd2ff,aprime_global_1722830beca5840d7508,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0297_e66fe54dd2ff.flac,1722830beca5840d75087bcb17121bd7cc9d3f63cd3c48b623c3ac857663734f,1,held_out_0204,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
aprime_0520_31ba49b9538d,aprime_global_17672de94fead7020102,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0520_31ba49b9538d.flac,17672de94fead7020102e4e79f105f836963c27788de8e88a12d3c1d6c05b1c8,0,held_out_0153,online_run,PH2_ONLINE,PH2_ONLINE|online_run|request_0,1.0,1
aprime_0088_c1fc76d6b180,aprime_global_17b10dba7671dec36d9d,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0088_c1fc76d6b180.flac,17b10dba7671dec36d9d4443c9476ba9a7e56374d7b70b44621062c11c5628fc,0,held_out_0043,bon256,ATLAS,ATLAS|bon256|request_0,1.0,1
aprime_0074_703670b1bd72,aprime_global_19d6bfd44f2db2920f89,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0074_703670b1bd72.flac,19d6bfd44f2db2920f893095e6b478d428feff877d0af933eb52c2952ae83883,0,held_out_0088,online_run,PH2_ONLINE,PH2_ONLINE|online_run|request_0,1.0,1
aprime_0189_bcdf8b205064,aprime_global_1a1ea8cdf4261be7d32d,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0189_bcdf8b205064.flac,1a1ea8cdf4261be7d32dd354e242eb6df8d43c53b3614ec1b0e1a3214360d339,1,held_out_0193,online_run,PH2_ONLINE,PH2_ONLINE|online_run|request_1,1.0,1
aprime_0554_81051b6a059d,aprime_global_1b56e8bdd1b99c9b1ebb,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0554_81051b6a059d.flac,1b56e8bdd1b99c9b1ebb56aa49a643af5e5213bde54417b1815c782ee677ba6e,1,held_out_0254,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
aprime_0338_dc26bd96238a,aprime_global_1bc249ee6ae79b83f8fe,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0338_dc26bd96238a.flac,1bc249ee6ae79b83f8fe4b74e9a1941c9e35252be663212d6f00d8594fa9984d,1,held_out_0023,bon256_general,ATLAS,ATLAS|bon256_general|request_1,1.0,1
aprime_0245_01a8af0540cb,aprime_global_1c7caf3b3c4b017adde9,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0245_01a8af0540cb.flac,1c7caf3b3c4b017adde9d82ab1775fbc92787072ebd7aa89da6668d6875338e1,1,held_out_0134,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
aprime_0428_7b040cd20b28,aprime_global_1cb1b52508048a167743,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0428_7b040cd20b28.flac,1cb1b52508048a167743f2a4c503240d120030f6223ace82c8e0a0faf57abfda,1,held_out_0134,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
aprime_0618_e829f92b90cc,aprime_global_1cb5377ff955665798f7,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0618_e829f92b90cc.flac,1cb5377ff955665798f7f03ea6e8a940cf18ba1c27281e82508e21d5788bb5b3,0,held_out_0251,istrong_instr,ATLAS,ATLAS|istrong_instr|request_0,1.0,1
aprime_0139_ac58d00f389e,aprime_global_1cd85e17104b40001854,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0139_ac58d00f389e.flac,1cd85e17104b40001854bf4b4f98ceb8a8c743e0316d090077db076db79dfe58,0,held_out_0026,bon256_general,ATLAS,ATLAS|bon256_general|request_0,1.0,1
aprime_0464_9e038d11ecaf,aprime_global_1d002b183022b8df6ff5,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0464_9e038d11ecaf.flac,1d002b183022b8df6ff50f3690ff80c7d13d729aae033b2e2616cb6cd6eb8fe4,1,held_out_0045,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
aprime_0447_1355925baa07,aprime_global_1d04274f10c8d5348252,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0447_1355925baa07.flac,1d04274f10c8d534825223d42a1f6178c57b0b5f3660289809b18e6eb94e20e1,1,held_out_0016,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
aprime_0257_90a8dcfa5463,aprime_global_1d9146b57c82bee80ef9,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0257_90a8dcfa5463.flac,1d9146b57c82bee80ef9ab7a3836ccaccc46c570ed15cf890b9d700bf00322d7,1,held_out_0204,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
aprime_0260_432278e5dc9a,aprime_global_1db0e264a6e0f87826f9,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0260_432278e5dc9a.flac,1db0e264a6e0f87826f99e9aa82efbc73b6bbcf6ea8c18844ea95dcf3f75332c,0,held_out_0005,bon256_general,ATLAS,ATLAS|bon256_general|request_0,1.0,1
aprime_0070_7af88f8e05ab,aprime_global_1ec53ccc077fefa4814f,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0070_7af88f8e05ab.flac,1ec53ccc077fefa4814fecdeecf87db4c90a385974ad5f048c6665fdea146c22,1,held_out_0016,bon256,ATLAS,ATLAS|bon256|request_1,1.0,1
