stratum,action,rows,cqs_rate,label_b_satisfaction_rate,quality_floor_pass_rate,mean_total_tree_edge_nfe,mean_wall_seconds
high_risk_instrumental,CONTINUE,72,0.041666666666666664,0.041666666666666664,0.5833333333333334,45.0,0.0
high_risk_instrumental,FORK_LATENT,72,0.041666666666666664,0.041666666666666664,0.5694444444444444,45.0,1.6681046244791813
high_risk_instrumental,RESTART_BASE,72,0.08333333333333333,0.09722222222222222,0.5416666666666666,62.333333333333336,2.4949806505917675
high_risk_instrumental,RESTART_CONDITIONED,72,0.5833333333333334,0.7777777777777778,0.6805555555555556,62.333333333333336,2.4919038456347256
high_risk_instrumental,SWITCH_CONDITION,72,0.375,0.4583333333333333,0.7083333333333334,45.0,1.6553710885345936
low_risk_instrumental,CONTINUE,72,0.4583333333333333,0.4583333333333333,0.9166666666666666,45.0,0.0
low_risk_instrumental,FORK_LATENT,72,0.4444444444444444,0.4444444444444444,0.9305555555555556,45.0,2.592093731949313
low_risk_instrumental,RESTART_BASE,72,0.5416666666666666,0.6666666666666666,0.7638888888888888,62.333333333333336,3.869222856644127
low_risk_instrumental,RESTART_CONDITIONED,72,0.6666666666666666,0.8055555555555556,0.7361111111111112,62.333333333333336,3.7124155775850847
low_risk_instrumental,SWITCH_CONDITION,72,0.5555555555555556,0.625,0.8194444444444444,45.0,2.675803698314768
medium_risk_instrumental,CONTINUE,72,0.4583333333333333,0.5,0.8333333333333334,45.0,0.0
medium_risk_instrumental,FORK_LATENT,72,0.4444444444444444,0.4861111111111111,0.8055555555555556,45.0,1.9323128817292552
medium_risk_instrumental,RESTART_BASE,72,0.4583333333333333,0.5,0.7777777777777778,62.333333333333336,2.885966822556737
medium_risk_instrumental,RESTART_CONDITIONED,72,0.6666666666666666,0.8333333333333334,0.8194444444444444,62.333333333333336,2.891427400211493
medium_risk_instrumental,SWITCH_CONDITION,72,0.5555555555555556,0.6944444444444444,0.75,45.0,1.9303377552164926
vocal_request,CONTINUE,72,0.75,1.0,0.75,45.0,0.0
vocal_request,FORK_LATENT,72,0.7361111111111112,1.0,0.7361111111111112,45.0,2.1425691261214928
vocal_request,RESTART_BASE,72,0.7638888888888888,1.0,0.7638888888888888,62.333333333333336,3.0421016153155103
vocal_request,RESTART_CONDITIONED,72,0.7361111111111112,1.0,0.7361111111111112,77.33333333333333,3.893126280926582
vocal_request,SWITCH_CONDITION,72,0.75,1.0,0.75,54.666666666666664,2.679627056699246
