prompt_id,root_index,checkpoint_step,oracle_action,oracle_cqs,oracle_cost_nfe,oracle_output_sha256,oracle_level,oracle_selected,oracle_success_count,oracle_option_value,stratum,design_weight,best_static_program,best_static_cqs,best_static_nfe,oracle_tree_nfe,oracle_minimum_success_nfe,oracle_cheapest_successful,oracle_quality_floor_failures,oracle_completion,compute_saving,matched_oracle_nfe,nonstatic_program
dev_0026,0,6,SWITCH_CONDITION,0,45,18402d924b8f78c4b91efa55b384642aa7e08bee666d3b3135cb074d041025cb,,,,,,,,,,,,,,,,,
dev_0026,0,12,SWITCH_CONDITION,1,45,619939382092b734a65dc158ec233fd5d9ddb5a233c05a5afaed280d1223abeb,,,,,,,,,,,,,,,,,
dev_0026,0,18,SWITCH_CONDITION,0,45,fca44111882898e59c6a3863e9f45aaa48af70e7bf461dba5442b21d5329eb0c,,,,,,,,,,,,,,,,,
dev_0026,1,6,SWITCH_CONDITION,1,45,0fcef973a084021fa621e72c7e8245f9cb559aa7991a276ab542a642cdad3803,,,,,,,,,,,,,,,,,
dev_0026,1,12,SWITCH_CONDITION,0,45,6f296025f06d8970ce9d302095e63d832a9270916fb9db19792ed03232af9c65,,,,,,,,,,,,,,,,,
dev_0026,1,18,SWITCH_CONDITION,0,45,135699e23d4fadee8c10ae6624a7b4bffab18d6d18920b6548e215dd7c1cd2e1,,,,,,,,,,,,,,,,,
dev_0026,0,,,1,90,,per_root_feasible_subset,root0_step12_SWITCH_CONDITION;root0_step12_RESTART_CONDITIONED,2,13.8007249284144,,,,,,,,,,,,,
dev_0026,1,,,1,90,,per_root_feasible_subset,root1_step6_SWITCH_CONDITION;root1_step6_RESTART_CONDITIONED,2,27.581153960113863,,,,,,,,,,,,,
dev_0038,0,6,SWITCH_CONDITION,0,45,b4cf50cdc70eaf864d751d660c677b2f4a4980e78239dbc3d94d599f7c0a4b93,,,,,,,,,,,,,,,,,
dev_0038,0,12,CONTINUE,0,45,04c89ed5930d4b36946632d6af1ebb1ccb67b4668e5b70ffd7136ca8758754f8,,,,,,,,,,,,,,,,,
dev_0038,0,18,SWITCH_CONDITION,0,45,616e27f1f03694b6842858e14d34911d3d2e4bbf7796fc15406efa91b92b92af,,,,,,,,,,,,,,,,,
dev_0038,1,6,FORK_LATENT,0,45,ffc578bd9401298888edce1a6ba88a07c00995542b00e85a476f1826d74a1c80,,,,,,,,,,,,,,,,,
dev_0038,1,12,FORK_LATENT,0,45,9e8360c7193f19feebb140b374b73f57e5e5c6c5b028d1efa4cd156f95260678,,,,,,,,,,,,,,,,,
dev_0038,1,18,SWITCH_CONDITION,0,45,3fa3d795e4a230e85f09b580af6a9473cae68172f12eb533003517383093b356,,,,,,,,,,,,,,,,,
dev_0038,0,,,0,45,,per_root_feasible_subset,root0_base,0,0.0,,,,,,,,,,,,,
dev_0038,1,,,0,45,,per_root_feasible_subset,root1_base,0,0.0,,,,,,,,,,,,,
dev_0054,0,6,SWITCH_CONDITION,1,45,5199f3ea48737c886ea7f598c18e6fc685bb52f4b6f5576ee4e6035f208c7561,,,,,,,,,,,,,,,,,
dev_0054,0,12,SWITCH_CONDITION,1,45,ba3b5e4583f5c9ebbd3123b854d6e4cefda6cdf1df7102fb0cfecc1db05c256b,,,,,,,,,,,,,,,,,
dev_0054,0,18,RESTART_CONDITIONED,1,74,e017bf77543fc1adce0b9c0b6555822a81e960c61bc2708505e91924bdbd7f6e,,,,,,,,,,,,,,,,,
dev_0054,1,6,SWITCH_CONDITION,1,45,f6f6a868d805dc69d002c92db7e8446801665f01bc5251c2f6492f4132b10495,,,,,,,,,,,,,,,,,
dev_0054,1,12,RESTART_CONDITIONED,1,62,da46b68da2531f7f366937cb9816cc91467282ff7e3b8a58e4376d2693900e2a,,,,,,,,,,,,,,,,,
dev_0054,1,18,RESTART_CONDITIONED,1,74,827541f4c2e03e5c8de6fd1015b9fecd4f858e4fe9b4058343aeacf24a60fd14,,,,,,,,,,,,,,,,,
dev_0054,0,,,1,90,,per_root_feasible_subset,root0_step6_SWITCH_CONDITION;root0_step6_RESTART_CONDITIONED,2,37.599969787147046,,,,,,,,,,,,,
dev_0054,1,,,1,90,,per_root_feasible_subset,root1_step6_SWITCH_CONDITION;root1_step6_RESTART_CONDITIONED,2,34.24801459110054,,,,,,,,,,,,,
dev_0073,0,6,SWITCH_CONDITION,1,45,776df77065091c3de1147fb3a878d65cd6fd72eaed99c07eef96e44d56cec6e4,,,,,,,,,,,,,,,,,
dev_0073,0,12,RESTART_CONDITIONED,1,62,b211382d21d1fd235d010f3db7fb76514902834c006455a0d0e16df12271199c,,,,,,,,,,,,,,,,,
dev_0073,0,18,RESTART_CONDITIONED,1,74,8bdcbf11445303b37d69b120341d5254a1ecb16188ad42488eaf51eff436be64,,,,,,,,,,,,,,,,,
dev_0073,1,6,SWITCH_CONDITION,1,45,47b1e3883d2a83e76e417d03d65c34dcafea6d2fccc859c4cded1592baeed4d9,,,,,,,,,,,,,,,,,
dev_0073,1,12,RESTART_CONDITIONED,1,62,6e9bedcecf7cd60134820b804247a6e6ef761c1f8f0a5aa9d9f3361644d586bc,,,,,,,,,,,,,,,,,
dev_0073,1,18,RESTART_BASE,1,74,afc02f4b084de8b17203e779ec1499deacc599b9abb6efde883fdbaf2fdb6f4e,,,,,,,,,,,,,,,,,
dev_0073,0,,,1,90,,per_root_feasible_subset,root0_step12_RESTART_CONDITIONED;root0_step18_SWITCH_CONDITION,2,36.50596486927979,,,,,,,,,,,,,
dev_0073,1,,,1,90,,per_root_feasible_subset,root1_step18_FORK_LATENT;root1_step18_RESTART_BASE,1,19.261309720079687,,,,,,,,,,,,,
dev_0074,0,6,FORK_LATENT,0,45,a508bab35eaa3f923dedd286d7acaabf5e8cc12dbe5a85d9250a2c98b91ea297,,,,,,,,,,,,,,,,,
dev_0074,0,12,RESTART_BASE,1,62,61c4999f36ea9f5abac64e415776cda1c188a786f6956ec8292eb22d30173429,,,,,,,,,,,,,,,,,
dev_0074,0,18,CONTINUE,0,45,7266322cc2485a05f98c49ce9b9dbbdcc4e26a045bad22580c64fb8d38c2d89b,,,,,,,,,,,,,,,,,
dev_0074,1,6,FORK_LATENT,0,45,8b35d83f65cbae2e71173689c28b3cbfaacdc34df0284d6b2c116c8112afaa45,,,,,,,,,,,,,,,,,
dev_0074,1,12,RESTART_BASE,0,62,be7bcf3f78dab582b4a51790efbdd95a77aa870dd450d7188168dd304001eaaa,,,,,,,,,,,,,,,,,
dev_0074,1,18,SWITCH_CONDITION,1,45,1e9d60a5879f346379cbe70ede3fffb25d3251759ff6fd974555d194764f0d2d,,,,,,,,,,,,,,,,,
dev_0074,0,,,1,90,,per_root_feasible_subset,root0_base;root0_step12_RESTART_BASE,1,3.610892979614147,,,,,,,,,,,,,
dev_0074,1,,,1,90,,per_root_feasible_subset,root1_step18_SWITCH_CONDITION;root1_step18_RESTART_BASE,1,17.074869158513923,,,,,,,,,,,,,
dev_0083,0,6,RESTART_CONDITIONED,0,51,36782ded9a5fa00994f0dd581c811e715b62d53a65df04a66d5cd3e448a30d75,,,,,,,,,,,,,,,,,
dev_0083,0,12,RESTART_CONDITIONED,1,62,32af8a1f43ce1f5745333ab4feaf6604047f6b0065195700aae94e5803afb21d,,,,,,,,,,,,,,,,,
dev_0083,0,18,RESTART_CONDITIONED,1,74,07d2a865226a0edaa19ced3eb4ef26968d375b927f39affcc7f3641aa4eae1cc,,,,,,,,,,,,,,,,,
dev_0083,1,6,SWITCH_CONDITION,1,45,330740510c5f37956d92fd51d7a263cceef8542637166e6ca640bba98bf457fe,,,,,,,,,,,,,,,,,
dev_0083,1,12,RESTART_CONDITIONED,0,62,f1ff847869684d380717d43621f9e8d6456268527293733041db007d0382e1cd,,,,,,,,,,,,,,,,,
dev_0083,1,18,RESTART_CONDITIONED,0,74,dc29e9bf70ab8cbf22791324d303981f16be85c14cc0c94753665b5cdf4d903a,,,,,,,,,,,,,,,,,
