prompt_id,requested_vocal,prompt_split,promoted_violation_rate,corrected_evpd_mean_risk,risk_score,genre,tempo_bin,prompt_specificity,structure_complexity,language,pilot_stratum,gate0_excluded
dev_0000,1,val,0.0,0.018738090145292173,0.009369045072646087,rock,med_90_120,broad,AABA,en,vocal_request,0
dev_0001,0,train,0.25,0.264276207748266,0.257138103874133,classical,slow_60_90,specific,AABA,en,low_risk_instrumental,1
dev_0002,1,train,0.0,0.026536146330959413,0.013268073165479706,electronic,fast_120_160,broad,simple_AB,en,vocal_request,0
dev_0003,1,train,0.0,0.03303720724495128,0.01651860362247564,folk,fast_120_160,broad,AABA,en,vocal_request,1
dev_0004,1,train,0.0,0.17892340627981182,0.08946170313990591,electronic,med_90_120,specific,verse_chorus,en,vocal_request,0
dev_0005,0,train,0.625,0.7061581861458615,0.6655790930729307,classical,slow_60_90,broad,AABA,en,medium_risk_instrumental,0
dev_0006,1,train,0.0,0.07778161898616705,0.038890809493083524,metal,very_fast_160_plus,broad,AABA,en,vocal_request,0
dev_0007,1,val,0.0,0.11967784545893939,0.059838922729469696,hip_hop,slow_60_90,broad,simple_AB,en,vocal_request,0
dev_0008,1,train,0.0,0.006974123955403898,0.003487061977701949,pop,fast_120_160,medium,verse_chorus,en,vocal_request,0
dev_0009,0,train,0.25,0.41830533408121545,0.33415266704060775,classical,med_90_120,specific,simple_AB,en,low_risk_instrumental,0
dev_0010,0,val,0.75,0.4942443492649548,0.6221221746324774,rock,med_90_120,specific,AABA,en,medium_risk_instrumental,0
dev_0011,1,train,0.0,0.011092628595088857,0.0055463142975444284,electronic,very_fast_160_plus,broad,simple_AB,en,vocal_request,0
dev_0012,1,train,0.0,0.05390992022698469,0.026954960113492344,pop,fast_120_160,medium,simple_AB,en,vocal_request,0
dev_0013,1,train,0.0,0.05624418505045675,0.028122092525228376,classical,very_fast_160_plus,medium,verse_chorus,en,vocal_request,0
dev_0014,1,train,0.0,0.14225814971829281,0.07112907485914641,metal,fast_120_160,broad,complex_multi_section,en,vocal_request,0
dev_0015,0,train,0.875,0.7110041288274416,0.7930020644137208,rock,med_90_120,medium,AABA,en,high_risk_instrumental,0
dev_0016,0,train,0.125,0.5518649147656567,0.33843245738282834,jazz,very_fast_160_plus,medium,verse_chorus,en,low_risk_instrumental,0
dev_0017,1,train,0.0,0.04667275933883069,0.023336379669415343,pop,slow_60_90,specific,verse_chorus,en,vocal_request,0
dev_0018,1,train,0.0,0.05562746068160648,0.02781373034080324,rock,very_fast_160_plus,specific,simple_AB,es,vocal_request,0
dev_0019,0,train,0.0,0.23932154390377777,0.11966077195188889,classical,fast_120_160,medium,AABA,en,low_risk_instrumental,0
dev_0020,1,train,0.0,0.08546635265290561,0.04273317632645281,rock,fast_120_160,broad,AABA,es,vocal_request,0
dev_0021,0,val,0.0,0.39985336271460664,0.19992668135730332,jazz,slow_60_90,medium,AABA,en,low_risk_instrumental,0
dev_0022,0,train,0.0,0.1627986090226739,0.08139930451133695,classical,fast_120_160,medium,complex_multi_section,en,low_risk_instrumental,0
dev_0023,1,train,0.0,0.3080803910143932,0.1540401955071966,hip_hop,med_90_120,medium,complex_multi_section,en,vocal_request,0
dev_0024,1,train,0.0,0.416479603655839,0.2082398018279195,hip_hop,fast_120_160,broad,verse_chorus,zh,vocal_request,0
dev_0025,0,train,0.875,0.879122122621794,0.877061061310897,folk,med_90_120,broad,AABA,en,high_risk_instrumental,0
dev_0026,0,train,1.0,0.9513924236679584,0.9756962118339791,folk,med_90_120,broad,verse_chorus,en,high_risk_instrumental,0
dev_0027,0,val,0.375,0.4608962321972777,0.41794811609863886,classical,med_90_120,medium,complex_multi_section,en,medium_risk_instrumental,0
dev_0028,0,train,0.25,0.4247423428661586,0.33737117143307926,rock,fast_120_160,specific,AABA,en,low_risk_instrumental,0
dev_0029,1,val,0.0,0.06576763672684327,0.032883818363421635,rock,med_90_120,medium,verse_chorus,en,vocal_request,0
dev_0030,0,train,0.25,0.4617808169850991,0.35589040849254955,electronic,slow_60_90,specific,verse_chorus,en,low_risk_instrumental,0
dev_0031,1,train,0.0,0.0022069341195174565,0.0011034670597587283,folk,fast_120_160,broad,complex_multi_section,en,vocal_request,0
dev_0032,0,train,0.375,0.5164255335169067,0.44571276675845334,classical,med_90_120,medium,simple_AB,en,medium_risk_instrumental,0
dev_0033,0,train,0.375,0.3749750247734446,0.3749875123867223,classical,slow_60_90,medium,AABA,en,low_risk_instrumental,0
dev_0034,0,train,0.375,0.5079008593455748,0.4414504296727874,classical,slow_60_90,medium,simple_AB,en,medium_risk_instrumental,0
dev_0035,1,train,0.0,0.005411127398328853,0.0027055636991644267,rock,fast_120_160,specific,complex_multi_section,en,vocal_request,0
dev_0036,0,train,0.25,0.3988119554237646,0.3244059777118823,classical,fast_120_160,specific,complex_multi_section,en,low_risk_instrumental,0
dev_0037,1,train,0.0,0.07725899663142874,0.03862949831571437,rock,very_fast_160_plus,broad,AABA,en,vocal_request,0
dev_0038,0,train,1.0,0.9424938032550093,0.9712469016275047,pop,very_fast_160_plus,broad,complex_multi_section,en,high_risk_instrumental,0
dev_0039,1,train,0.0,0.1553532270371398,0.0776766135185699,metal,very_fast_160_plus,broad,AABA,en,vocal_request,0
dev_0040,1,train,0.0,0.13132649366389645,0.06566324683194823,metal,very_fast_160_plus,medium,verse_chorus,en,vocal_request,0
dev_0041,0,train,0.625,0.6618692942701121,0.643434647135056,pop,fast_120_160,specific,AABA,en,medium_risk_instrumental,0
dev_0042,1,train,0.0,0.10032738075492391,0.050163690377461954,metal,med_90_120,medium,complex_multi_section,en,vocal_request,1
dev_0043,1,train,0.0,0.01498986169446477,0.007494930847232385,rock,very_fast_160_plus,broad,complex_multi_section,es,vocal_request,0
dev_0044,1,val,0.0,0.11572570852577227,0.057862854262886135,rock,slow_60_90,specific,verse_chorus,en,vocal_request,0
dev_0045,0,train,0.125,0.24375187883796218,0.1843759394189811,electronic,very_fast_160_plus,medium,AABA,en,low_risk_instrumental,0
dev_0046,1,train,0.0,0.3215089410647769,0.16075447053238845,jazz,slow_60_90,broad,verse_chorus,zh,vocal_request,0
dev_0047,1,train,0.0,0.0801875050941371,0.04009375254706855,hip_hop,fast_120_160,specific,verse_chorus,en,vocal_request,0
dev_0048,0,train,0.75,0.7499353632101671,0.7499676816050835,classical,very_fast_160_plus,broad,complex_multi_section,en,high_risk_instrumental,0
dev_0049,1,train,0.0,0.03543831829535648,0.01771915914767824,electronic,fast_120_160,medium,verse_chorus,en,vocal_request,0
dev_0050,1,val,0.0,0.01231316456861741,0.006156582284308705,hip_hop,very_fast_160_plus,specific,verse_chorus,en,vocal_request,0
dev_0051,1,train,0.0,0.18493814819623333,0.09246907409811667,hip_hop,fast_120_160,medium,AABA,en,vocal_request,0
dev_0052,1,train,0.0,0.06903863600333393,0.034519318001666965,metal,very_fast_160_plus,specific,complex_multi_section,en,vocal_request,0
dev_0053,0,train,0.125,0.4946076040605274,0.3098038020302637,classical,very_fast_160_plus,medium,complex_multi_section,en,low_risk_instrumental,0
dev_0054,0,train,1.0,0.9873461933894185,0.9936730966947093,classical,fast_120_160,broad,simple_AB,en,high_risk_instrumental,0
dev_0055,0,train,0.75,0.865140908111979,0.8075704540559895,classical,fast_120_160,broad,complex_multi_section,en,high_risk_instrumental,0
dev_0056,1,train,0.0,0.11557066075362887,0.05778533037681444,hip_hop,slow_60_90,medium,simple_AB,en,vocal_request,0
dev_0057,0,train,1.0,0.8975467787576321,0.9487733893788161,folk,very_fast_160_plus,broad,complex_multi_section,en,high_risk_instrumental,0
dev_0058,0,train,0.625,0.6821727679520676,0.6535863839760339,pop,fast_120_160,broad,simple_AB,en,medium_risk_instrumental,0
dev_0059,1,train,0.125,0.22239222138575407,0.17369611069287705,metal,fast_120_160,medium,simple_AB,zh,vocal_request,0
dev_0060,1,val,0.0,0.1759125656322602,0.0879562828161301,electronic,slow_60_90,broad,complex_multi_section,en,vocal_request,0
dev_0061,1,val,0.0,0.2772138079669505,0.13860690398347525,hip_hop,very_fast_160_plus,specific,simple_AB,en,vocal_request,0
dev_0062,1,train,0.0,0.0855758430220417,0.04278792151102085,rock,med_90_120,medium,complex_multi_section,es,vocal_request,0
dev_0063,1,train,0.0,0.05838202541326291,0.029191012706631454,hip_hop,very_fast_160_plus,specific,verse_chorus,es,vocal_request,0
dev_0064,1,train,0.0,0.0016109929746100857,0.0008054964873050428,folk,med_90_120,broad,AABA,en,vocal_request,0
dev_0065,1,val,0.0,0.03183049721856389,0.015915248609281944,hip_hop,med_90_120,medium,verse_chorus,zh,vocal_request,0
dev_0066,1,train,0.0,0.21434410606463378,0.10717205303231689,jazz,very_fast_160_plus,specific,simple_AB,zh,vocal_request,0
dev_0067,0,train,0.125,0.2933392957141199,0.20916964785705994,classical,fast_120_160,specific,AABA,en,low_risk_instrumental,0
dev_0068,1,train,0.0,0.024335585826690702,0.012167792913345351,pop,fast_120_160,broad,verse_chorus,en,vocal_request,0
dev_0069,1,train,0.0,0.025112400345289648,0.012556200172644824,folk,very_fast_160_plus,specific,AABA,en,vocal_request,0
dev_0070,0,train,0.25,0.5290632322480244,0.3895316161240122,electronic,fast_120_160,specific,complex_multi_section,en,low_risk_instrumental,0
dev_0071,0,train,0.375,0.633641458295189,0.5043207291475945,jazz,fast_120_160,specific,simple_AB,en,medium_risk_instrumental,0
dev_0072,0,train,0.125,0.27695802806284386,0.20097901403142193,classical,med_90_120,specific,simple_AB,en,low_risk_instrumental,0
dev_0073,0,train,0.875,0.6747179504615368,0.7748589752307684,electronic,med_90_120,broad,AABA,en,high_risk_instrumental,0
dev_0074,0,train,0.875,0.8692936665243428,0.8721468332621714,metal,fast_120_160,broad,verse_chorus,en,high_risk_instrumental,0
