program,population_weighted_cqs60,equal_prompt_cqs60,completion_probability,mean_actual_nfe,max_actual_nfe,infeasible_prompts,quality_floor_failures
fixed_step12_continue_switch_root0,0.7362903225806453,0.6666666666666666,1.0,79.16935483870968,83,0,18
fixed_step12_continue_switch_root1,0.5475614439324117,0.5,1.0,79.16935483870968,83,0,25
fixed_step12_deterministic_fork_root0,0.6424155145929339,0.4791666666666667,1.0,73.0,73,0,17
fixed_step12_deterministic_fork_root1,0.48899769585253455,0.375,1.0,73.0,73,0,29
fixed_step18_continue_switch_root0,0.6761136712749616,0.5416666666666666,1.0,63.46774193548388,65,0,15
fixed_step18_continue_switch_root1,0.5051267281105991,0.3958333333333333,1.0,63.46774193548388,65,0,30
fixed_step18_deterministic_fork_root0,0.6545122887864823,0.5,1.0,61.00000000000001,61,0,17
fixed_step18_deterministic_fork_root1,0.48899769585253455,0.375,1.0,61.00000000000001,61,0,27
fixed_step6_continue_switch_root0,0.26411290322580644,0.5208333333333334,0.38306451612903225,93.25403225806451,99,12,19
fixed_step6_continue_switch_root1,0.24644777265745008,0.5,0.38306451612903225,93.25403225806451,99,12,29
fixed_step6_deterministic_fork_root0,0.6424155145929339,0.4791666666666667,1.0,84.0,84,0,17
fixed_step6_deterministic_fork_root1,0.48899769585253455,0.375,1.0,84.0,84,0,28
frozen_w2_two_slot,0.745199692780338,0.6875,1.0,83.37695852534563,90,0,14
one_base_plus_one_conditioned,0.29905913978494625,0.5833333333333334,0.38306451612903225,99.25403225806451,105,12,19
true_rollover_corrected_evpd,0.6289746543778801,0.4583333333333333,1.0,87.79231950844854,90,0,26
two_base,0.6641897081413211,0.5208333333333334,1.0,90.0,90,0,22
two_direction_conditioned,0.294162826420891,0.5833333333333334,0.38306451612903225,108.50806451612904,120,12,25
