stage,prompt_id,condition,seed,audio_path,audio_sha256,host
smoke,held_out_0006,baseline,2033090001,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/v15_replication_20260709/smoke/audio/held_out_0006/baseline/2033090001/5d45cb68-f512-958b-326e-860ad34f2ce0.flac,1f5ac2f9aa02979c74ffe3e83668ad0c87fea0dee3902ab691ec36e78834b314,an12
smoke,held_out_0009,baseline,2033090000,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/v15_replication_20260709/smoke/audio/held_out_0009/baseline/2033090000/ab8c8961-d303-4971-d07b-d696a6d86357.flac,1057184f84d1576881e1dfa30e12d107eb592718925f4570d407e06c20e39a29,an12
prevalence,held_out_0006,baseline,2033000176,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/v15_replication_20260709/prevalence/audio/held_out_0006/baseline/2033000176/4af3bc9b-d32f-d067-7b6d-12bacfac2cae.flac,8266812f4de0ec38cb64665922bd6a92e81b8d90ac0e8678792a72e7c3b70b67,an12
prevalence,held_out_0006,baseline,2033000177,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/v15_replication_20260709/prevalence/audio/held_out_0006/baseline/2033000177/7aa47a4a-14fc-4132-e6a1-d99eb62bcfbb.flac,963786e231bd8ac642d99f5f8535d2a267e4993d5d4631317bf1824c043b9c64,an12
prevalence,held_out_0006,baseline,2033000178,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/v15_replication_20260709/prevalence/audio/held_out_0006/baseline/2033000178/ee8888a8-71e3-ad3e-11e6-fb759d454fec.flac,6d76853b16896fe860ea9ab5a01497969f44eae6d54321c63e808c8afe811547,an29
prevalence,held_out_0006,baseline,2033000179,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/v15_replication_20260709/prevalence/audio/held_out_0006/baseline/2033000179/14078610-6e2d-5aa0-ea24-b9bf1b43bedb.flac,0e2c6aa49437dcb9f02aaa89f7216cf40472f0e6a6777f095edf7d884e17bec9,an12
prevalence,held_out_0006,baseline,2033000180,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/v15_replication_20260709/prevalence/audio/held_out_0006/baseline/2033000180/5a5c009d-d24c-c51d-7861-4da0e040b78c.flac,10973bd4361cad2530823f4a25b70f0abe6f14d3e82fa25772d7f0b5ebadabc1,an12
prevalence,held_out_0006,baseline,2033000181,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/v15_replication_20260709/prevalence/audio/held_out_0006/baseline/2033000181/a1772949-177e-3a66-ff2d-9294a4f49222.flac,576bc8465206cabd15dd451e3e91c49a834e81dc2c57251655488757d5c7e01c,an12
prevalence,held_out_0006,baseline,2033000182,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/v15_replication_20260709/prevalence/audio/held_out_0006/baseline/2033000182/763b7738-cc1b-1bc8-ee8e-241827a91111.flac,baa6bdbabd039f2272961e3e0db31a853fbf906abbb856a22abc27960b4417be,an29
prevalence,held_out_0006,baseline,2033000183,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/v15_replication_20260709/prevalence/audio/held_out_0006/baseline/2033000183/8e8c2b98-7454-4b07-a3ee-8dff90d073b1.flac,f9c4d4eef59daf72e57228d7c4b519af07233a5eb734b8287ac74aadbdf17fee,an12
