prompt_id,vocal_stratum,seed_idx,baseline_clean,recondition_clean,delta
held_out_0008,vocal,0,0,0,0
held_out_0008,vocal,1,0,0,0
held_out_0008,vocal,2,0,0,0
held_out_0008,vocal,3,0,0,0
held_out_0008,vocal,4,0,0,0
held_out_0008,vocal,5,0,0,0
held_out_0008,vocal,6,0,0,0
held_out_0008,vocal,7,0,0,0
held_out_0014,vocal,0,0,0,0
held_out_0014,vocal,1,0,0,0
held_out_0014,vocal,2,0,1,1
held_out_0014,vocal,3,0,1,1
held_out_0014,vocal,4,0,1,1
held_out_0014,vocal,5,0,0,0
held_out_0014,vocal,6,0,1,1
held_out_0014,vocal,7,0,0,0
held_out_0021,vocal,0,0,0,0
held_out_0021,vocal,1,0,0,0
held_out_0021,vocal,2,0,0,0
held_out_0021,vocal,3,0,0,0
held_out_0021,vocal,4,0,0,0
held_out_0021,vocal,5,0,0,0
held_out_0021,vocal,6,0,0,0
held_out_0021,vocal,7,0,0,0
held_out_0023,vocal,0,0,0,0
held_out_0023,vocal,1,0,0,0
held_out_0023,vocal,2,0,0,0
held_out_0023,vocal,3,0,1,1
held_out_0023,vocal,4,1,1,0
held_out_0023,vocal,5,1,1,0
held_out_0023,vocal,6,1,1,0
held_out_0023,vocal,7,0,0,0
held_out_0029,vocal,0,1,1,0
held_out_0029,vocal,1,1,1,0
held_out_0029,vocal,2,1,1,0
held_out_0029,vocal,3,1,1,0
held_out_0029,vocal,4,1,1,0
held_out_0029,vocal,5,1,1,0
held_out_0029,vocal,6,1,1,0
held_out_0029,vocal,7,1,1,0
held_out_0036,vocal,0,0,0,0
held_out_0036,vocal,1,0,0,0
held_out_0036,vocal,2,0,0,0
held_out_0036,vocal,3,0,0,0
held_out_0036,vocal,4,0,0,0
held_out_0036,vocal,5,1,1,0
held_out_0036,vocal,6,1,1,0
held_out_0036,vocal,7,0,0,0
held_out_0040,instrumental,0,0,0,0
held_out_0040,instrumental,1,0,0,0
held_out_0040,instrumental,2,0,0,0
held_out_0040,instrumental,3,0,0,0
held_out_0040,instrumental,4,0,0,0
held_out_0040,instrumental,5,0,0,0
held_out_0040,instrumental,6,0,0,0
held_out_0040,instrumental,7,0,0,0
held_out_0045,vocal,0,0,0,0
held_out_0045,vocal,1,0,0,0
held_out_0045,vocal,2,0,0,0
held_out_0045,vocal,3,0,0,0
held_out_0045,vocal,4,0,0,0
held_out_0045,vocal,5,0,0,0
held_out_0045,vocal,6,0,0,0
held_out_0045,vocal,7,0,0,0
held_out_0057,vocal,0,0,0,0
held_out_0057,vocal,1,0,0,0
held_out_0057,vocal,2,1,1,0
held_out_0057,vocal,3,1,1,0
held_out_0057,vocal,4,0,0,0
held_out_0057,vocal,5,0,0,0
held_out_0057,vocal,6,0,0,0
held_out_0057,vocal,7,0,0,0
held_out_0059,instrumental,0,1,1,0
held_out_0059,instrumental,1,1,1,0
held_out_0059,instrumental,2,1,1,0
held_out_0059,instrumental,3,1,1,0
held_out_0059,instrumental,4,1,1,0
held_out_0059,instrumental,5,1,1,0
held_out_0059,instrumental,6,1,1,0
held_out_0059,instrumental,7,1,1,0
held_out_0074,instrumental,0,1,1,0
held_out_0074,instrumental,1,1,1,0
held_out_0074,instrumental,2,1,1,0
held_out_0074,instrumental,3,0,1,1
held_out_0074,instrumental,4,0,0,0
held_out_0074,instrumental,5,1,1,0
held_out_0074,instrumental,6,1,1,0
held_out_0074,instrumental,7,1,1,0
held_out_0132,instrumental,0,0,0,0
held_out_0132,instrumental,1,0,0,0
held_out_0132,instrumental,2,0,0,0
held_out_0132,instrumental,3,1,1,0
held_out_0132,instrumental,4,0,0,0
held_out_0132,instrumental,5,1,1,0
held_out_0132,instrumental,6,0,0,0
held_out_0132,instrumental,7,0,0,0
held_out_0137,instrumental,0,1,1,0
held_out_0137,instrumental,1,1,1,0
held_out_0137,instrumental,2,1,1,0
held_out_0137,instrumental,3,0,0,0
held_out_0137,instrumental,4,1,1,0
held_out_0137,instrumental,5,1,1,0
held_out_0137,instrumental,6,1,1,0
held_out_0137,instrumental,7,1,1,0
held_out_0140,instrumental,0,1,1,0
held_out_0140,instrumental,1,1,1,0
held_out_0140,instrumental,2,1,1,0
held_out_0140,instrumental,3,0,1,1
held_out_0140,instrumental,4,1,0,-1
held_out_0140,instrumental,5,1,1,0
held_out_0140,instrumental,6,1,1,0
held_out_0140,instrumental,7,1,1,0
held_out_0190,instrumental,0,0,0,0
held_out_0190,instrumental,1,0,1,1
held_out_0190,instrumental,2,0,1,1
held_out_0190,instrumental,3,0,0,0
held_out_0190,instrumental,4,0,0,0
held_out_0190,instrumental,5,0,0,0
held_out_0190,instrumental,6,0,0,0
held_out_0190,instrumental,7,0,0,0
held_out_0192,instrumental,0,0,0,0
held_out_0192,instrumental,1,0,0,0
held_out_0192,instrumental,2,0,0,0
held_out_0192,instrumental,3,0,0,0
held_out_0192,instrumental,4,0,0,0
held_out_0192,instrumental,5,0,0,0
held_out_0192,instrumental,6,1,1,0
held_out_0192,instrumental,7,1,0,-1
