prompt_id,vocal_stratum,rows,clean,clean_rate,ci95_low,ci95_high
held_out_0008,vocal,32,0,0.0,0.0,0.1071827150573635
held_out_0014,vocal,32,0,0.0,0.0,0.1071827150573635
held_out_0021,vocal,32,0,0.0,0.0,0.1071827150573635
held_out_0023,vocal,32,0,0.0,0.0,0.1071827150573635
held_out_0029,vocal,32,0,0.0,0.0,0.1071827150573635
held_out_0036,vocal,32,0,0.0,0.0,0.1071827150573635
held_out_0040,instrumental,32,32,1.0,0.8928172849426366,1.0
held_out_0045,vocal,32,0,0.0,0.0,0.1071827150573635
held_out_0057,vocal,32,0,0.0,0.0,0.1071827150573635
held_out_0059,instrumental,32,32,1.0,0.8928172849426366,1.0
held_out_0074,instrumental,32,32,1.0,0.8928172849426366,1.0
held_out_0132,instrumental,32,32,1.0,0.8928172849426366,1.0
held_out_0137,instrumental,32,32,1.0,0.8928172849426366,1.0
held_out_0140,instrumental,32,32,1.0,0.8928172849426366,1.0
held_out_0190,instrumental,32,32,1.0,0.8928172849426366,1.0
held_out_0192,instrumental,32,32,1.0,0.8928172849426366,1.0
