request_type,corrected_score_band,old_detector_status,corrected_status,old_corrected_disagreement,source_family,calibration_stratum,frame_eligible_count,selected_train_count,selected_heldout_count,selected_transport_count,selected_reserve_count
vocal,low,0,0,0,spine,vocal|low|old0|corrected0|disagree0|spine,60,5,6,0,19
vocal,low,0,0,0,N2,vocal|low|old0|corrected0|disagree0|N2,1252,0,0,0,0
vocal,low,0,0,0,Stage3,vocal|low|old0|corrected0|disagree0|Stage3,391,0,0,0,0
vocal,low,0,0,0,Batch3_keep,vocal|low|old0|corrected0|disagree0|Batch3_keep,227,0,0,0,0
vocal,low,0,0,1,spine,vocal|low|old0|corrected0|disagree1|spine,0,0,0,0,0
vocal,low,0,0,1,N2,vocal|low|old0|corrected0|disagree1|N2,0,0,0,0,0
vocal,low,0,0,1,Stage3,vocal|low|old0|corrected0|disagree1|Stage3,0,0,0,0,0
vocal,low,0,0,1,Batch3_keep,vocal|low|old0|corrected0|disagree1|Batch3_keep,0,0,0,0,0
vocal,low,0,1,0,spine,vocal|low|old0|corrected1|disagree0|spine,0,0,0,0,0
vocal,low,0,1,0,N2,vocal|low|old0|corrected1|disagree0|N2,0,0,0,0,0
vocal,low,0,1,0,Stage3,vocal|low|old0|corrected1|disagree0|Stage3,0,0,0,0,0
vocal,low,0,1,0,Batch3_keep,vocal|low|old0|corrected1|disagree0|Batch3_keep,0,0,0,0,0
vocal,low,0,1,1,spine,vocal|low|old0|corrected1|disagree1|spine,138,4,6,0,14
vocal,low,0,1,1,N2,vocal|low|old0|corrected1|disagree1|N2,2049,0,0,5,0
vocal,low,0,1,1,Stage3,vocal|low|old0|corrected1|disagree1|Stage3,453,0,0,4,0
vocal,low,0,1,1,Batch3_keep,vocal|low|old0|corrected1|disagree1|Batch3_keep,221,0,0,5,0
vocal,low,1,0,0,spine,vocal|low|old1|corrected0|disagree0|spine,0,0,0,0,0
vocal,low,1,0,0,N2,vocal|low|old1|corrected0|disagree0|N2,0,0,0,0,0
vocal,low,1,0,0,Stage3,vocal|low|old1|corrected0|disagree0|Stage3,0,0,0,0,0
vocal,low,1,0,0,Batch3_keep,vocal|low|old1|corrected0|disagree0|Batch3_keep,0,0,0,0,0
vocal,low,1,0,1,spine,vocal|low|old1|corrected0|disagree1|spine,2,0,2,0,0
vocal,low,1,0,1,N2,vocal|low|old1|corrected0|disagree1|N2,5,0,0,0,0
vocal,low,1,0,1,Stage3,vocal|low|old1|corrected0|disagree1|Stage3,3,0,0,1,0
vocal,low,1,0,1,Batch3_keep,vocal|low|old1|corrected0|disagree1|Batch3_keep,3,0,0,0,0
vocal,low,1,1,0,spine,vocal|low|old1|corrected1|disagree0|spine,90,4,5,0,14
vocal,low,1,1,0,N2,vocal|low|old1|corrected1|disagree0|N2,300,0,0,0,0
vocal,low,1,1,0,Stage3,vocal|low|old1|corrected1|disagree0|Stage3,78,0,0,0,0
vocal,low,1,1,0,Batch3_keep,vocal|low|old1|corrected1|disagree0|Batch3_keep,51,0,0,0,0
vocal,low,1,1,1,spine,vocal|low|old1|corrected1|disagree1|spine,0,0,0,0,0
vocal,low,1,1,1,N2,vocal|low|old1|corrected1|disagree1|N2,0,0,0,0,0
vocal,low,1,1,1,Stage3,vocal|low|old1|corrected1|disagree1|Stage3,0,0,0,0,0
vocal,low,1,1,1,Batch3_keep,vocal|low|old1|corrected1|disagree1|Batch3_keep,0,0,0,0,0
vocal,boundary,0,0,0,spine,vocal|boundary|old0|corrected0|disagree0|spine,0,0,0,0,0
vocal,boundary,0,0,0,N2,vocal|boundary|old0|corrected0|disagree0|N2,0,0,0,0,0
vocal,boundary,0,0,0,Stage3,vocal|boundary|old0|corrected0|disagree0|Stage3,0,0,0,0,0
vocal,boundary,0,0,0,Batch3_keep,vocal|boundary|old0|corrected0|disagree0|Batch3_keep,0,0,0,0,0
vocal,boundary,0,0,1,spine,vocal|boundary|old0|corrected0|disagree1|spine,0,0,0,0,0
vocal,boundary,0,0,1,N2,vocal|boundary|old0|corrected0|disagree1|N2,0,0,0,0,0
vocal,boundary,0,0,1,Stage3,vocal|boundary|old0|corrected0|disagree1|Stage3,0,0,0,0,0
vocal,boundary,0,0,1,Batch3_keep,vocal|boundary|old0|corrected0|disagree1|Batch3_keep,0,0,0,0,0
vocal,boundary,0,1,0,spine,vocal|boundary|old0|corrected1|disagree0|spine,0,0,0,0,0
vocal,boundary,0,1,0,N2,vocal|boundary|old0|corrected1|disagree0|N2,0,0,0,0,0
vocal,boundary,0,1,0,Stage3,vocal|boundary|old0|corrected1|disagree0|Stage3,0,0,0,0,0
vocal,boundary,0,1,0,Batch3_keep,vocal|boundary|old0|corrected1|disagree0|Batch3_keep,0,0,0,0,0
vocal,boundary,0,1,1,spine,vocal|boundary|old0|corrected1|disagree1|spine,341,4,8,0,15
vocal,boundary,0,1,1,N2,vocal|boundary|old0|corrected1|disagree1|N2,2906,0,0,0,0
vocal,boundary,0,1,1,Stage3,vocal|boundary|old0|corrected1|disagree1|Stage3,620,0,0,0,0
vocal,boundary,0,1,1,Batch3_keep,vocal|boundary|old0|corrected1|disagree1|Batch3_keep,280,0,0,0,0
vocal,boundary,1,0,0,spine,vocal|boundary|old1|corrected0|disagree0|spine,0,0,0,0,0
vocal,boundary,1,0,0,N2,vocal|boundary|old1|corrected0|disagree0|N2,0,0,0,0,0
vocal,boundary,1,0,0,Stage3,vocal|boundary|old1|corrected0|disagree0|Stage3,0,0,0,0,0
vocal,boundary,1,0,0,Batch3_keep,vocal|boundary|old1|corrected0|disagree0|Batch3_keep,0,0,0,0,0
vocal,boundary,1,0,1,spine,vocal|boundary|old1|corrected0|disagree1|spine,0,0,0,0,0
vocal,boundary,1,0,1,N2,vocal|boundary|old1|corrected0|disagree1|N2,0,0,0,0,0
vocal,boundary,1,0,1,Stage3,vocal|boundary|old1|corrected0|disagree1|Stage3,0,0,0,0,0
vocal,boundary,1,0,1,Batch3_keep,vocal|boundary|old1|corrected0|disagree1|Batch3_keep,0,0,0,0,0
vocal,boundary,1,1,0,spine,vocal|boundary|old1|corrected1|disagree0|spine,762,5,10,0,14
vocal,boundary,1,1,0,N2,vocal|boundary|old1|corrected1|disagree0|N2,2093,0,0,0,0
vocal,boundary,1,1,0,Stage3,vocal|boundary|old1|corrected1|disagree0|Stage3,341,0,0,0,0
vocal,boundary,1,1,0,Batch3_keep,vocal|boundary|old1|corrected1|disagree0|Batch3_keep,89,0,0,0,0
vocal,boundary,1,1,1,spine,vocal|boundary|old1|corrected1|disagree1|spine,0,0,0,0,0
vocal,boundary,1,1,1,N2,vocal|boundary|old1|corrected1|disagree1|N2,0,0,0,0,0
vocal,boundary,1,1,1,Stage3,vocal|boundary|old1|corrected1|disagree1|Stage3,0,0,0,0,0
vocal,boundary,1,1,1,Batch3_keep,vocal|boundary|old1|corrected1|disagree1|Batch3_keep,0,0,0,0,0
vocal,high,0,0,0,spine,vocal|high|old0|corrected0|disagree0|spine,0,0,0,0,0
vocal,high,0,0,0,N2,vocal|high|old0|corrected0|disagree0|N2,0,0,0,0,0
vocal,high,0,0,0,Stage3,vocal|high|old0|corrected0|disagree0|Stage3,0,0,0,0,0
vocal,high,0,0,0,Batch3_keep,vocal|high|old0|corrected0|disagree0|Batch3_keep,0,0,0,0,0
vocal,high,0,0,1,spine,vocal|high|old0|corrected0|disagree1|spine,0,0,0,0,0
vocal,high,0,0,1,N2,vocal|high|old0|corrected0|disagree1|N2,0,0,0,0,0
vocal,high,0,0,1,Stage3,vocal|high|old0|corrected0|disagree1|Stage3,0,0,0,0,0
vocal,high,0,0,1,Batch3_keep,vocal|high|old0|corrected0|disagree1|Batch3_keep,0,0,0,0,0
vocal,high,0,1,0,spine,vocal|high|old0|corrected1|disagree0|spine,0,0,0,0,0
vocal,high,0,1,0,N2,vocal|high|old0|corrected1|disagree0|N2,0,0,0,0,0
vocal,high,0,1,0,Stage3,vocal|high|old0|corrected1|disagree0|Stage3,0,0,0,0,0
vocal,high,0,1,0,Batch3_keep,vocal|high|old0|corrected1|disagree0|Batch3_keep,0,0,0,0,0
vocal,high,0,1,1,spine,vocal|high|old0|corrected1|disagree1|spine,0,0,0,0,0
vocal,high,0,1,1,N2,vocal|high|old0|corrected1|disagree1|N2,0,0,0,0,0
vocal,high,0,1,1,Stage3,vocal|high|old0|corrected1|disagree1|Stage3,0,0,0,0,0
vocal,high,0,1,1,Batch3_keep,vocal|high|old0|corrected1|disagree1|Batch3_keep,0,0,0,0,0
vocal,high,1,0,0,spine,vocal|high|old1|corrected0|disagree0|spine,0,0,0,0,0
vocal,high,1,0,0,N2,vocal|high|old1|corrected0|disagree0|N2,0,0,0,0,0
vocal,high,1,0,0,Stage3,vocal|high|old1|corrected0|disagree0|Stage3,0,0,0,0,0
vocal,high,1,0,0,Batch3_keep,vocal|high|old1|corrected0|disagree0|Batch3_keep,0,0,0,0,0
vocal,high,1,0,1,spine,vocal|high|old1|corrected0|disagree1|spine,0,0,0,0,0
vocal,high,1,0,1,N2,vocal|high|old1|corrected0|disagree1|N2,0,0,0,0,0
vocal,high,1,0,1,Stage3,vocal|high|old1|corrected0|disagree1|Stage3,0,0,0,0,0
vocal,high,1,0,1,Batch3_keep,vocal|high|old1|corrected0|disagree1|Batch3_keep,0,0,0,0,0
vocal,high,1,1,0,spine,vocal|high|old1|corrected1|disagree0|spine,1135,4,14,0,14
vocal,high,1,1,0,N2,vocal|high|old1|corrected1|disagree0|N2,1763,0,0,0,0
vocal,high,1,1,0,Stage3,vocal|high|old1|corrected1|disagree0|Stage3,1378,0,0,0,0
vocal,high,1,1,0,Batch3_keep,vocal|high|old1|corrected1|disagree0|Batch3_keep,78,0,0,0,0
vocal,high,1,1,1,spine,vocal|high|old1|corrected1|disagree1|spine,0,0,0,0,0
vocal,high,1,1,1,N2,vocal|high|old1|corrected1|disagree1|N2,0,0,0,0,0
vocal,high,1,1,1,Stage3,vocal|high|old1|corrected1|disagree1|Stage3,0,0,0,0,0
vocal,high,1,1,1,Batch3_keep,vocal|high|old1|corrected1|disagree1|Batch3_keep,0,0,0,0,0
instrumental,low,0,0,0,spine,instrumental|low|old0|corrected0|disagree0|spine,933,5,13,0,14
instrumental,low,0,0,0,N2,instrumental|low|old0|corrected0|disagree0|N2,3619,0,0,0,0
instrumental,low,0,0,0,Stage3,instrumental|low|old0|corrected0|disagree0|Stage3,437,0,0,0,0
instrumental,low,0,0,0,Batch3_keep,instrumental|low|old0|corrected0|disagree0|Batch3_keep,131,0,0,0,0
instrumental,low,0,0,1,spine,instrumental|low|old0|corrected0|disagree1|spine,0,0,0,0,0
instrumental,low,0,0,1,N2,instrumental|low|old0|corrected0|disagree1|N2,0,0,0,0,0
instrumental,low,0,0,1,Stage3,instrumental|low|old0|corrected0|disagree1|Stage3,0,0,0,0,0
instrumental,low,0,0,1,Batch3_keep,instrumental|low|old0|corrected0|disagree1|Batch3_keep,0,0,0,0,0
instrumental,low,0,1,0,spine,instrumental|low|old0|corrected1|disagree0|spine,0,0,0,0,0
instrumental,low,0,1,0,N2,instrumental|low|old0|corrected1|disagree0|N2,0,0,0,0,0
instrumental,low,0,1,0,Stage3,instrumental|low|old0|corrected1|disagree0|Stage3,0,0,0,0,0
instrumental,low,0,1,0,Batch3_keep,instrumental|low|old0|corrected1|disagree0|Batch3_keep,0,0,0,0,0
instrumental,low,0,1,1,spine,instrumental|low|old0|corrected1|disagree1|spine,99,5,5,0,18
instrumental,low,0,1,1,N2,instrumental|low|old0|corrected1|disagree1|N2,428,0,0,2,0
instrumental,low,0,1,1,Stage3,instrumental|low|old0|corrected1|disagree1|Stage3,160,0,0,2,0
instrumental,low,0,1,1,Batch3_keep,instrumental|low|old0|corrected1|disagree1|Batch3_keep,68,0,0,1,0
instrumental,low,1,0,0,spine,instrumental|low|old1|corrected0|disagree0|spine,0,0,0,0,0
instrumental,low,1,0,0,N2,instrumental|low|old1|corrected0|disagree0|N2,0,0,0,0,0
instrumental,low,1,0,0,Stage3,instrumental|low|old1|corrected0|disagree0|Stage3,0,0,0,0,0
instrumental,low,1,0,0,Batch3_keep,instrumental|low|old1|corrected0|disagree0|Batch3_keep,0,0,0,0,0
instrumental,low,1,0,1,spine,instrumental|low|old1|corrected0|disagree1|spine,25,4,4,0,15
instrumental,low,1,0,1,N2,instrumental|low|old1|corrected0|disagree1|N2,31,0,0,0,0
instrumental,low,1,0,1,Stage3,instrumental|low|old1|corrected0|disagree1|Stage3,7,0,0,0,0
instrumental,low,1,0,1,Batch3_keep,instrumental|low|old1|corrected0|disagree1|Batch3_keep,5,0,0,0,0
instrumental,low,1,1,0,spine,instrumental|low|old1|corrected1|disagree0|spine,18,5,6,0,7
instrumental,low,1,1,0,N2,instrumental|low|old1|corrected1|disagree0|N2,54,0,0,0,0
instrumental,low,1,1,0,Stage3,instrumental|low|old1|corrected1|disagree0|Stage3,22,0,0,0,0
instrumental,low,1,1,0,Batch3_keep,instrumental|low|old1|corrected1|disagree0|Batch3_keep,8,0,0,0,0
instrumental,low,1,1,1,spine,instrumental|low|old1|corrected1|disagree1|spine,0,0,0,0,0
instrumental,low,1,1,1,N2,instrumental|low|old1|corrected1|disagree1|N2,0,0,0,0,0
instrumental,low,1,1,1,Stage3,instrumental|low|old1|corrected1|disagree1|Stage3,0,0,0,0,0
instrumental,low,1,1,1,Batch3_keep,instrumental|low|old1|corrected1|disagree1|Batch3_keep,0,0,0,0,0
instrumental,boundary,0,0,0,spine,instrumental|boundary|old0|corrected0|disagree0|spine,0,0,0,0,0
instrumental,boundary,0,0,0,N2,instrumental|boundary|old0|corrected0|disagree0|N2,0,0,0,0,0
instrumental,boundary,0,0,0,Stage3,instrumental|boundary|old0|corrected0|disagree0|Stage3,0,0,0,0,0
instrumental,boundary,0,0,0,Batch3_keep,instrumental|boundary|old0|corrected0|disagree0|Batch3_keep,0,0,0,0,0
