canonical_clip_id,prompt_id,media_path,media_sha256,requested_vocal,demucs_score,panns_score,old_present,source_family,source_record_id,joint_corrected_score,corrected_score_band,corrected_present,old_corrected_disagreement,old_violation,candidate_violation,calibration_stratum,role,selection_stage_probability,final_inclusion_probability,inclusion_probability,selection_component,calibration_analysis_weight_multiplier,repeat_parent_clip_id,reserve_order
dev_0038__cand00,dev_0038,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0038/candidate_00_seed2026090700.wav,d19fdc26b64075ac7e058f2075d3c49fca13fed4835927cad8955a718e0104ef,0,0.24903598427772522,0.0531177744269371,1,spine,ee9395927a1fbe151641395c,1.669417848425572,low,1,0,1,1,instrumental|low|old1|corrected1|disagree0|spine,train,0.4166666666666667,0.4166666666666667,0.4166666666666667,targeted_train,1,,
held_out_0238__cand07,held_out_0238,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction/audio/held_out_0238/candidate_07_seed2026546707.wav,b425dfde4dad57fbe84d35123e6dca2b92b0a65725b06e34bc76170272936ffd,0,0.15440626442432404,0.127852663397789,0,spine,f3c7fbda04c1f0217af9d50c,3.996070079311376,boundary,1,1,0,1,instrumental|boundary|old0|corrected1|disagree1|spine,train,0.038461538461538464,0.038461538461538464,0.038461538461538464,targeted_train,1,,
dev_0085__cand05,dev_0085,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0085/candidate_05_seed2026137705.wav,8ca155d47dce128e8db7d59536cab13b36ae82887a07cfc1bb1282025ad77698,0,0.0696992427110672,0.035745661705732346,0,spine,9c2aafb8b0d28fb7522c8f8c,1.1234364824040883,low,1,1,0,1,instrumental|low|old0|corrected1|disagree1|spine,train,0.05319148936170213,0.05319148936170213,0.05319148936170213,targeted_train,1,,
dev_0192__cand07,dev_0192,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0192/candidate_07_seed2026244707.wav,fa8c90cbd90c0b085ef115a5e5c3fe7a3a8448474fae380c026637b759d7e97d,1,0.03282710909843445,0.18480663001537323,0,spine,0308b695aed307eececee6b6,0.8495732277937235,low,0,0,1,1,vocal|low|old0|corrected0|disagree0|spine,train,0.09259259259259259,0.09259259259259259,0.09259259259259259,targeted_train,1,,
held_out_0251__cand03,held_out_0251,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction/audio/held_out_0251/candidate_03_seed2026559703.wav,ccf861b16dbbadcb7c9b41cf40911c555c63c83f2a7cac388e4cb41bdf2955d2,0,0.7930675148963928,0.18244846165180206,1,spine,d2ef18328097ac7bc398c2d1,5.7341016559015845,high,1,0,1,1,instrumental|high|old1|corrected1|disagree0|spine,train,0.022321428571428572,0.022321428571428572,0.022321428571428572,targeted_train,1,,
dev_0188__cand05,dev_0188,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0188/candidate_05_seed2026240705.wav,3b8c9585f6e60b3732817a5345bf93afa2f9997a19786a3962fa560c51589a1d,0,0.4937931299209595,0.0938010960817337,1,spine,96f8ac35f08ed48de7fe5a5c,2.948038122646129,boundary,1,0,1,1,instrumental|boundary|old1|corrected1|disagree0|spine,train,0.0423728813559322,0.0423728813559322,0.0423728813559322,targeted_train,1,,
held_out_0249__cand02,held_out_0249,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction/audio/held_out_0249/candidate_02_seed2026557702.wav,0ca4180dba480dd1b709e731820d1fea4eb705d997f6393c45e013ee78dd7370,0,0.23641355335712433,0.046550873667001724,1,spine,854240ee36faeb9ada1e6a7a,1.463029281589909,low,1,0,1,1,instrumental|low|old1|corrected1|disagree0|spine,train,0.4166666666666667,0.4166666666666667,0.4166666666666667,targeted_train,1,,
dev_0079__cand01,dev_0079,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0079/candidate_01_seed2026131701.wav,4bb6b102c567c6751a3421d73002429c5f8d5c1dbf286eec7ce55309c8bb0443,0,0.14346736669540405,0.08286359906196594,0,spine,c9d18242e1ff7e0f577907e3,2.604287787868508,boundary,1,1,0,1,instrumental|boundary|old0|corrected1|disagree1|spine,train,0.038461538461538464,0.038461538461538464,0.038461538461538464,targeted_train,1,,
held_out_0161__cand03,held_out_0161,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction/audio/held_out_0161/candidate_03_seed2026469703.wav,6cbe091271178e84b9140fc61d73d190fd599ee783ec92311fcbac0a035fb81c,0,0.06676746904850006,0.06291583925485611,0,spine,e2a3a636130710c4b4ecfebb,1.7279576468662277,low,1,1,0,1,instrumental|low|old0|corrected1|disagree1|spine,train,0.05319148936170213,0.05319148936170213,0.05319148936170213,targeted_train,1,,
held_out_0214__cand02,held_out_0214,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction/audio/held_out_0214/candidate_02_seed2026522702.wav,11f66fc4b00710731352648792c0eb7e27687a3d4dfd29e4372e813383ba452b,1,0.03402631729841232,0.5817726850509644,0,spine,f41854923b624e8a80f47eed,0.8806090152642836,low,0,0,1,1,vocal|low|old0|corrected0|disagree0|spine,train,0.09259259259259259,0.09259259259259259,0.09259259259259259,targeted_train,1,,
held_out_0117__cand04,held_out_0117,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction/audio/held_out_0117/candidate_04_seed2026425704.wav,cb490efc5174a45921003bbd5fdffb59214198632d951d75a7fcce2439b10ba6,0,0.4514676034450531,0.20680224895477295,1,spine,466c26d91e49b5a59b571a89,6.499507353692301,high,1,0,1,1,instrumental|high|old1|corrected1|disagree0|spine,train,0.022321428571428572,0.022321428571428572,0.022321428571428572,targeted_train,1,,
dev_0210__cand06,dev_0210,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0210/candidate_06_seed2026262706.wav,47967b01042bc5cb96c168ce7822a1bf7343308cc6666e1bc9f8b8e04f4e7c85,0,0.8309557437896729,0.07305934280157089,1,spine,88af7bf56675ce0e97a6bf78,2.2961536356337446,boundary,1,0,1,1,instrumental|boundary|old1|corrected1|disagree0|spine,train,0.0423728813559322,0.0423728813559322,0.0423728813559322,targeted_train,1,,
dev_0151__cand06,dev_0151,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction/audio/dev_0151/candidate_06_seed2026203706.wav,fd6a4305641820d95528842d2b03c35c871968a7b39169a141976caa519bca21,0,0.5560566782951355,0.04912319406867027,1,spine,ea9cedfd10a6b6bdb8b13bc6,1.5438737378334861,low,1,0,1,1,instrumental|low|old1|corrected1|disagree0|spine,train,0.4166666666666667,0.4166666666666667,0.4166666666666667,targeted_train,1,,
held_out_0241__cand04,held_out_0241,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/paper_prep/w2_execution_20260712/spine_reconstruction/audio/held_out_0241/candidate_04_seed2026549704.wav,7a172433ccdcd9e9f42a9d5311aca72e2fd0291184fe1947995ec555590787cd,0,0.07771480083465576,0.11260747164487839,0,spine,cbe24970b1413aba029f8216,2.011277142756186,boundary,1,1,0,1,instrumental|boundary|old0|corrected1|disagree1|spine,train,0.038461538461538464,0.038461538461538464,0.038461538461538464,targeted_train,1,,
