request_type,corrected_score_band,old_detector_status,corrected_status,old_corrected_disagreement,source_family,calibration_stratum,frame_eligible_count,selected_train_count,selected_heldout_count,selected_transport_count,selected_reserve_count
vocal,low,0,0,0,spine,vocal|low|old0|corrected0|disagree0|spine,58,5,6,0,19
vocal,low,0,0,0,N2,vocal|low|old0|corrected0|disagree0|N2,1252,0,0,0,0
vocal,low,0,0,0,Stage3,vocal|low|old0|corrected0|disagree0|Stage3,391,0,0,0,0
vocal,low,0,0,0,Batch3_keep,vocal|low|old0|corrected0|disagree0|Batch3_keep,227,0,0,0,0
vocal,low,0,0,1,spine,vocal|low|old0|corrected0|disagree1|spine,0,0,0,0,0
vocal,low,0,0,1,N2,vocal|low|old0|corrected0|disagree1|N2,0,0,0,0,0
vocal,low,0,0,1,Stage3,vocal|low|old0|corrected0|disagree1|Stage3,0,0,0,0,0
vocal,low,0,0,1,Batch3_keep,vocal|low|old0|corrected0|disagree1|Batch3_keep,0,0,0,0,0
vocal,low,0,1,0,spine,vocal|low|old0|corrected1|disagree0|spine,0,0,0,0,0
vocal,low,0,1,0,N2,vocal|low|old0|corrected1|disagree0|N2,0,0,0,0,0
vocal,low,0,1,0,Stage3,vocal|low|old0|corrected1|disagree0|Stage3,0,0,0,0,0
vocal,low,0,1,0,Batch3_keep,vocal|low|old0|corrected1|disagree0|Batch3_keep,0,0,0,0,0
vocal,low,0,1,1,spine,vocal|low|old0|corrected1|disagree1|spine,145,4,6,0,14
vocal,low,0,1,1,N2,vocal|low|old0|corrected1|disagree1|N2,2059,0,0,5,0
vocal,low,0,1,1,Stage3,vocal|low|old0|corrected1|disagree1|Stage3,456,0,0,4,0
vocal,low,0,1,1,Batch3_keep,vocal|low|old0|corrected1|disagree1|Batch3_keep,221,0,0,5,0
vocal,low,1,0,0,spine,vocal|low|old1|corrected0|disagree0|spine,0,0,0,0,0
vocal,low,1,0,0,N2,vocal|low|old1|corrected0|disagree0|N2,0,0,0,0,0
vocal,low,1,0,0,Stage3,vocal|low|old1|corrected0|disagree0|Stage3,0,0,0,0,0
vocal,low,1,0,0,Batch3_keep,vocal|low|old1|corrected0|disagree0|Batch3_keep,0,0,0,0,0
vocal,low,1,0,1,spine,vocal|low|old1|corrected0|disagree1|spine,1,0,1,0,0
vocal,low,1,0,1,N2,vocal|low|old1|corrected0|disagree1|N2,5,0,0,0,0
vocal,low,1,0,1,Stage3,vocal|low|old1|corrected0|disagree1|Stage3,3,0,0,1,0
vocal,low,1,0,1,Batch3_keep,vocal|low|old1|corrected0|disagree1|Batch3_keep,3,0,0,0,0
vocal,low,1,1,0,spine,vocal|low|old1|corrected1|disagree0|spine,84,4,3,0,14
vocal,low,1,1,0,N2,vocal|low|old1|corrected1|disagree0|N2,301,0,0,0,0
vocal,low,1,1,0,Stage3,vocal|low|old1|corrected1|disagree0|Stage3,78,0,0,0,0
vocal,low,1,1,0,Batch3_keep,vocal|low|old1|corrected1|disagree0|Batch3_keep,52,0,0,0,0
vocal,low,1,1,1,spine,vocal|low|old1|corrected1|disagree1|spine,0,0,0,0,0
vocal,low,1,1,1,N2,vocal|low|old1|corrected1|disagree1|N2,0,0,0,0,0
vocal,low,1,1,1,Stage3,vocal|low|old1|corrected1|disagree1|Stage3,0,0,0,0,0
vocal,low,1,1,1,Batch3_keep,vocal|low|old1|corrected1|disagree1|Batch3_keep,0,0,0,0,0
vocal,boundary,0,0,0,spine,vocal|boundary|old0|corrected0|disagree0|spine,0,0,0,0,0
vocal,boundary,0,0,0,N2,vocal|boundary|old0|corrected0|disagree0|N2,0,0,0,0,0
vocal,boundary,0,0,0,Stage3,vocal|boundary|old0|corrected0|disagree0|Stage3,0,0,0,0,0
vocal,boundary,0,0,0,Batch3_keep,vocal|boundary|old0|corrected0|disagree0|Batch3_keep,0,0,0,0,0
vocal,boundary,0,0,1,spine,vocal|boundary|old0|corrected0|disagree1|spine,0,0,0,0,0
vocal,boundary,0,0,1,N2,vocal|boundary|old0|corrected0|disagree1|N2,0,0,0,0,0
vocal,boundary,0,0,1,Stage3,vocal|boundary|old0|corrected0|disagree1|Stage3,0,0,0,0,0
vocal,boundary,0,0,1,Batch3_keep,vocal|boundary|old0|corrected0|disagree1|Batch3_keep,0,0,0,0,0
vocal,boundary,0,1,0,spine,vocal|boundary|old0|corrected1|disagree0|spine,0,0,0,0,0
vocal,boundary,0,1,0,N2,vocal|boundary|old0|corrected1|disagree0|N2,0,0,0,0,0
vocal,boundary,0,1,0,Stage3,vocal|boundary|old0|corrected1|disagree0|Stage3,0,0,0,0,0
vocal,boundary,0,1,0,Batch3_keep,vocal|boundary|old0|corrected1|disagree0|Batch3_keep,0,0,0,0,0
vocal,boundary,0,1,1,spine,vocal|boundary|old0|corrected1|disagree1|spine,333,4,8,0,15
vocal,boundary,0,1,1,N2,vocal|boundary|old0|corrected1|disagree1|N2,2896,0,0,0,0
vocal,boundary,0,1,1,Stage3,vocal|boundary|old0|corrected1|disagree1|Stage3,617,0,0,0,0
vocal,boundary,0,1,1,Batch3_keep,vocal|boundary|old0|corrected1|disagree1|Batch3_keep,280,0,0,0,0
vocal,boundary,1,0,0,spine,vocal|boundary|old1|corrected0|disagree0|spine,0,0,0,0,0
vocal,boundary,1,0,0,N2,vocal|boundary|old1|corrected0|disagree0|N2,0,0,0,0,0
vocal,boundary,1,0,0,Stage3,vocal|boundary|old1|corrected0|disagree0|Stage3,0,0,0,0,0
vocal,boundary,1,0,0,Batch3_keep,vocal|boundary|old1|corrected0|disagree0|Batch3_keep,0,0,0,0,0
vocal,boundary,1,0,1,spine,vocal|boundary|old1|corrected0|disagree1|spine,0,0,0,0,0
vocal,boundary,1,0,1,N2,vocal|boundary|old1|corrected0|disagree1|N2,0,0,0,0,0
vocal,boundary,1,0,1,Stage3,vocal|boundary|old1|corrected0|disagree1|Stage3,0,0,0,0,0
vocal,boundary,1,0,1,Batch3_keep,vocal|boundary|old1|corrected0|disagree1|Batch3_keep,0,0,0,0,0
vocal,boundary,1,1,0,spine,vocal|boundary|old1|corrected1|disagree0|spine,788,5,14,0,14
vocal,boundary,1,1,0,N2,vocal|boundary|old1|corrected1|disagree0|N2,2124,0,0,0,0
vocal,boundary,1,1,0,Stage3,vocal|boundary|old1|corrected1|disagree0|Stage3,347,0,0,0,0
vocal,boundary,1,1,0,Batch3_keep,vocal|boundary|old1|corrected1|disagree0|Batch3_keep,91,0,0,0,0
vocal,boundary,1,1,1,spine,vocal|boundary|old1|corrected1|disagree1|spine,0,0,0,0,0
vocal,boundary,1,1,1,N2,vocal|boundary|old1|corrected1|disagree1|N2,0,0,0,0,0
vocal,boundary,1,1,1,Stage3,vocal|boundary|old1|corrected1|disagree1|Stage3,0,0,0,0,0
vocal,boundary,1,1,1,Batch3_keep,vocal|boundary|old1|corrected1|disagree1|Batch3_keep,0,0,0,0,0
vocal,high,0,0,0,spine,vocal|high|old0|corrected0|disagree0|spine,0,0,0,0,0
vocal,high,0,0,0,N2,vocal|high|old0|corrected0|disagree0|N2,0,0,0,0,0
vocal,high,0,0,0,Stage3,vocal|high|old0|corrected0|disagree0|Stage3,0,0,0,0,0
vocal,high,0,0,0,Batch3_keep,vocal|high|old0|corrected0|disagree0|Batch3_keep,0,0,0,0,0
vocal,high,0,0,1,spine,vocal|high|old0|corrected0|disagree1|spine,0,0,0,0,0
vocal,high,0,0,1,N2,vocal|high|old0|corrected0|disagree1|N2,0,0,0,0,0
