task_id,prompt_id,candidate_index,requested_vocal,prompt_split,evpd_cache_index,sigma,demucs_score,panns_score,candidate_present,target_status
dev_0000__cand00,dev_0000,0,1,val,0,0.8,0.2037583291530609,0.11331164836883545,1,PENDING_PROMOTED_INSTRUMENT
dev_0000__cand01,dev_0000,1,1,val,1,0.8,0.07583638280630112,0.3633253872394562,1,PENDING_PROMOTED_INSTRUMENT
dev_0000__cand02,dev_0000,2,1,val,2,0.8,0.2158936709165573,0.11553241312503815,1,PENDING_PROMOTED_INSTRUMENT
dev_0000__cand03,dev_0000,3,1,val,3,0.8,0.45710083842277527,0.12631355226039886,1,PENDING_PROMOTED_INSTRUMENT
dev_0000__cand04,dev_0000,4,1,val,4,0.8,0.8680731058120728,0.14187222719192505,1,PENDING_PROMOTED_INSTRUMENT
dev_0000__cand05,dev_0000,5,1,val,5,0.8,0.39591047167778015,0.11127626150846481,1,PENDING_PROMOTED_INSTRUMENT
dev_0000__cand06,dev_0000,6,1,val,6,0.8,0.5046263337135315,0.45855996012687683,1,PENDING_PROMOTED_INSTRUMENT
dev_0000__cand07,dev_0000,7,1,val,7,0.8,0.14862915873527527,0.11126270145177841,1,PENDING_PROMOTED_INSTRUMENT
dev_0001__cand00,dev_0001,0,0,train,8,0.8,0.0003820045094471425,0.02578710950911045,0,PENDING_PROMOTED_INSTRUMENT
dev_0001__cand01,dev_0001,1,0,train,9,0.8,0.02533348649740219,0.019211428239941597,0,PENDING_PROMOTED_INSTRUMENT
dev_0001__cand02,dev_0001,2,0,train,10,0.8,0.2223648726940155,0.023885421454906464,0,PENDING_PROMOTED_INSTRUMENT
dev_0001__cand03,dev_0001,3,0,train,11,0.8,1.8993657704413636e-06,0.02301161363720894,0,PENDING_PROMOTED_INSTRUMENT
dev_0001__cand04,dev_0001,4,0,train,12,0.8,1.9296710433991393e-06,0.030955567955970764,0,PENDING_PROMOTED_INSTRUMENT
dev_0001__cand05,dev_0001,5,0,train,13,0.8,0.2276805341243744,0.3841247260570526,1,PENDING_PROMOTED_INSTRUMENT
dev_0001__cand06,dev_0001,6,0,train,14,0.8,9.931341082847212e-07,0.01694786734879017,0,PENDING_PROMOTED_INSTRUMENT
dev_0001__cand07,dev_0001,7,0,train,15,0.8,1.8044344187728711e-06,0.020847581326961517,0,PENDING_PROMOTED_INSTRUMENT
dev_0002__cand00,dev_0002,0,1,train,16,0.8,0.16807933151721954,0.5422326326370239,1,PENDING_PROMOTED_INSTRUMENT
dev_0002__cand01,dev_0002,1,1,train,17,0.8,0.3187682032585144,0.08351162075996399,1,PENDING_PROMOTED_INSTRUMENT
dev_0002__cand02,dev_0002,2,1,train,18,0.8,0.687707245349884,0.5052816271781921,1,PENDING_PROMOTED_INSTRUMENT
dev_0002__cand03,dev_0002,3,1,train,19,0.8,0.2870693802833557,0.1757478564977646,1,PENDING_PROMOTED_INSTRUMENT
dev_0002__cand04,dev_0002,4,1,train,20,0.8,0.37167149782180786,0.11000727117061615,1,PENDING_PROMOTED_INSTRUMENT
dev_0002__cand05,dev_0002,5,1,train,21,0.8,0.5830406546592712,0.28029245138168335,1,PENDING_PROMOTED_INSTRUMENT
dev_0002__cand06,dev_0002,6,1,train,22,0.8,0.09165366739034653,0.11845269799232483,1,PENDING_PROMOTED_INSTRUMENT
dev_0002__cand07,dev_0002,7,1,train,23,0.8,0.48906663060188293,0.25015988945961,1,PENDING_PROMOTED_INSTRUMENT
dev_0003__cand00,dev_0003,0,1,train,24,0.8,0.45278868079185486,0.1470925211906433,1,PENDING_PROMOTED_INSTRUMENT
dev_0003__cand01,dev_0003,1,1,train,25,0.8,0.6015608310699463,0.23346108198165894,1,PENDING_PROMOTED_INSTRUMENT
dev_0003__cand02,dev_0003,2,1,train,26,0.8,0.1513877511024475,0.3627030849456787,1,PENDING_PROMOTED_INSTRUMENT
dev_0003__cand03,dev_0003,3,1,train,27,0.8,0.43033209443092346,0.10058686137199402,1,PENDING_PROMOTED_INSTRUMENT
dev_0003__cand04,dev_0003,4,1,train,28,0.8,0.23065133392810822,0.1289641261100769,1,PENDING_PROMOTED_INSTRUMENT
dev_0003__cand05,dev_0003,5,1,train,29,0.8,0.5080453157424927,0.1783602237701416,1,PENDING_PROMOTED_INSTRUMENT
dev_0003__cand06,dev_0003,6,1,train,30,0.8,0.16652624309062958,0.08280505985021591,1,PENDING_PROMOTED_INSTRUMENT
dev_0003__cand07,dev_0003,7,1,train,31,0.8,0.24437958002090454,0.49067434668540955,1,PENDING_PROMOTED_INSTRUMENT
dev_0004__cand00,dev_0004,0,1,train,32,0.8,0.1380826085805893,0.32800430059432983,1,PENDING_PROMOTED_INSTRUMENT
dev_0004__cand01,dev_0004,1,1,train,33,0.8,0.21281877160072327,0.18804782629013062,1,PENDING_PROMOTED_INSTRUMENT
dev_0004__cand02,dev_0004,2,1,train,34,0.8,0.08452622592449188,0.29731038212776184,1,PENDING_PROMOTED_INSTRUMENT
dev_0004__cand03,dev_0004,3,1,train,35,0.8,0.15755589306354523,0.09972786158323288,1,PENDING_PROMOTED_INSTRUMENT
dev_0004__cand04,dev_0004,4,1,train,36,0.8,0.13627025485038757,0.31881874799728394,1,PENDING_PROMOTED_INSTRUMENT
dev_0004__cand05,dev_0004,5,1,train,37,0.8,0.3398275673389435,0.457913339138031,1,PENDING_PROMOTED_INSTRUMENT
dev_0004__cand06,dev_0004,6,1,train,38,0.8,0.03775276988744736,0.41106486320495605,0,PENDING_PROMOTED_INSTRUMENT
